Year,Infectious diseases,Age,Region,Value
2015,Poliomyelitis,14 years,Rivne,78.6
2015,"Diphtheria, tetanus",under 1 year,Rivne,11.8
2015,Pertussis,under 1 year,Rivne,11.8
2015,"Diphtheria, tetanus",18 months,Rivne,27.2
2015,Pertussis,18 months,Rivne,27.2
2015,"Diphtheria, tetanus",6 years,Rivne,0.0
2015,"Diphtheria, tetanus",adults,Rivne,0.0
2015,"Measles, mumps, rubella",1 year,Rivne,43.3
2015,"Measles, mumps, rubella",6 years,Rivne,58.0
2015,Hepatitis B,under 1 year,Rivne,10.1
2015,Tuberculosis,under 1 year,Sumy,67.9
2015,Poliomyelitis,under 1 year,Sumy,63.6
2015,Poliomyelitis,18 months,Sumy,84.3
2015,Poliomyelitis,6 years,Sumy,29.8
2015,Poliomyelitis,14 years,Sumy,24.1
2015,"Diphtheria, tetanus",under 1 year,Sumy,18.5
2015,Pertussis,under 1 year,Sumy,18.5
2015,"Diphtheria, tetanus",18 months,Sumy,19.5
2015,Pertussis,18 months,Sumy,19.5
2015,"Diphtheria, tetanus",6 years,Sumy,0.1
2015,"Diphtheria, tetanus",adults,Sumy,0.1
2015,"Measles, mumps, rubella",1 year,Sumy,44.5
2015,"Measles, mumps, rubella",6 years,Sumy,25.6
2015,Hepatitis B,under 1 year,Sumy,14.7
2015,Tuberculosis,under 1 year,Ternopil,17.4
2015,Poliomyelitis,under 1 year,Ternopil,37.1
2015,Poliomyelitis,18 months,Ternopil,80.9
2015,Poliomyelitis,6 years,Ternopil,43.0
2015,Poliomyelitis,14 years,Ternopil,49.3
2015,"Diphtheria, tetanus",under 1 year,Ternopil,28.7
2015,Pertussis,under 1 year,Ternopil,28.7
2015,"Diphtheria, tetanus",18 months,Ternopil,48.7
2015,Pertussis,18 months,Ternopil,48.7
2015,"Diphtheria, tetanus",6 years,Ternopil,0.1
2015,"Diphtheria, tetanus",adults,Ternopil,0.0
2015,"Measles, mumps, rubella",1 year,Ternopil,64.3
2015,"Measles, mumps, rubella",6 years,Ternopil,68.4
2015,Hepatitis B,under 1 year,Ternopil,16.6
2015,Tuberculosis,under 1 year,Kharkiv,73.0
2015,Poliomyelitis,under 1 year,Kharkiv,46.9
2015,Poliomyelitis,18 months,Kharkiv,99.3
2015,Poliomyelitis,6 years,Kharkiv,29.2
2015,Poliomyelitis,14 years,Kharkiv,34.9
2015,"Diphtheria, tetanus",under 1 year,Kharkiv,21.6
2015,Pertussis,under 1 year,Kharkiv,21.6
2015,"Diphtheria, tetanus",18 months,Kharkiv,57.8
2015,Pertussis,18 months,Kharkiv,57.8
2015,"Diphtheria, tetanus",6 years,Kharkiv,11.9
2015,"Diphtheria, tetanus",adults,Kharkiv,0.0
2015,"Measles, mumps, rubella",1 year,Kharkiv,51.8
2015,"Measles, mumps, rubella",6 years,Kharkiv,56.0
2015,Hepatitis B,under 1 year,Kharkiv,16.6
2015,Tuberculosis,under 1 year,Kherson,51.6
2015,Poliomyelitis,under 1 year,Kherson,47.9
2015,Poliomyelitis,18 months,Kherson,78.4
2015,Poliomyelitis,6 years,Kherson,71.9
2015,Poliomyelitis,14 years,Kherson,72.4
2015,"Diphtheria, tetanus",under 1 year,Kherson,27.5
2015,Pertussis,under 1 year,Kherson,27.5
2015,"Diphtheria, tetanus",18 months,Kherson,10.8
2015,Pertussis,18 months,Kherson,10.8
2015,"Diphtheria, tetanus",6 years,Kherson,0.0
2015,"Diphtheria, tetanus",adults,Kherson,0.0
2015,"Measles, mumps, rubella",1 year,Kherson,63.0
2015,"Measles, mumps, rubella",6 years,Kherson,68.7
2015,Hepatitis B,under 1 year,Kherson,19.4
2015,Tuberculosis,under 1 year,Khmelnytskiy,23.8
2015,Poliomyelitis,under 1 year,Khmelnytskiy,93.5
2015,Poliomyelitis,18 months,Khmelnytskiy,86.3
2015,Poliomyelitis,6 years,Khmelnytskiy,39.0
2015,Poliomyelitis,14 years,Khmelnytskiy,40.3
2015,"Diphtheria, tetanus",under 1 year,Khmelnytskiy,32.3
2015,Pertussis,under 1 year,Khmelnytskiy,32.3
2015,"Diphtheria, tetanus",18 months,Khmelnytskiy,55.7
2015,Pertussis,18 months,Khmelnytskiy,55.7
2015,"Diphtheria, tetanus",6 years,Khmelnytskiy,0.0
2015,"Diphtheria, tetanus",adults,Khmelnytskiy,0.0
2015,"Measles, mumps, rubella",1 year,Khmelnytskiy,69.9
2015,"Measles, mumps, rubella",6 years,Khmelnytskiy,75.7
2015,Hepatitis B,under 1 year,Khmelnytskiy,9.7
2015,Tuberculosis,under 1 year,Cherkasy,66.5
2015,Poliomyelitis,under 1 year,Cherkasy,49.9
2015,Poliomyelitis,18 months,Cherkasy,83.4
2015,Poliomyelitis,6 years,Cherkasy,34.3
2015,Poliomyelitis,14 years,Cherkasy,58.5
2015,"Diphtheria, tetanus",under 1 year,Cherkasy,30.6
2015,Pertussis,under 1 year,Cherkasy,30.6
2015,"Diphtheria, tetanus",18 months,Cherkasy,32.6
2015,Pertussis,18 months,Cherkasy,32.6
2015,"Diphtheria, tetanus",6 years,Cherkasy,0.0
2015,"Diphtheria, tetanus",adults,Cherkasy,0.8
2015,"Measles, mumps, rubella",1 year,Cherkasy,49.3
2015,"Measles, mumps, rubella",6 years,Cherkasy,47.3
2015,Hepatitis B,under 1 year,Cherkasy,19.9
2015,Tuberculosis,under 1 year,Chernivtsi,38.7
2015,Poliomyelitis,under 1 year,Chernivtsi,71.2
2015,Poliomyelitis,18 months,Chernivtsi,94.5
2015,Poliomyelitis,6 years,Chernivtsi,57.1
2015,Poliomyelitis,14 years,Chernivtsi,67.2
2015,"Diphtheria, tetanus",under 1 year,Chernivtsi,23.7
2015,Pertussis,under 1 year,Chernivtsi,23.7
2015,"Diphtheria, tetanus",18 months,Chernivtsi,26.6
2015,Pertussis,18 months,Chernivtsi,26.6
2015,"Diphtheria, tetanus",6 years,Chernivtsi,0.0
2015,"Diphtheria, tetanus",adults,Chernivtsi,0.1
2015,"Measles, mumps, rubella",1 year,Chernivtsi,64.1
2015,"Measles, mumps, rubella",6 years,Chernivtsi,62.5
2015,Hepatitis B,under 1 year,Chernivtsi,14.8
2015,Tuberculosis,under 1 year,Chernihiv,64.3
2015,Poliomyelitis,under 1 year,Chernihiv,85.5
2015,Poliomyelitis,18 months,Chernihiv,101.4
2015,Poliomyelitis,6 years,Chernihiv,34.8
2015,Poliomyelitis,14 years,Chernihiv,50.5
2015,"Diphtheria, tetanus",under 1 year,Chernihiv,33.9
2015,Pertussis,under 1 year,Chernihiv,33.9
2015,"Diphtheria, tetanus",18 months,Chernihiv,52.8
2015,Pertussis,18 months,Chernihiv,52.8
2015,"Diphtheria, tetanus",6 years,Chernihiv,0.0
2015,"Diphtheria, tetanus",adults,Chernihiv,0.0
2015,"Measles, mumps, rubella",1 year,Chernihiv,88.1
2015,"Measles, mumps, rubella",6 years,Chernihiv,84.2
2015,Hepatitis B,under 1 year,Chernihiv,11.8
2016,Tuberculosis,under 1 year,Vinnytsya,71.2
2016,Poliomyelitis,under 1 year,Vinnytsya,61.2
2016,Poliomyelitis,18 months,Vinnytsya,65.6
2016,Poliomyelitis,6 years,Vinnytsya,87.8
2016,Poliomyelitis,14 years,Vinnytsya,81.9
2016,"Diphtheria, tetanus",under 1 year,Vinnytsya,12.6
2016,Pertussis,under 1 year,Vinnytsya,12.6
2016,"Diphtheria, tetanus",18 months,Vinnytsya,18.4
2016,Pertussis,18 months,Vinnytsya,18.4
2016,"Diphtheria, tetanus",6 years,Vinnytsya,58.0
2016,"Diphtheria, tetanus",adults,Vinnytsya,34.8
2016,"Measles, mumps, rubella",1 year,Vinnytsya,45.9
2016,"Measles, mumps, rubella",6 years,Vinnytsya,30.6
2016,Hepatitis B,under 1 year,Vinnytsya,22.0
2016,Tuberculosis,under 1 year,Volyn,54.4
2016,Poliomyelitis,under 1 year,Volyn,54.1
2016,Poliomyelitis,18 months,Volyn,61.7
2016,Poliomyelitis,6 years,Volyn,84.7
2016,Poliomyelitis,14 years,Volyn,73.0
2016,"Diphtheria, tetanus",under 1 year,Volyn,7.5
2016,Pertussis,under 1 year,Volyn,7.5
2016,"Diphtheria, tetanus",18 months,Volyn,18.8
2016,Pertussis,18 months,Volyn,18.8
2016,"Diphtheria, tetanus",6 years,Volyn,50.8
2016,"Diphtheria, tetanus",adults,Volyn,8.0
2016,"Measles, mumps, rubella",1 year,Volyn,30.2
2016,"Measles, mumps, rubella",6 years,Volyn,19.5
2016,Hepatitis B,under 1 year,Volyn,10.7
2016,Tuberculosis,under 1 year,Dnipropetrovsk,60.2
2016,Poliomyelitis,under 1 year,Dnipropetrovsk,88.1
2016,Poliomyelitis,18 months,Dnipropetrovsk,90.8
2016,Poliomyelitis,6 years,Dnipropetrovsk,100.4
2016,Poliomyelitis,14 years,Dnipropetrovsk,90.0
2016,"Diphtheria, tetanus",under 1 year,Dnipropetrovsk,17.2
2016,Pertussis,under 1 year,Dnipropetrovsk,17.2
2016,"Diphtheria, tetanus",18 months,Dnipropetrovsk,19.1
2016,Pertussis,18 months,Dnipropetrovsk,19.1
2016,"Diphtheria, tetanus",6 years,Dnipropetrovsk,69.5
2016,"Diphtheria, tetanus",adults,Dnipropetrovsk,32.0
2016,"Measles, mumps, rubella",1 year,Dnipropetrovsk,51.6
