Year,Види економічної діяльності,Value
2019,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",
2020,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",c
2021,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",
2022,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",c
2023,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",
2024,"Постачання електроенергії, газу, пари та кондиційованого повітря (Код за КВЕД-2010 – D)",0.1
2015,"Водопостачання; каналізація, поводження з відходами (Код за КВЕД-2010 – E)",
2016,"Водопостачання; каналізація, поводження з відходами (Код за КВЕД-2010 – E)",
2017,"Водопостачання; каналізація, поводження з відходами (Код за КВЕД-2010 – E)",
2018,"Водопостачання; каналізація, поводження з відходами (Код за КВЕД-2010 – E)",0.1
2019,"Водопостачання; каналізація, поводження з відходами (Код за КВЕД-2010 – E)",
2020,"Водопостачання; каналізація, поводження з відходами (Код за КВЕД-2010 – E)",c
2021,"Водопостачання; каналізація, поводження з відходами (Код за КВЕД-2010 – E)",
2022,"Водопостачання; каналізація, поводження з відходами (Код за КВЕД-2010 – E)",c
2023,"Водопостачання; каналізація, поводження з відходами (Код за КВЕД-2010 – E)",
2024,"Водопостачання; каналізація, поводження з відходами (Код за КВЕД-2010 – E)",0.4
2015,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 36+37)",
2016,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 36+37)",
2017,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 36+37)",
2018,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 36+37)",0.02
2019,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 36+37)",
2020,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 36+37)",c
2021,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 36+37)",
2022,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 36+37)",c
2023,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 36+37)",
2024,"Забір, очищення та постачання води, каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 36+37)",0.6
2015,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами (Код за КВЕД-2010 – 38+39)",
2016,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами (Код за КВЕД-2010 – 38+39)",
2017,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами (Код за КВЕД-2010 – 38+39)",
2018,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами (Код за КВЕД-2010 – 38+39)",0.1
2019,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами (Код за КВЕД-2010 – 38+39)",
2020,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами (Код за КВЕД-2010 – 38+39)",c
2021,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами (Код за КВЕД-2010 – 38+39)",
2022,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами (Код за КВЕД-2010 – 38+39)",c
2023,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами (Код за КВЕД-2010 – 38+39)",
2024,"Збирання, оброблення й видалення відходів; відновлення матеріалів, інша діяльність щодо поводження з відходами (Код за КВЕД-2010 – 38+39)",0.0
2015,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 46+H+J+K+71+72+73)",
2016,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 46+H+J+K+71+72+73)",
2017,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 46+H+J+K+71+72+73)",
2018,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 46+H+J+K+71+72+73)",0.5
2019,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 46+H+J+K+71+72+73)",
2020,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 46+H+J+K+71+72+73)",0.4
2021,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 46+H+J+K+71+72+73)",
2022,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 46+H+J+K+71+72+73)",0.4
2023,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 46+H+J+K+71+72+73)",
2024,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами, транспорт, складське господарство, поштова та кур’єрська діяльність, інформація та телекомунікації, фінансова та страхова діяльність, діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження, наукові дослідження та розробки, рекламна діяльність і дослідження кон'юнктури ринку (Код за КВЕД-2010 – 46+H+J+K+71+72+73)",1.1
2015,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами (Код за КВЕД-2010 – 46)",
2016,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами (Код за КВЕД-2010 – 46)",
2017,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами (Код за КВЕД-2010 – 46)",
2018,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами (Код за КВЕД-2010 – 46)",0.1
2019,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами (Код за КВЕД-2010 – 46)",
2020,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами (Код за КВЕД-2010 – 46)",0.1
2021,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами (Код за КВЕД-2010 – 46)",
2022,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами (Код за КВЕД-2010 – 46)",0.1
2023,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами (Код за КВЕД-2010 – 46)",
2024,"Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами (Код за КВЕД-2010 – 46)",0.4
2015,"Транспорт, складське господарство, поштова та кур’єрська діяльність (Код за КВЕД-2010 –H)",
