Year,Види економічної діяльності,Value
2021,"Водопостачання каналізація, поводження з відходами (Код за КВЕД-2010 – E)",
2022,"Водопостачання каналізація, поводження з відходами (Код за КВЕД-2010 – E)",c
2023,"Водопостачання каналізація, поводження з відходами (Код за КВЕД-2010 – E)",c
2024,"Водопостачання каналізація, поводження з відходами (Код за КВЕД-2010 – E)",0.4
2015,"Забір, очищення та постачання води (Код за КВЕД-2010 – 36)",0.0
2016,"Забір, очищення та постачання води (Код за КВЕД-2010 – 36)",
2017,"Забір, очищення та постачання води (Код за КВЕД-2010 – 36)",
2018,"Забір, очищення та постачання води (Код за КВЕД-2010 – 36)",
2019,"Забір, очищення та постачання води (Код за КВЕД-2010 – 36)",
2020,"Забір, очищення та постачання води (Код за КВЕД-2010 – 36)",c
2021,"Забір, очищення та постачання води (Код за КВЕД-2010 – 36)",
2022,"Забір, очищення та постачання води (Код за КВЕД-2010 – 36)",c
2023,"Забір, очищення та постачання води (Код за КВЕД-2010 – 36)",c
2024,"Забір, очищення та постачання води (Код за КВЕД-2010 – 36)",0.7
2015,"Каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 37)",
2016,"Каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 37)",
2017,"Каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 37)",
2018,"Каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 37)",
2019,"Каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 37)",c
2020,"Каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 37)",
2021,"Каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 37)",c
2022,"Каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 37)",
2023,"Каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 37)",
2024,"Каналізація, відведення й очищення стічних вод (Код за КВЕД-2010 – 37)",
2015,"Збирання, оброблення й видалення відходів; відновлення матеріалів (Код за КВЕД-2010 – 38)",0.0
2016,"Збирання, оброблення й видалення відходів; відновлення матеріалів (Код за КВЕД-2010 – 38)",
2017,"Збирання, оброблення й видалення відходів; відновлення матеріалів (Код за КВЕД-2010 – 38)",c
2018,"Збирання, оброблення й видалення відходів; відновлення матеріалів (Код за КВЕД-2010 – 38)",c
2019,"Збирання, оброблення й видалення відходів; відновлення матеріалів (Код за КВЕД-2010 – 38)",
2020,"Збирання, оброблення й видалення відходів; відновлення матеріалів (Код за КВЕД-2010 – 38)",
2021,"Збирання, оброблення й видалення відходів; відновлення матеріалів (Код за КВЕД-2010 – 38)",c
2022,"Збирання, оброблення й видалення відходів; відновлення матеріалів (Код за КВЕД-2010 – 38)",c
2023,"Збирання, оброблення й видалення відходів; відновлення матеріалів (Код за КВЕД-2010 – 38)",c
2024,"Збирання, оброблення й видалення відходів; відновлення матеріалів (Код за КВЕД-2010 – 38)",c
2015,Інша діяльність щодо поводження з відходами(Код за КВЕД-2010 – 39),
2016,Інша діяльність щодо поводження з відходами(Код за КВЕД-2010 – 39),
2017,Інша діяльність щодо поводження з відходами(Код за КВЕД-2010 – 39),
2018,Інша діяльність щодо поводження з відходами(Код за КВЕД-2010 – 39),
2019,Інша діяльність щодо поводження з відходами(Код за КВЕД-2010 – 39),
2020,Інша діяльність щодо поводження з відходами(Код за КВЕД-2010 – 39),
2021,Інша діяльність щодо поводження з відходами(Код за КВЕД-2010 – 39),
2022,Інша діяльність щодо поводження з відходами(Код за КВЕД-2010 – 39),
2023,Інша діяльність щодо поводження з відходами(Код за КВЕД-2010 – 39),
2024,Інша діяльність щодо поводження з відходами(Код за КВЕД-2010 – 39),
