Year,"Концентрація основних забруднювачів у морській воді за речовинами, міліграмів на куб. метр",Value
2023,Cypermethrin,
2024,Cypermethrin,
2015,Dichlorvos,
2016,Dichlorvos,
2017,Dichlorvos,
2018,Dichlorvos,
2019,Dichlorvos,
2020,Dichlorvos,
2021,Dichlorvos,
2022,Dichlorvos,
2023,Dichlorvos,
2024,Dichlorvos,
2015,Heptachlor,0.0
2016,Heptachlor,0.0
2017,Heptachlor,0.0
2018,Heptachlor,0.0
2019,Heptachlor,0.0
2020,Heptachlor,0.003
2021,Heptachlor,0.0
2022,Heptachlor,0.0
2023,Heptachlor,0.0
2024,Heptachlor,0.0
2015,Terbutryn,
2016,Terbutryn,
2017,Terbutryn,
2018,Terbutryn,
2019,Terbutryn,
2020,Terbutryn,
2021,Terbutryn,
2022,Terbutryn,
2023,Terbutryn,
2024,Terbutryn,
2015,"gamma-1,2,3,4,5,6-Hexachlorocyclohexane (g-HCH)",0.0
2016,"gamma-1,2,3,4,5,6-Hexachlorocyclohexane (g-HCH)",0.0
2017,"gamma-1,2,3,4,5,6-Hexachlorocyclohexane (g-HCH)",0.0
2018,"gamma-1,2,3,4,5,6-Hexachlorocyclohexane (g-HCH)",0.0
2019,"gamma-1,2,3,4,5,6-Hexachlorocyclohexane (g-HCH)",0.0
2020,"gamma-1,2,3,4,5,6-Hexachlorocyclohexane (g-HCH)",0.001
2021,"gamma-1,2,3,4,5,6-Hexachlorocyclohexane (g-HCH)",0.001
2022,"gamma-1,2,3,4,5,6-Hexachlorocyclohexane (g-HCH)",0.0
2023,"gamma-1,2,3,4,5,6-Hexachlorocyclohexane (g-HCH)",0.0
2024,"gamma-1,2,3,4,5,6-Hexachlorocyclohexane (g-HCH)",0.0
2015,"beta-1,2,3,4,5,6-Hexachlorocyclohexane (b-HCH)",0.002
2016,"beta-1,2,3,4,5,6-Hexachlorocyclohexane (b-HCH)",0.001
2017,"beta-1,2,3,4,5,6-Hexachlorocyclohexane (b-HCH)",0.001
2018,"beta-1,2,3,4,5,6-Hexachlorocyclohexane (b-HCH)",0.002
2019,"beta-1,2,3,4,5,6-Hexachlorocyclohexane (b-HCH)",0.002
2020,"beta-1,2,3,4,5,6-Hexachlorocyclohexane (b-HCH)",0.01
2021,"beta-1,2,3,4,5,6-Hexachlorocyclohexane (b-HCH)",0.001
2022,"beta-1,2,3,4,5,6-Hexachlorocyclohexane (b-HCH)",0.0
2023,"beta-1,2,3,4,5,6-Hexachlorocyclohexane (b-HCH)",0.0
2024,"beta-1,2,3,4,5,6-Hexachlorocyclohexane (b-HCH)",0.0
2015,Sum metabolites DDT,
2016,Sum metabolites DDT,
2017,Sum metabolites DDT,
2018,Sum metabolites DDT,
2019,Sum metabolites DDT,
2020,Sum metabolites DDT,
2021,Sum metabolites DDT,
2022,Sum metabolites DDT,
2023,Sum metabolites DDT,
2024,Sum metabolites DDT,
2015,"Dichlorodiphenyltrichloroethane (p,p-DDT)",0.004
2016,"Dichlorodiphenyltrichloroethane (p,p-DDT)",0.001
2017,"Dichlorodiphenyltrichloroethane (p,p-DDT)",0.004
2018,"Dichlorodiphenyltrichloroethane (p,p-DDT)",0.007
2019,"Dichlorodiphenyltrichloroethane (p,p-DDT)",0.008
2020,"Dichlorodiphenyltrichloroethane (p,p-DDT)",0.024
2021,"Dichlorodiphenyltrichloroethane (p,p-DDT)",0.002
2022,"Dichlorodiphenyltrichloroethane (p,p-DDT)",0.001
2023,"Dichlorodiphenyltrichloroethane (p,p-DDT)",0.002
2024,"Dichlorodiphenyltrichloroethane (p,p-DDT)",0.002
2015,Trichlorobenzene,
2016,Trichlorobenzene,
2017,Trichlorobenzene,
2018,Trichlorobenzene,
2019,Trichlorobenzene,
2020,Trichlorobenzene,
2021,Trichlorobenzene,
2022,Trichlorobenzene,
2023,Trichlorobenzene,
2024,Trichlorobenzene,
2015,Azinphos-methyl,
2016,Azinphos-methyl,
2017,Azinphos-methyl,
2018,Azinphos-methyl,
2019,Azinphos-methyl,
2020,Azinphos-methyl,
2021,Azinphos-methyl,
2022,Azinphos-methyl,
2023,Azinphos-methyl,
2024,Azinphos-methyl,
2015,Diazinon,
2016,Diazinon,
2017,Diazinon,
2018,Diazinon,
2019,Diazinon,
2020,Diazinon,
2021,Diazinon,
2022,Diazinon,
2023,Diazinon,
2024,Diazinon,
2015,Malathion,
2016,Malathion,
2017,Malathion,
2018,Malathion,
2019,Malathion,
2020,Malathion,
2021,Malathion,
2022,Malathion,
2023,Malathion,
2024,Malathion,
2015,Parathion-ethyl,
2016,Parathion-ethyl,
2017,Parathion-ethyl,
2018,Parathion-ethyl,
2019,Parathion-ethyl,
2020,Parathion-ethyl,
2021,Parathion-ethyl,
2022,Parathion-ethyl,
2023,Parathion-ethyl,
2024,Parathion-ethyl,
2015,TPH,
2016,TPH,
2017,TPH,
2018,TPH,
2019,TPH,
2020,TPH,
2021,TPH,
2022,TPH,
2023,TPH,
2024,TPH,
2015,Anionic Surface Active Substances,
2016,Anionic Surface Active Substances,
2017,Anionic Surface Active Substances,
2018,Anionic Surface Active Substances,
2019,Anionic Surface Active Substances,
2020,Anionic Surface Active Substances,
2021,Anionic Surface Active Substances,
2022,Anionic Surface Active Substances,
2023,Anionic Surface Active Substances,
2024,Anionic Surface Active Substances,
