Year,Компоненти індексу,Область,Вік,Стать,Value
2020,"Віра у те, що кожен може впливати на зміни в країні",Луганська,18 – 35 років,,
2021,"Віра у те, що кожен може впливати на зміни в країні",Луганська,18 – 35 років,,6.1
2022,"Віра у те, що кожен може впливати на зміни в країні",Луганська,18 – 35 років,,
2023,"Віра у те, що кожен може впливати на зміни в країні",Луганська,18 – 35 років,,
2017,"Віра у те, що кожен може впливати на зміни в країні",Луганська,36 – 60 років,,
2018,"Віра у те, що кожен може впливати на зміни в країні",Луганська,36 – 60 років,,
2019,"Віра у те, що кожен може впливати на зміни в країні",Луганська,36 – 60 років,,
2020,"Віра у те, що кожен може впливати на зміни в країні",Луганська,36 – 60 років,,
2021,"Віра у те, що кожен може впливати на зміни в країні",Луганська,36–59 років,,5.3
2022,"Віра у те, що кожен може впливати на зміни в країні",Луганська,36–59 років,,
2023,"Віра у те, що кожен може впливати на зміни в країні",Луганська,36–59 років,,
2017,"Віра у те, що кожен може впливати на зміни в країні",Луганська,61 рік і старші,,
2018,"Віра у те, що кожен може впливати на зміни в країні",Луганська,61 рік і старші,,
2019,"Віра у те, що кожен може впливати на зміни в країні",Луганська,61 рік і старші,,
2020,"Віра у те, що кожен може впливати на зміни в країні",Луганська,61 рік і старші,,
2021,"Віра у те, що кожен може впливати на зміни в країні",Луганська,60 років і старші,,4.4
2022,"Віра у те, що кожен може впливати на зміни в країні",Луганська,60 років і старші,,
2023,"Віра у те, що кожен може впливати на зміни в країні",Луганська,60 років і старші,,
2017,"Віра у те, що кожен може впливати на зміни в країні",Луганська,,Чоловіча,
2018,"Віра у те, що кожен може впливати на зміни в країні",Луганська,,Чоловіча,
2019,"Віра у те, що кожен може впливати на зміни в країні",Луганська,,Чоловіча,
2020,"Віра у те, що кожен може впливати на зміни в країні",Луганська,,Чоловіча,
2021,"Віра у те, що кожен може впливати на зміни в країні",Луганська,,Чоловіча,5.5
2022,"Віра у те, що кожен може впливати на зміни в країні",Луганська,,Чоловіча,
2023,"Віра у те, що кожен може впливати на зміни в країні",Луганська,,Чоловіча,
2017,"Віра у те, що кожен може впливати на зміни в країні",Луганська,,Жіноча,
2018,"Віра у те, що кожен може впливати на зміни в країні",Луганська,,Жіноча,
2019,"Віра у те, що кожен може впливати на зміни в країні",Луганська,,Жіноча,
2020,"Віра у те, що кожен може впливати на зміни в країні",Луганська,,Жіноча,
2021,"Віра у те, що кожен може впливати на зміни в країні",Луганська,,Жіноча,5.0
2022,"Віра у те, що кожен може впливати на зміни в країні",Луганська,,Жіноча,
2023,"Віра у те, що кожен може впливати на зміни в країні",Луганська,,Жіноча,
2017,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,,
2018,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,,
2019,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,,
2020,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,,
2021,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,,
2022,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,,
2023,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,,
2017,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,18 – 35 років,,
2018,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,18 – 35 років,,
2019,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,18 – 35 років,,
2020,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,18 – 35 років,,
2021,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,18 – 35 років,,
2022,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,18 – 35 років,,
2023,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,18 – 35 років,,
2017,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,36 – 60 років,,
2018,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,36 – 60 років,,
2019,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,36 – 60 років,,
2020,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,36 – 60 років,,
2021,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,36–59 років,,
2022,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,36–59 років,,
2023,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,36–59 років,,
2017,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,61 рік і старші,,
2018,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,61 рік і старші,,
2019,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,61 рік і старші,,
2020,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,61 рік і старші,,
2021,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,60 років і старші,,
2022,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,60 років і старші,,
2023,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,60 років і старші,,
2017,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,Чоловіча,
2018,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,Чоловіча,
2019,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,Чоловіча,
2020,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,Чоловіча,
2021,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,Чоловіча,
2022,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,Чоловіча,
2023,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,Чоловіча,
2017,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,Жіноча,
2018,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,Жіноча,
2019,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,Жіноча,
2020,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,Жіноча,
2021,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,Жіноча,
2022,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,Жіноча,
2023,"Віра у те, що кожен може впливати на зміни в країні",Дніпропетровська,,Жіноча,
2017,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,,
2018,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,,
2019,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,,
2020,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,,
2021,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,,
2022,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,,
2023,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,,
2017,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,18 – 35 років,,
2018,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,18 – 35 років,,
2019,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,18 – 35 років,,
2020,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,18 – 35 років,,
2021,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,18 – 35 років,,
2022,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,18 – 35 років,,
2023,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,18 – 35 років,,
2017,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,36 – 60 років,,
2018,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,36 – 60 років,,
2019,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,36 – 60 років,,
2020,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,36 – 60 років,,
2021,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,36–59 років,,
2022,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,36–59 років,,
2023,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,36–59 років,,
2017,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,61 рік і старші,,
2018,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,61 рік і старші,,
2019,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,61 рік і старші,,
2020,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,61 рік і старші,,
2021,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,60 років і старші,,
2022,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,60 років і старші,,
2023,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,60 років і старші,,
2017,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,Чоловіча,
2018,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,Чоловіча,
2019,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,Чоловіча,
2020,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,Чоловіча,
2021,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,Чоловіча,
2022,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,Чоловіча,
2023,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,Чоловіча,
2017,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,Жіноча,
2018,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,Жіноча,
2019,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,Жіноча,
2020,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,Жіноча,
2021,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,Жіноча,
2022,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,Жіноча,
2023,"Віра у те, що кожен може впливати на зміни в країні",Запорізька,,Жіноча,
2017,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,,
2018,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,,
2019,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,,
2020,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,,
2021,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,,
2022,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,,
2023,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,,
2017,"Віра у те, що кожен може впливати на зміни в країні",Харківська,18 – 35 років,,
2018,"Віра у те, що кожен може впливати на зміни в країні",Харківська,18 – 35 років,,
2019,"Віра у те, що кожен може впливати на зміни в країні",Харківська,18 – 35 років,,
2020,"Віра у те, що кожен може впливати на зміни в країні",Харківська,18 – 35 років,,
2021,"Віра у те, що кожен може впливати на зміни в країні",Харківська,18 – 35 років,,
2022,"Віра у те, що кожен може впливати на зміни в країні",Харківська,18 – 35 років,,
2023,"Віра у те, що кожен може впливати на зміни в країні",Харківська,18 – 35 років,,
2017,"Віра у те, що кожен може впливати на зміни в країні",Харківська,36 – 60 років,,
2018,"Віра у те, що кожен може впливати на зміни в країні",Харківська,36 – 60 років,,
2019,"Віра у те, що кожен може впливати на зміни в країні",Харківська,36 – 60 років,,
2020,"Віра у те, що кожен може впливати на зміни в країні",Харківська,36 – 60 років,,
2021,"Віра у те, що кожен може впливати на зміни в країні",Харківська,36–59 років,,
2022,"Віра у те, що кожен може впливати на зміни в країні",Харківська,36–59 років,,
2023,"Віра у те, що кожен може впливати на зміни в країні",Харківська,36–59 років,,
2017,"Віра у те, що кожен може впливати на зміни в країні",Харківська,61 рік і старші,,
2018,"Віра у те, що кожен може впливати на зміни в країні",Харківська,61 рік і старші,,
2019,"Віра у те, що кожен може впливати на зміни в країні",Харківська,61 рік і старші,,
2020,"Віра у те, що кожен може впливати на зміни в країні",Харківська,61 рік і старші,,
2021,"Віра у те, що кожен може впливати на зміни в країні",Харківська,60 років і старші,,
2022,"Віра у те, що кожен може впливати на зміни в країні",Харківська,60 років і старші,,
2023,"Віра у те, що кожен може впливати на зміни в країні",Харківська,60 років і старші,,
2017,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,Чоловіча,
2018,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,Чоловіча,
2019,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,Чоловіча,
2020,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,Чоловіча,
2021,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,Чоловіча,
2022,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,Чоловіча,
2023,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,Чоловіча,
2017,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,Жіноча,
2018,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,Жіноча,
2019,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,Жіноча,
2020,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,Жіноча,
2021,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,Жіноча,
2022,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,Жіноча,
2023,"Віра у те, що кожен може впливати на зміни в країні",Харківська,,Жіноча,
2017,Соціальна толерантність,Донецька,,,
2018,Соціальна толерантність,Донецька,,,
2019,Соціальна толерантність,Донецька,,,
2020,Соціальна толерантність,Донецька,,,
2021,Соціальна толерантність,Донецька,,,6.1
2022,Соціальна толерантність,Донецька,,,
2023,Соціальна толерантність,Донецька,,,
2017,Соціальна толерантність,Донецька,18 – 35 років,,
2018,Соціальна толерантність,Донецька,18 – 35 років,,
2019,Соціальна толерантність,Донецька,18 – 35 років,,
2020,Соціальна толерантність,Донецька,18 – 35 років,,
2021,Соціальна толерантність,Донецька,18 – 35 років,,6.7
2022,Соціальна толерантність,Донецька,18 – 35 років,,
2023,Соціальна толерантність,Донецька,18 – 35 років,,
2017,Соціальна толерантність,Донецька,36 – 60 років,,
2018,Соціальна толерантність,Донецька,36 – 60 років,,
2019,Соціальна толерантність,Донецька,36 – 60 років,,
2020,Соціальна толерантність,Донецька,36 – 60 років,,
2021,Соціальна толерантність,Донецька,36–59 років,,6.1
2022,Соціальна толерантність,Донецька,36–59 років,,
2023,Соціальна толерантність,Донецька,36–59 років,,
2017,Соціальна толерантність,Донецька,61 рік і старші,,
2018,Соціальна толерантність,Донецька,61 рік і старші,,
2019,Соціальна толерантність,Донецька,61 рік і старші,,
2020,Соціальна толерантність,Донецька,61 рік і старші,,
2021,Соціальна толерантність,Донецька,60 років і старші,,5.6
2022,Соціальна толерантність,Донецька,60 років і старші,,
2023,Соціальна толерантність,Донецька,60 років і старші,,
2017,Соціальна толерантність,Донецька,,Чоловіча,
2018,Соціальна толерантність,Донецька,,Чоловіча,
2019,Соціальна толерантність,Донецька,,Чоловіча,
2020,Соціальна толерантність,Донецька,,Чоловіча,
2021,Соціальна толерантність,Донецька,,Чоловіча,6.2
2022,Соціальна толерантність,Донецька,,Чоловіча,
2023,Соціальна толерантність,Донецька,,Чоловіча,
2017,Соціальна толерантність,Донецька,,Жіноча,
2018,Соціальна толерантність,Донецька,,Жіноча,
2019,Соціальна толерантність,Донецька,,Жіноча,
2020,Соціальна толерантність,Донецька,,Жіноча,
2021,Соціальна толерантність,Донецька,,Жіноча,6.0
2022,Соціальна толерантність,Донецька,,Жіноча,
2023,Соціальна толерантність,Донецька,,Жіноча,
2017,Соціальна толерантність,Луганська,,,
2018,Соціальна толерантність,Луганська,,,
2019,Соціальна толерантність,Луганська,,,
2020,Соціальна толерантність,Луганська,,,
2021,Соціальна толерантність,Луганська,,,6.4
2022,Соціальна толерантність,Луганська,,,
2023,Соціальна толерантність,Луганська,,,
2017,Соціальна толерантність,Луганська,18 – 35 років,,
2018,Соціальна толерантність,Луганська,18 – 35 років,,
2019,Соціальна толерантність,Луганська,18 – 35 років,,
2020,Соціальна толерантність,Луганська,18 – 35 років,,
2021,Соціальна толерантність,Луганська,18 – 35 років,,6.8
2022,Соціальна толерантність,Луганська,18 – 35 років,,
2023,Соціальна толерантність,Луганська,18 – 35 років,,
2017,Соціальна толерантність,Луганська,36 – 60 років,,
2018,Соціальна толерантність,Луганська,36 – 60 років,,
2019,Соціальна толерантність,Луганська,36 – 60 років,,
2020,Соціальна толерантність,Луганська,36 – 60 років,,
2021,Соціальна толерантність,Луганська,36–59 років,,6.6
2022,Соціальна толерантність,Луганська,36–59 років,,
2023,Соціальна толерантність,Луганська,36–59 років,,
2017,Соціальна толерантність,Луганська,61 рік і старші,,
2018,Соціальна толерантність,Луганська,61 рік і старші,,
2019,Соціальна толерантність,Луганська,61 рік і старші,,
2020,Соціальна толерантність,Луганська,61 рік і старші,,
2021,Соціальна толерантність,Луганська,60 років і старші,,6.0
2022,Соціальна толерантність,Луганська,60 років і старші,,
2023,Соціальна толерантність,Луганська,60 років і старші,,
2017,Соціальна толерантність,Луганська,,Чоловіча,
2018,Соціальна толерантність,Луганська,,Чоловіча,
2019,Соціальна толерантність,Луганська,,Чоловіча,
2020,Соціальна толерантність,Луганська,,Чоловіча,
2021,Соціальна толерантність,Луганська,,Чоловіча,6.4
2022,Соціальна толерантність,Луганська,,Чоловіча,
2023,Соціальна толерантність,Луганська,,Чоловіча,
2017,Соціальна толерантність,Луганська,,Жіноча,
2018,Соціальна толерантність,Луганська,,Жіноча,
2019,Соціальна толерантність,Луганська,,Жіноча,
2020,Соціальна толерантність,Луганська,,Жіноча,
2021,Соціальна толерантність,Луганська,,Жіноча,6.5
2022,Соціальна толерантність,Луганська,,Жіноча,
2023,Соціальна толерантність,Луганська,,Жіноча,
2017,Соціальна толерантність,Дніпропетровська,,,
2018,Соціальна толерантність,Дніпропетровська,,,
2019,Соціальна толерантність,Дніпропетровська,,,
2020,Соціальна толерантність,Дніпропетровська,,,
2021,Соціальна толерантність,Дніпропетровська,,,
2022,Соціальна толерантність,Дніпропетровська,,,
2023,Соціальна толерантність,Дніпропетровська,,,
2017,Соціальна толерантність,Дніпропетровська,18 – 35 років,,
2018,Соціальна толерантність,Дніпропетровська,18 – 35 років,,
2019,Соціальна толерантність,Дніпропетровська,18 – 35 років,,
2020,Соціальна толерантність,Дніпропетровська,18 – 35 років,,
2021,Соціальна толерантність,Дніпропетровська,18 – 35 років,,
2022,Соціальна толерантність,Дніпропетровська,18 – 35 років,,
2023,Соціальна толерантність,Дніпропетровська,18 – 35 років,,
2017,Соціальна толерантність,Дніпропетровська,36 – 60 років,,
2018,Соціальна толерантність,Дніпропетровська,36 – 60 років,,
2019,Соціальна толерантність,Дніпропетровська,36 – 60 років,,
2020,Соціальна толерантність,Дніпропетровська,36 – 60 років,,
2021,Соціальна толерантність,Дніпропетровська,36–59 років,,
2022,Соціальна толерантність,Дніпропетровська,36–59 років,,
2023,Соціальна толерантність,Дніпропетровська,36–59 років,,
2017,Соціальна толерантність,Дніпропетровська,61 рік і старші,,
2018,Соціальна толерантність,Дніпропетровська,61 рік і старші,,
2019,Соціальна толерантність,Дніпропетровська,61 рік і старші,,
2020,Соціальна толерантність,Дніпропетровська,61 рік і старші,,
2021,Соціальна толерантність,Дніпропетровська,60 років і старші,,
2022,Соціальна толерантність,Дніпропетровська,60 років і старші,,
2023,Соціальна толерантність,Дніпропетровська,60 років і старші,,
2017,Соціальна толерантність,Дніпропетровська,,Чоловіча,
2018,Соціальна толерантність,Дніпропетровська,,Чоловіча,
2019,Соціальна толерантність,Дніпропетровська,,Чоловіча,
2020,Соціальна толерантність,Дніпропетровська,,Чоловіча,
2021,Соціальна толерантність,Дніпропетровська,,Чоловіча,
2022,Соціальна толерантність,Дніпропетровська,,Чоловіча,
2023,Соціальна толерантність,Дніпропетровська,,Чоловіча,
2017,Соціальна толерантність,Дніпропетровська,,Жіноча,
2018,Соціальна толерантність,Дніпропетровська,,Жіноча,
2019,Соціальна толерантність,Дніпропетровська,,Жіноча,
2020,Соціальна толерантність,Дніпропетровська,,Жіноча,
2021,Соціальна толерантність,Дніпропетровська,,Жіноча,
2022,Соціальна толерантність,Дніпропетровська,,Жіноча,
2023,Соціальна толерантність,Дніпропетровська,,Жіноча,
2017,Соціальна толерантність,Запорізька,,,
2018,Соціальна толерантність,Запорізька,,,
2019,Соціальна толерантність,Запорізька,,,
2020,Соціальна толерантність,Запорізька,,,
2021,Соціальна толерантність,Запорізька,,,
2022,Соціальна толерантність,Запорізька,,,
2023,Соціальна толерантність,Запорізька,,,
2017,Соціальна толерантність,Запорізька,18 – 35 років,,
2018,Соціальна толерантність,Запорізька,18 – 35 років,,
2019,Соціальна толерантність,Запорізька,18 – 35 років,,
2020,Соціальна толерантність,Запорізька,18 – 35 років,,
2021,Соціальна толерантність,Запорізька,18 – 35 років,,
2022,Соціальна толерантність,Запорізька,18 – 35 років,,
2023,Соціальна толерантність,Запорізька,18 – 35 років,,
2017,Соціальна толерантність,Запорізька,36 – 60 років,,
2018,Соціальна толерантність,Запорізька,36 – 60 років,,
2019,Соціальна толерантність,Запорізька,36 – 60 років,,
2020,Соціальна толерантність,Запорізька,36 – 60 років,,
2021,Соціальна толерантність,Запорізька,36–59 років,,
2022,Соціальна толерантність,Запорізька,36–59 років,,
2023,Соціальна толерантність,Запорізька,36–59 років,,
2017,Соціальна толерантність,Запорізька,61 рік і старші,,
2018,Соціальна толерантність,Запорізька,61 рік і старші,,
2019,Соціальна толерантність,Запорізька,61 рік і старші,,
2020,Соціальна толерантність,Запорізька,61 рік і старші,,
2021,Соціальна толерантність,Запорізька,60 років і старші,,
2022,Соціальна толерантність,Запорізька,60 років і старші,,
2023,Соціальна толерантність,Запорізька,60 років і старші,,
2017,Соціальна толерантність,Запорізька,,Чоловіча,
2018,Соціальна толерантність,Запорізька,,Чоловіча,
2019,Соціальна толерантність,Запорізька,,Чоловіча,
2020,Соціальна толерантність,Запорізька,,Чоловіча,
2021,Соціальна толерантність,Запорізька,,Чоловіча,
2022,Соціальна толерантність,Запорізька,,Чоловіча,
2023,Соціальна толерантність,Запорізька,,Чоловіча,
2017,Соціальна толерантність,Запорізька,,Жіноча,
2018,Соціальна толерантність,Запорізька,,Жіноча,
2019,Соціальна толерантність,Запорізька,,Жіноча,
2020,Соціальна толерантність,Запорізька,,Жіноча,
2021,Соціальна толерантність,Запорізька,,Жіноча,
2022,Соціальна толерантність,Запорізька,,Жіноча,
2023,Соціальна толерантність,Запорізька,,Жіноча,
2017,Соціальна толерантність,Харківська,,,
2018,Соціальна толерантність,Харківська,,,
2019,Соціальна толерантність,Харківська,,,
2020,Соціальна толерантність,Харківська,,,
2021,Соціальна толерантність,Харківська,,,
2022,Соціальна толерантність,Харківська,,,
2023,Соціальна толерантність,Харківська,,,
2017,Соціальна толерантність,Харківська,18 – 35 років,,
2018,Соціальна толерантність,Харківська,18 – 35 років,,
2019,Соціальна толерантність,Харківська,18 – 35 років,,
2020,Соціальна толерантність,Харківська,18 – 35 років,,
2021,Соціальна толерантність,Харківська,18 – 35 років,,
2022,Соціальна толерантність,Харківська,18 – 35 років,,
2023,Соціальна толерантність,Харківська,18 – 35 років,,
2017,Соціальна толерантність,Харківська,36 – 60 років,,
2018,Соціальна толерантність,Харківська,36 – 60 років,,
2019,Соціальна толерантність,Харківська,36 – 60 років,,
2020,Соціальна толерантність,Харківська,36 – 60 років,,
2021,Соціальна толерантність,Харківська,36–59 років,,
2022,Соціальна толерантність,Харківська,36–59 років,,
2023,Соціальна толерантність,Харківська,36–59 років,,
2017,Соціальна толерантність,Харківська,61 рік і старші,,
2018,Соціальна толерантність,Харківська,61 рік і старші,,
2019,Соціальна толерантність,Харківська,61 рік і старші,,
2020,Соціальна толерантність,Харківська,61 рік і старші,,
2021,Соціальна толерантність,Харківська,60 років і старші,,
2022,Соціальна толерантність,Харківська,60 років і старші,,
2023,Соціальна толерантність,Харківська,60 років і старші,,
2017,Соціальна толерантність,Харківська,,Чоловіча,
2018,Соціальна толерантність,Харківська,,Чоловіча,
2019,Соціальна толерантність,Харківська,,Чоловіча,
2020,Соціальна толерантність,Харківська,,Чоловіча,
2021,Соціальна толерантність,Харківська,,Чоловіча,
2022,Соціальна толерантність,Харківська,,Чоловіча,
2023,Соціальна толерантність,Харківська,,Чоловіча,
2017,Соціальна толерантність,Харківська,,Жіноча,
2018,Соціальна толерантність,Харківська,,Жіноча,
2019,Соціальна толерантність,Харківська,,Жіноча,
2020,Соціальна толерантність,Харківська,,Жіноча,
2021,Соціальна толерантність,Харківська,,Жіноча,
2022,Соціальна толерантність,Харківська,,Жіноча,
2023,Соціальна толерантність,Харківська,,Жіноча,
2017,Активна громадянська позиція,Донецька,,,
2018,Активна громадянська позиція,Донецька,,,
2019,Активна громадянська позиція,Донецька,,,
2020,Активна громадянська позиція,Донецька,,,
2021,Активна громадянська позиція,Донецька,,,3.7
2022,Активна громадянська позиція,Донецька,,,
2023,Активна громадянська позиція,Донецька,,,
2017,Активна громадянська позиція,Донецька,18 – 35 років,,
2018,Активна громадянська позиція,Донецька,18 – 35 років,,
2019,Активна громадянська позиція,Донецька,18 – 35 років,,
2020,Активна громадянська позиція,Донецька,18 – 35 років,,
2021,Активна громадянська позиція,Донецька,18 – 35 років,,4.5
2022,Активна громадянська позиція,Донецька,18 – 35 років,,
2023,Активна громадянська позиція,Донецька,18 – 35 років,,
2017,Активна громадянська позиція,Донецька,36 – 60 років,,
2018,Активна громадянська позиція,Донецька,36 – 60 років,,
2019,Активна громадянська позиція,Донецька,36 – 60 років,,
2020,Активна громадянська позиція,Донецька,36 – 60 років,,
2021,Активна громадянська позиція,Донецька,36–59 років,,4.1
2022,Активна громадянська позиція,Донецька,36–59 років,,
2023,Активна громадянська позиція,Донецька,36–59 років,,
2017,Активна громадянська позиція,Донецька,61 рік і старші,,
2018,Активна громадянська позиція,Донецька,61 рік і старші,,
2019,Активна громадянська позиція,Донецька,61 рік і старші,,
2020,Активна громадянська позиція,Донецька,61 рік і старші,,
2021,Активна громадянська позиція,Донецька,60 років і старші,,2.6
2022,Активна громадянська позиція,Донецька,60 років і старші,,
2023,Активна громадянська позиція,Донецька,60 років і старші,,
2017,Активна громадянська позиція,Донецька,,Чоловіча,
2018,Активна громадянська позиція,Донецька,,Чоловіча,
2019,Активна громадянська позиція,Донецька,,Чоловіча,
2020,Активна громадянська позиція,Донецька,,Чоловіча,
2021,Активна громадянська позиція,Донецька,,Чоловіча,4.3
2022,Активна громадянська позиція,Донецька,,Чоловіча,
