Year,Age,Sex,Type of residence,Level of education,Employment status,Level of income,Displacement status,Region,Value
2023,,,,,,,internally displaced persons (IDPs),,5.6
2023,,,,,,,persons who returned,,5.4
2023,,,,,,,persons who did not leave,,5.5
2023,,,,,,,,Autonomous Republic of Crimea,
2023,,,,,,,,Vinnytsya,5.8
2023,,,,,,,,Volyn,5.2
2023,,,,,,,,Dnipropetrovsk,6.0
2023,,,,,,,,Donetsk,
2023,,,,,,,,Zhytomyr,5.0
2023,,,,,,,,Zakarpattya,5.5
2023,,,,,,,,Zaporizhzhya,4.4
2023,,,,,,,,Ivano-Frankivsk,5.6
2023,,,,,,,,Kyiv,5.4
2023,,,,,,,,Kirovohrad,6.0
2023,,,,,,,,Luhansk,
2023,,,,,,,,Lviv,6.2
2023,,,,,,,,Mykolayiv,5.1
2023,,,,,,,,Odesa,5.4
2023,,,,,,,,Poltava,5.6
2023,,,,,,,,Rivne,4.9
2023,,,,,,,,Sumy,5.0
2023,,,,,,,,Ternopil,5.4
2023,,,,,,,,Kharkiv,5.9
2023,,,,,,,,Kherson,5.2
2023,,,,,,,,Khmelnytskiy,5.0
2023,,,,,,,,Cherkasy,5.5
2023,,,,,,,,Chernivtsi,5.7
2023,,,,,,,,Chernihiv,5.7
2023,,,,,,,,city Kyiv,5.1
2023,,,,,,,,city Sevastopol,
2024,,,,,,,,,5.2
2024,men 18–35 years,,,,,,,,5.0
2024,men 36–59 years,,,,,,,,5.2
2024,men 60 years and older,,,,,,,,5.0
2024,women 18–35 years,,,,,,,,5.0
2024,women 36–59 years,,,,,,,,5.2
2024,women 60 years and older,,,,,,,,5.4
2024,,women,,,,,,,5.2
2024,,men,,,,,,,5.1
2024,,,"large cities (population 500,000 or more)",,,,,,4.8
2024,,,"cities (population 50,000–500,000)",,,,,,4.9
2024,,,"small cities (population less than 50,000)",,,,,,5.1
2024,,,rural areas,,,,,,5.5
2024,,,,primary education,,,,,5.3
2024,,,,secondary education,,,,,5.1
2024,,,,secondary vocational education,,,,,5.2
2024,,,,tertiary education,,,,,5.1
2024,,,,,full/part-time,,,,5.1
2024,,,,,housekeeping or maternity leave,,,,5.1
2024,,,,,pensioners,,,,5.3
2024,,,,,students,,,,5.0
2024,,,,,unemployed,,,,5.1
2024,,,,,,not enough money for food,,,5.0
2024,,,,,,"enough for food, but not enough for clothes",,,5.1
2024,,,,,,"enough for clothes, but not enough for expensive goods",,,5.2
2024,,,,,,enough money for expensive goods,,,5.1
2024,,,,,,,internally displaced persons (IDPs),,5.0
2024,,,,,,,persons who returned,,5.1
2024,,,,,,,persons who did not leave,,5.2
2024,,,,,,,,Autonomous Republic of Crimea,
2024,,,,,,,,Vinnytsya,5.5
2024,,,,,,,,Volyn,5.7
2024,,,,,,,,Dnipropetrovsk,5.4
2024,,,,,,,,Donetsk,
2024,,,,,,,,Zhytomyr,5.0
2024,,,,,,,,Zakarpattya,4.4
2024,,,,,,,,Zaporizhzhya,4.4
2024,,,,,,,,Ivano-Frankivsk,5.6
2024,,,,,,,,Kyiv,5.4
2024,,,,,,,,Kirovohrad,5.1
2024,,,,,,,,Luhansk,
2024,,,,,,,,Lviv,5.6
2024,,,,,,,,Mykolayiv,5.0
2024,,,,,,,,Odesa,4.8
2024,,,,,,,,Poltava,5.4
2024,,,,,,,,Rivne,5.8
2024,,,,,,,,Sumy,4.7
2024,,,,,,,,Ternopil,4.8
2024,,,,,,,,Kharkiv,5.2
2024,,,,,,,,Kherson,5.3
2024,,,,,,,,Khmelnytskiy,5.0
2024,,,,,,,,Cherkasy,5.5
2024,,,,,,,,Chernivtsi,5.1
2024,,,,,,,,Chernihiv,4.9
2024,,,,,,,,city Kyiv,4.5
2024,,,,,,,,city Sevastopol,
