Year,CouncilLevel,Region,Sex,Value
2015,,26_reg_Rivne,men,50.53
2016,,26_reg_Rivne,women,48.14
2016,,26_reg_Rivne,men,51.86
2017,,26_reg_Rivne,women,47.86
2017,,26_reg_Rivne,men,52.14
2018,,26_reg_Rivne,men,52.62
2018,,26_reg_Rivne,women,47.38
2019,,26_reg_Rivne,men,53.05
2019,,26_reg_Rivne,women,46.95
2020,,26_reg_Rivne,men,62.29
2020,,26_reg_Rivne,women,37.71
2021,,26_reg_Rivne,men,62.24
2021,,26_reg_Rivne,women,37.761
2022,,26_reg_Rivne,men,62.22
2022,,26_reg_Rivne,women,37.78
2023,,26_reg_Rivne,men,62.37
2023,,26_reg_Rivne,women,37.63
2015,,27_reg_Sumy,women,56.00
2015,,27_reg_Sumy,men,44.00
2016,,27_reg_Sumy,women,54.63
2016,,27_reg_Sumy,men,45.37
2017,,27_reg_Sumy,women,53.32
2017,,27_reg_Sumy,men,46.68
2018,,27_reg_Sumy,men,46.6
2018,,27_reg_Sumy,women,53.4
2019,,27_reg_Sumy,men,47.98
2019,,27_reg_Sumy,women,2.02
2020,,27_reg_Sumy,men,62.2
2020,,27_reg_Sumy,women,37.8
2021,,27_reg_Sumy,men,62.53
2021,,27_reg_Sumy,women,37.47
2022,,27_reg_Sumy,men,62.46
2022,,27_reg_Sumy,women,37.54
2023,,27_reg_Sumy,men,62.72
2023,,27_reg_Sumy,women,37.28
2015,,28_reg_Ternopil,women,46.65
2015,,28_reg_Ternopil,men,53.35
2016,,28_reg_Ternopil,women,46.15
2016,,28_reg_Ternopil,men,53.85
2017,,28_reg_Ternopil,women,46.19
2017,,28_reg_Ternopil,men,53.81
2018,,28_reg_Ternopil,men,53.86
2018,,28_reg_Ternopil,women,46.14
2019,,28_reg_Ternopil,men,54.07
2019,,28_reg_Ternopil,women,45.93
2020,,28_reg_Ternopil,men,66.11
2020,,28_reg_Ternopil,women,33.89
2021,,28_reg_Ternopil,men,66.0
