Year,Спеціальності галузей знань,Рівні (ступені) освіти,Value
2015,193 Геодезія та землеустрій,,
2016,193 Геодезія та землеустрій,,43.59
2017,193 Геодезія та землеустрій,,42.92
2018,193 Геодезія та землеустрій,,42.31
2019,193 Геодезія та землеустрій,,41.76
2020,193 Геодезія та землеустрій,,40.42
2021,193 Геодезія та землеустрій,,40.3
2022,193 Геодезія та землеустрій,,35.04
2023,193 Геодезія та землеустрій,,29.92
2024,193 Геодезія та землеустрій,,26.99
2015,"194 Гідротехнічне будівництво, водна інженерія та водні технології",,
2016,"194 Гідротехнічне будівництво, водна інженерія та водні технології",,
2017,"194 Гідротехнічне будівництво, водна інженерія та водні технології",,32.81
2018,"194 Гідротехнічне будівництво, водна інженерія та водні технології",,29.18
2019,"194 Гідротехнічне будівництво, водна інженерія та водні технології",,26.82
2020,"194 Гідротехнічне будівництво, водна інженерія та водні технології",,24.88
2021,"194 Гідротехнічне будівництво, водна інженерія та водні технології",,20.48
2022,"194 Гідротехнічне будівництво, водна інженерія та водні технології",,17.19
2023,"194 Гідротехнічне будівництво, водна інженерія та водні технології",,13.35
2024,"194 Гідротехнічне будівництво, водна інженерія та водні технології",,13.77
2015,201 Агрономія,,25.0
2016,201 Агрономія,,27.14
2017,201 Агрономія,,26.14
2018,201 Агрономія,,24.63
2019,201 Агрономія,,24.1
2020,201 Агрономія,,23.64
2021,201 Агрономія,,24.43
2022,201 Агрономія,,22.34
2023,201 Агрономія,,18.49
2024,201 Агрономія,,17.79
2015,202 Захист і карантин рослин,,
2016,202 Захист і карантин рослин,,45.72
2017,202 Захист і карантин рослин,,43.63
2018,202 Захист і карантин рослин,,41.39
2019,202 Захист і карантин рослин,,40.55
2020,202 Захист і карантин рослин,,40.12
2021,202 Захист і карантин рослин,,38.45
2022,202 Захист і карантин рослин,,30.85
2023,202 Захист і карантин рослин,,19.55
2024,202 Захист і карантин рослин,,21.53
2015,203 Садівництво та виноградарство,,
2016,203 Садівництво та виноградарство,,35.29
2017,203 Садівництво та виноградарство,,36.89
2018,203 Садівництво та виноградарство,,33.05
2019,203 Садівництво та виноградарство,,30.84
2020,203 Садівництво та виноградарство,,28.68
2021,203 Садівництво та виноградарство,,31.03
2022,203 Садівництво та виноградарство,,26.08
2023,203 Садівництво та виноградарство,,22.74
2024,203 Садівництво та виноградарство,,28.89
2015,"203 Садівництво, плодоовочівництво та виноградарство",,
2016,"203 Садівництво, плодоовочівництво та виноградарство",,
2017,"203 Садівництво, плодоовочівництво та виноградарство",,
2018,"203 Садівництво, плодоовочівництво та виноградарство",,
2019,"203 Садівництво, плодоовочівництво та виноградарство",,
2020,"203 Садівництво, плодоовочівництво та виноградарство",,
2021,"203 Садівництво, плодоовочівництво та виноградарство",,
2022,"203 Садівництво, плодоовочівництво та виноградарство",,
2023,"203 Садівництво, плодоовочівництво та виноградарство",,13.59
2024,"203 Садівництво, плодоовочівництво та виноградарство",,16.96
2015,204 Технологія виробництва і переробки продукції тваринництва,,100.0
2016,204 Технологія виробництва і переробки продукції тваринництва,,52.77
2017,204 Технологія виробництва і переробки продукції тваринництва,,50.49
2018,204 Технологія виробництва і переробки продукції тваринництва,,48.99
2019,204 Технологія виробництва і переробки продукції тваринництва,,48.85
2020,204 Технологія виробництва і переробки продукції тваринництва,,48.89
2021,204 Технологія виробництва і переробки продукції тваринництва,,49.09
2022,204 Технологія виробництва і переробки продукції тваринництва,,46.76
2023,204 Технологія виробництва і переробки продукції тваринництва,,38.61
2024,204 Технологія виробництва і переробки продукції тваринництва,,33.5
2015,205 Лісове господарство,,
2016,205 Лісове господарство,,11.9
2017,205 Лісове господарство,,11.82
2018,205 Лісове господарство,,10.92
2019,205 Лісове господарство,,11.16
2020,205 Лісове господарство,,11.21
2021,205 Лісове господарство,,11.93
2022,205 Лісове господарство,,10.26
2023,205 Лісове господарство,,8.95
2024,205 Лісове господарство,,8.5
2015,206 Садово-паркове господарство,,
2016,206 Садово-паркове господарство,,59.33
2017,206 Садово-паркове господарство,,62.28
2018,206 Садово-паркове господарство,,62.08
2019,206 Садово-паркове господарство,,61.74
2020,206 Садово-паркове господарство,,62.77
2021,206 Садово-паркове господарство,,65.05
2022,206 Садово-паркове господарство,,59.99
2023,206 Садово-паркове господарство,,48.18
2024,206 Садово-паркове господарство,,47.67
2015,207 Водні біоресурси та аквакультура,,
2016,207 Водні біоресурси та аквакультура,,32.22
2017,207 Водні біоресурси та аквакультура,,29.82
2018,207 Водні біоресурси та аквакультура,,26.7
2019,207 Водні біоресурси та аквакультура,,25.26
2020,207 Водні біоресурси та аквакультура,,24.18
2021,207 Водні біоресурси та аквакультура,,22.06
2022,207 Водні біоресурси та аквакультура,,19.16
2023,207 Водні біоресурси та аквакультура,,13.45
2024,207 Водні біоресурси та аквакультура,,11.88
2015,208 Агроінженерія,,
2016,208 Агроінженерія,,2.11
2017,208 Агроінженерія,,2.18
2018,208 Агроінженерія,,2.13
2019,208 Агроінженерія,,2.44
2020,208 Агроінженерія,,2.68
2021,208 Агроінженерія,,2.9
2022,208 Агроінженерія,,2.74
2023,208 Агроінженерія,,2.41
2024,208 Агроінженерія,,2.18
2015,251 Державна безпека,,
2016,251 Державна безпека,,3.39
2017,251 Державна безпека,,5.22
2018,251 Державна безпека,,13.5
2019,251 Державна безпека,,22.68
2020,251 Державна безпека,,28.51
2021,251 Державна безпека,,33.8
2022,251 Державна безпека,,30.65
2023,251 Державна безпека,,18.18
2024,251 Державна безпека,,15.0
2015,252 Безпека державного кордону,,
2016,252 Безпека державного кордону,,
2017,252 Безпека державного кордону,,
