Year,за рівнем рад,Область,Стать,Value
2020,,місто Київ,чоловіків,71.67
2020,,Автономна Республіка Крим,чоловіків,
2020,,м. Севастополь,чоловіків,
2020,,місто Київ,жінок,28.33
2020,,Автономна Республіка Крим,жінок,
2020,,м. Севастополь,жінок,
2021,,місто Київ,чоловіків,72.27
2021,,Автономна Республіка Крим,чоловіків,
2021,,м. Севастополь,чоловіків,
2021,,місто Київ,жінок,27.73
2021,,Автономна Республіка Крим,жінок,
2021,,м. Севастополь,жінок,
2022,,місто Київ,чоловіків,70.83
2022,,Автономна Республіка Крим,жінок,
2022,,м. Севастополь,жінок,
2022,,місто Київ,жінок,99.17
2023,,місто Київ,чоловіків,72.03
2023,,Автономна Республіка Крим,чоловіків,
2023,,м. Севастополь,чоловіків,
2023,,місто Київ,жінок,97.97
2023,,Автономна Республіка Крим,жінок,
2023,,м. Севастополь,жінок,
2018,,Україна,чоловіків,52.81
2018,,Україна,жінок,47.19
2019,,Україна,чоловіків,53.44
2019,,Україна,жінок,46.56
2020,,Україна,чоловіків,63.02
2020,,Україна,жінок,36.98
2021,,Україна,чоловіків,62.99
2021,,Україна,жінок,37.01
2022,,Україна,чоловіків,62.93
2022,,Україна,жінок,37.07
2023,,Україна,чоловіків,63.02
2023,,Україна,жінок,36.98
2015,обласні ради,,жінок,14.95
2015,обласні ради,,чоловіків,85.05
2016,обласні ради,,жінок,14.96
2016,обласні ради,,чоловіків,85.04
2017,обласні ради,,жінок,15.12
2017,обласні ради,,чоловіків,84.88
2018,обласні ради,,жінок,15.29
2018,обласні ради,,чоловіків,84.71
2019,обласні ради,,жінок,15.5
2019,обласні ради,,чоловіків,84.5
2020,обласні ради,,жінок,26.76
2020,обласні ради,,чоловіків,73.24
2021,обласні ради,,жінок,26.88
2021,обласні ради,,чоловіків,73.12
2022,обласні ради,,жінок,27.37
2022,обласні ради,,чоловіків,72.63
2023,обласні ради,,жінок,27.55
2023,обласні ради,,чоловіків,72.45
2015,районні ради,,жінок,24.02
2015,районні ради,,чоловіків,75.98
2016,районні ради,,жінок,24.11
2016,районні ради,,чоловіків,75.89
2017,районні ради,,жінок,24.36
2017,районні ради,,чоловіків,75.64
2018,районні ради,,жінок,24.39
2018,районні ради,,чоловіків,75.61
2019,районні ради,,жінок,24.45
2019,районні ради,,чоловіків,75.55
2020,районні ради,,жінок,34.7
2020,районні ради,,чоловіків,65.3
2021,районні ради,,жінок,34.66
2021,районні ради,,чоловіків,65.34
2022,районні ради,,жінок,34.67
2022,районні ради,,чоловіків,65.33
2023,районні ради,,жінок,34.34
2023,районні ради,,чоловіків,65.66
2015,міські ради (у тому числі Київська міська рада),,жінок,29.07
2015,міські ради (у тому числі Київська міська рада),,чоловіків,70.93
2016,міські ради (у тому числі Київська міська рада),,жінок,28.7
2016,міські ради (у тому числі Київська міська рада),,чоловіків,71.3
