Year,Types of economic activity,by the organisational and legal forms,Region,Value
2016,retail sale via stalls and markets of other goods,,,
2016,retail sale via mail order houses or via internet,,,
2016,"other retail sale not in stores, stalls or markets",,,
2016,"passenger rail transport, interurban",,,
2016,freight rail transport,,,
2016,urban and suburban passenger land transport,,,
2016,taxi operation,,,
2016,other passenger land transport n.e.c.,,,
2016,freight transport by road,,,
2016,removal services,,,
2016,transport via pipeline,,,
2016,sea and coastal passenger water transport,,,
2016,sea and coastal freight water transport,,,
2016,inland passenger water transport,,,
2016,inland freight water transport,,,
2016,passenger air transport,,,
2016,freight air transport,,,
2016,warehousing and storage,,,
2016,service activities incidental to land transportation,,,
2016,service activities incidental to water transportation,,,
2016,service activities incidental to air transportation,,,
2016,cargo handling,,,
2016,other transportation support activities,,,
2016,postal activities under universal service obligation,,,
2016,other postal and courier activities,,,
2016,hotels and similar accommodation,,,
2016,holiday and other short-stay accommodation,,,
2016,"camping grounds, recreational vehicle parks and trailer parks",,,
2016,other accommodation,,,
2016,restaurants and mobile food service activities,,,
2016,event catering activities,,,
2016,other food service activities,,,
2016,beverage serving activities,,,
2016,book publishing,,,
2016,publishing of directories and mailing lists,,,
2016,publishing of newspapers,,,
2016,publishing of journals and periodicals,,,
2016,other publishing activities,,,
2016,publishing of computer games,,,
2016,other software publishing,,,
2016,"motion picture, video and television programme activities",,,
2016,"motion picture, video and television programme production activities",,,
2016,"motion picture, video and television programme distribution activities",,,
2016,motion picture projection activities,,,
2016,sound recording and music publishing activities,,,
2016,radio broadcasting,,,
2016,television programming and broadcasting activities,,,
2016,wired telecommunications activities,,,
2016,wireless telecommunications activities,,,
2016,satellite telecommunications activities,,,
2016,other telecommunications activities,,,
2016,computer programming activities,,,
2016,computer consultancy activities,,,
2016,computer facilities management activities,,,
2016,other information technology and computer service activities,,,
2016,"data processing, hosting and related activities",,,
2016,web portals,,,
2016,news agency activities,,,
2016,other information service activities n.e.c.,,,
2016,central banking,,,
2016,other monetary intermediation,,,
2016,activities of holding companies,,,
2016,"trusts, funds and similar financial entities",,,
2016,financial leasing,,,
2016,other credit granting,,,
2016,"other financial service activities, except insurance and pension funding n.e.c.",,,
2016,life insurance,,,
2016,non-life insurance,,,
2016,reinsurance,,,
2016,pension funding,,,
2016,administration of financial markets,,,
2016,security and commodity contracts brokerage,,,
2016,"other activities auxiliary to financial services, except insurance and pension funding",,,
2016,risk and damage evaluation,,,
2016,activities of insurance agents and brokers,,,
2016,other activities auxiliary to insurance and pension funding,,,
2016,fund management activities,,,
2016,buying and selling of own real estate,,,
2016,renting and operating of own or leased real estate,,,
2016,real estate agencies,,,
2016,management of real estate on a fee or contract basis,,,
2016,legal activities,,,
2016,"accounting, bookkeeping and auditing activities; tax consultancy",,,
2016,activities of head offices,,,
2016,public relations and communication activities,,,
2016,business and other management consultancy activities,,,
2016,architectural activities,,,
2016,engineering activities and related technical consultancy,,,
2016,technical testing and analysis,,,
2016,research and experimental development on biotechnology,,,
2016,other research and experimental development on natural sciences and engineering,,,
2016,research and experimental development on social sciences and humanities,,,
2016,advertising agencies,,,
2016,media representation,,,
2016,market research and public opinion polling,,,
2016,specialised design activities,,,
2016,photographic activities,,,
2016,translation and interpretation activities,,,
2016,"other professional, scientific and technical activities n.e.c.",,,
2016,veterinary activities,,,
2016,renting and leasing of cars and light motor vehicles,,,
2016,renting and leasing of trucks,,,
2016,renting and leasing of recreational and sports goods,,,
2016,renting of video tapes and disks,,,
2016,renting and leasing of other personal and household goods,,,
2016,renting and leasing of agricultural machinery and equipment,,,
2016,renting and leasing of construction and civil engineering machinery,,,
2016,renting and leasing of office machinery and equipment (including computers),,,
2016,renting and leasing of water transport equipment,,,
2016,renting and leasing of air transport equipment,,,
2016,"renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,
2016,"leasing of intellectual property and similar products, except copyrighted works",,,
2016,activities of employment placement agencies,,,
2016,temporary employment agency activities,,,
2016,other human resources provision,,,
2016,travel agency activities,,,
2016,tour operator activities,,,
2016,other reservation service and related activities,,,
2016,private security activities,,,
2016,security systems service activities,,,
2016,investigation activities,,,
2016,combined facilities support activities,,,
2016,general cleaning of buildings,,,
2016,other building and industrial cleaning activities,,,
2016,other cleaning activities,,,
2016,landscape service activities,,,
2016,combined office administrative service activities,,,
2016,"photocopying, document preparation and other specialised office support activities",,,
2016,activities of call centres,,,
2016,organisation of conventions and trade shows,,,
2016,activities of collection agencies and credit bureaus,,,
2016,packaging activities,,,
2016,other business support service activities n.e.c.,,,
2016,general government administration,,,
2016,"regulation in the fields of health, education, culture and other social sectors, except compulsory social insurance",,,
2016,regulation and promotion of effective economic activity,,,
2016,international activities,,,
2016,activities in the field of defense,,,
2016,activities in the field of justice and justice,,,
2016,activities in the field of public order and safety,,,
2016,activities of fire services,,,
2016,activities in the field of compulsory social insurance,,,
2016,pre-primary education,,,
2016,primary education,,,
2016,general secondary education,,,
2016,technical and vocational secondary education,,,
2016,post-secondary non-tertiary education,,,
2016,tertiary education,,,
2016,sports and recreation education,,,
2016,cultural education,,,
2016,driving school activities,,,
2016,other education n.e.c.,,,
2016,educational support activities,,,
2016,hospital activities,,,
2016,general medical practice activities,,,
2016,specialist medical practice activities,,,
2016,dental practice activities,,,
2016,other human health activities,,,
2016,residential nursing care activities,,,
2016,"residential care activities for mental retardation, mental health and substance abuse",,,
2016,residential care activities for the elderly and disabled,,,
2016,other residential care activities,,,
2016,social work activities without accommodation for the elderly and disabled,,,
2016,child day-care activities,,,
2016,other social work activities without accommodation n.e.c.,,,
2016,performing arts,,,
2016,support activities to performing arts,,,
2016,artistic creation,,,
2016,operation of arts facilities,,,
2016,library and archives activities,,,
2016,museums activities,,,
2016,operation of historical sites and buildings and similar visitor attractions,,,
2016,botanical and zoological gardens and nature reserves activities,,,
2016,gambling and betting activities,,,
2016,operation of sports facilities,,,
2016,activities of sport clubs,,,
2016,fitness facilities,,,
2016,other sports activities,,,
2016,activities of amusement parks and theme parks,,,
2016,other amusement and recreation activities,,,
2016,activities of organizations of industrialists and entrepreneurs,,,
2016,,,Ukraine,
2016,,,Autonomous Republic of Crimea,
2016,,,Vinnytsya,
2016,,,Volyn,
2016,,,Dnipropetrovsk,
2016,,,Donetsk,
2016,,,Zhytomyr,
2016,,,Zakarpattya,
2016,,,Zaporizhzhya,
2016,,,Ivano-Frankivsk,
2016,,,Kyiv,
2016,,,Kirovohrad,
2016,,,Luhansk,
2016,,,Lviv,
2016,,,Mykolayiv,
2016,,,Odesa,
2016,,,Poltava,
2016,,,Rivne,
2016,,,Sumy,
2016,,,Ternopil,
2016,,,Kharkiv,
2016,,,Kherson,
2016,,,Khmelnytskiy,
2016,,,Cherkasy,
2016,,,Chernivtsi,
2016,,,Chernihiv,
2016,,,the city of Kyiv,
2016,,,city Sevastopol,
2017,"growing of cereals (except rice), leguminous crops and oil seeds",,,
2017,growing of rice,,,
2017,"growing of vegetables and melons, roots and tubers",,,
2017,growing of sugar cane,,,
2017,growing of tobacco,,,
2017,growing of fibre crops,,,
2017,growing of other non-perennial crops,,,
2017,growing of grapes,,,
2017,growing of pome fruits and stone fruits,,,
2017,growing of other tree and bush fruits and nuts,,,
2017,growing of beverage crops,,,
2017,"growing of spices, aromatic, drug and pharmaceutical crops",,,
2017,growing of other perennial crops,,,
2017,plant propagation,,,
2017,raising of dairy cattle,,,
2017,raising of other cattle and buffaloes,,,
2017,raising of horses and other equines,,,
2017,raising of camels and camelids,,,
2017,raising of sheep and goats,,,
2017,raising of swine/pigs,,,
2017,raising of poultry,,,
2017,raising of other animals,,,
2017,mixed farming,,,
2017,support activities for crop production,,,
2017,support activities for animal production,,,
2017,post-harvest crop activities,,,
2017,seed processing for propagation,,,
2017,"hunting, trapping and related service activities",,,
2017,silviculture and other forestry activities,,,
2017,logging,,,
2017,gathering of wild growing non-wood products,,,
2017,support services to forestry,,,
2017,marine fishing,,,
2017,freshwater fishing,,,
2017,marine aquaculture,,,
2017,freshwater aquaculture,,,
2017,mining of hard coal,,,
2017,mining of lignite,,,
2017,extraction of crude petroleum,,,
2017,extraction of natural gas,,,
2017,mining of iron ores,,,
2017,mining of uranium and thorium ores,,,
2017,mining of other non-ferrous metal ores,,,
2017,"quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",,,
2017,operation of gravel and sand pits; mining of clays and kaolin,,,
2017,mining of chemical and fertiliser minerals,,,
2017,extraction of peat,,,
2017,extraction of salt,,,
2017,other mining and quarrying n.e.c.,,,
2017,mining support service activities,,,
2017,support activities for other mining and quarrying,,,
2017,processing and preserving of meat,,,
2017,processing and preserving of poultry meat,,,
2017,production of meat and poultry meat products,,,
2017,"processing and preserving of fish, crustaceans and molluscs",,,
2017,processing and preserving of potatoes,,,
2017,manufacture of fruit and vegetable juice,,,
2017,other processing and preserving of fruit and vegetables,,,
2017,manufacture of vegetable and animal oils and fats,,,
2017,manufacture of margarine and similar edible fats,,,
2017,operation of dairies and cheese making,,,
2017,manufacture of ice cream,,,
2017,manufacture of grain mill products,,,
2017,manufacture of starches and starch products,,,
2017,manufacture of bread; manufacture of fresh pastry goods and cakes,,,
2017,manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,,,
2017,"manufacture of macaroni, noodles, couscous and similar farinaceous products",,,
2017,manufacture of sugar,,,
2017,"manufacture of cocoa, chocolate and sugar confectionery",,,
2017,processing of tea and coffee,,,
2017,manufacture of condiments and seasonings,,,
2017,manufacture of prepared meals and dishes,,,
2017,manufacture of homogenised food preparations and dietetic food,,,
2017,manufacture of other food products n.e.c.,,,
2017,manufacture of prepared feeds for farm animals,,,
2017,manufacture of prepared pet foods,,,
2017,"distilling, rectifying and blending of spirits",,,
2017,manufacture of wine from grape,,,
2017,manufacture of cider and other fruit wines,,,
2017,manufacture of other non-distilled fermented beverages,,,
2017,manufacture of beer,,,
2017,manufacture of malt,,,
2017,manufacture of soft drinks; production of mineral waters and other bottled waters,,,
2017,manufacture of tobacco products,,,
2017,preparation and spinning of textile fibres,,,
2017,weaving of textiles,,,
2017,finishing of textiles,,,
2017,manufacture of knitted and crocheted fabrics,,,
2017,"manufacture of made-up textile articles, except apparel",,,
2017,manufacture of carpets and rugs,,,
2017,"manufacture of cordage, rope, twine and netting",,,
2017,"manufacture of non-wovens and articles made from non-wovens, except apparel",,,
2017,manufacture of other technical and industrial textiles,,,
2017,manufacture of other textiles n.e.c.,,,
2017,manufacture of leather clothes,,,
2017,manufacture of workwear,,,
2017,manufacture of other outerwear,,,
2017,manufacture of underwear,,,
2017,manufacture of other wearing apparel and accessories,,,
2017,manufacture of articles of fur,,,
2017,manufacture of knitted and crocheted hosiery,,,
2017,manufacture of other knitted and crocheted apparel,,,
