Year,Types of economic activity,by the organisational and legal forms,Region,Value
2025,"manufacture of instruments and appliances for measuring, testing and navigation",,,8.8
2025,manufacture of watches and clocks,,,13.0
2025,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,18.6
2025,manufacture of optical instruments and photographic equipment,,,
2025,manufacture of magnetic and optical media,,,17.1
2025,"manufacture of electric motors, generators and transformers",,,13.3
2025,manufacture of electricity distribution and control apparatus,,,21.1
2025,manufacture of batteries and accumulators,,,22.7
2025,manufacture of fibre optic cables,,,26.2
2025,manufacture of other electronic and electric wires and cables,,,
2025,manufacture of wiring devices,,,14.3
2025,manufacture of electric lighting equipment,,,14.6
2025,manufacture of electric domestic appliances,,,30.8
2025,manufacture of non-electric domestic appliances,,,20.0
2025,manufacture of other electrical equipment,,,23.5
2025,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,18.4
2025,manufacture of fluid power equipment,,,22.2
2025,manufacture of other pumps and compressors,,,13.0
2025,manufacture of other taps and valves,,,10.5
2025,"manufacture of bearings, gears, gearing and driving elements",,,21.5
2025,"manufacture of ovens, furnaces and furnace burners",,,6.4
2025,manufacture of lifting and handling equipment,,,26.5
2025,manufacture of office machinery and equipment (except computers and peripheral equipment),,,16.7
2025,manufacture of power-driven hand tools,,,19.1
2025,manufacture of non-domestic cooling and ventilation equipment,,,
2025,manufacture of other general-purpose machinery n.e.c.,,,66.7
2025,manufacture of agricultural and forestry machinery,,,23.8
2025,manufacture of metal forming machinery,,,44.0
2025,manufacture of other machine tools,,,17.3
2025,manufacture of machinery for metallurgy,,,12.9
2025,"manufacture of machinery for mining, quarrying and construction",,,41.8
2025,"manufacture of machinery for food, beverage and tobacco processing",,,18.4
2025,"manufacture of machinery for textile, apparel and leather production",,,
2025,manufacture of machinery for paper and paperboard production,,,26.7
2025,manufacture of plastics and rubber machinery,,,79.4
2025,manufacture of other special-purpose machinery n.e.c.,,,10.3
2025,manufacture of motor vehicles,,,25.2
2025,manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,,,56.8
2025,manufacture of electrical and electronic equipment for motor vehicles,,,22.1
2025,manufacture of other parts and accessories for motor vehicles,,,31.8
2025,building of ships and floating structures,,,48.2
2025,building of pleasure and sporting boats,,,9.6
2025,manufacture of railway locomotives and rolling stock,,,12.6
2025,manufacture of air and spacecraft and related machinery,,,12.5
2025,manufacture of military fighting vehicles,,,13.4
2025,manufacture of motorcycles,,,19.5
2025,manufacture of bicycles and invalid carriages,,,12.2
2025,manufacture of other transport equipment n.e.c.,,,9.8
2025,manufacture of office and shop furniture,,,14.1
2025,manufacture of kitchen furniture,,,15.7
2025,manufacture of mattresses,,,25.6
2025,manufacture of other furniture,,,44.4
2025,striking of coins,,,
2025,manufacture of jewellery and related articles,,,23.5
2025,manufacture of imitation jewellery and related articles,,,12.5
2025,manufacture of musical instruments,,,30.0
2025,manufacture of sports goods,,,33.0
2025,manufacture of games and toys,,,15.2
2025,manufacture of medical and dental instruments and supplies,,,34.0
2025,manufacture of brooms and brushes,,,
2025,other manufacturing n.e.c.,,,23.4
2025,repair of fabricated metal products,,,40.0
2025,repair of machinery,,,19.3
2025,repair of electronic and optical equipment,,,23.7
2025,repair of electrical equipment,,,22.4
2025,repair and maintenance of ships and boats,,,17.9
2025,repair and maintenance of aircraft and spacecraft,,,15.0
2025,repair and maintenance of other transport equipment,,,17.4
2025,repair of other equipment,,,
2025,installation of industrial machinery and equipment,,,12.3
2025,production of electricity,,,13.9
2025,transmission of electricity,,,3.6
2025,distribution of electricity,,,15.1
2025,trade of electricity,,,14.5
2025,manufacture of gas,,,16.2
2025,distribution of gaseous fuels through mains,,,6.9
2025,trade of gas through mains,,,11.2
2025,steam and air conditioning supply,,,11.5
2025,"water collection, treatment and supply",,,15.8
2025,sewerage,,,13.7
2025,collection of non-hazardous waste,,,10.7
2025,collection of hazardous waste,,,10.8
2025,treatment and disposal of non-hazardous waste,,,18.0
2025,treatment and disposal of hazardous waste,,,13.2
2025,dismantling of wrecks,,,11.5
2025,recovery of sorted materials,,,14.4
2025,remediation activities and other waste management services,,,15.2
2025,development of building projects,,,17.6
2025,construction of residential and non-residential buildings,,,12.5
2025,construction of roads and motorways,,,30.6
2025,construction of railways and underground railways,,,28.1
2025,construction of bridges and tunnels,,,19.7
2025,construction of utility projects for fluids,,,33.1
2025,construction of utility projects for electricity and telecommunications,,,26.2
2025,construction of water projects,,,29.8
2025,construction of other civil engineering projects n.e.c.,,,21.7
2025,demolition,,,42.3
2025,site preparation,,,59.1
2025,test drilling and boring,,,33.2
2025,electrical installation,,,47.7
2025,"plumbing, heat and air-conditioning installation",,,46.4
2025,other construction installation,,,32.9
2025,plastering,,,55.3
2025,joinery installation,,,30.7
2025,floor and wall covering,,,30.5
2025,painting and glazing,,,40.3
2025,other building completion and finishing,,,44.5
2025,roofing activities,,,42.6
2025,other specialised construction activities n.e.c.,,,37.8
2025,sale of cars and light motor vehicles,,,50.0
2025,sale of other motor vehicles,,,44.9
2025,maintenance and repair of motor vehicles,,,40.7
2025,wholesale trade of motor vehicle parts and accessories,,,41.0
2025,retail trade of motor vehicle parts and accessories,,,43.8
2025,"sale, maintenance and repair of motorcycles and related parts and accessories",,,49.4
2025,"agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",,,52.0
2025,"agents involved in the sale of fuels, ores, metals and industrial chemicals",,,34.2
2025,agents involved in the sale of timber and building materials,,,48.4
2025,"agents involved in the sale of machinery, industrial equipment, ships and aircraft",,,62.2
2025,"agents involved in the sale of furniture, household goods, hardware and ironmongery",,,52.1
2025,"agents involved in the sale of textiles, clothing, fur, footwear and leather goods",,,45.8
2025,"agents involved in the sale of food, beverages and tobacco",,,48.7
2025,agents specialised in the sale of other particular products,,,46.3
2025,agents involved in the sale of a variety of goods,,,36.6
2025,"wholesale of grain, unmanufactured tobacco, seeds and animal feeds",,,38.4
2025,wholesale of flowers and plants,,,28.7
2025,wholesale of live animals,,,29.6
2025,"wholesale of hides, skins and leather",,,32.9
2025,wholesale of fruit and vegetables,,,38.8
2025,wholesale of meat and meat products,,,43.5
2025,"wholesale of dairy products, eggs and edible oils and fats",,,41.0
2025,wholesale of beverages,,,35.8
2025,wholesale of tobacco products,,,26.0
2025,wholesale of sugar and chocolate and sugar confectionery,,,32.5
2025,"wholesale of coffee, tea, cocoa and spices",,,35.5
2025,"wholesale of other food, including fish, crustaceans and molluscs",,,30.9
2025,"non-specialised wholesale of food, beverages and tobacco",,,40.8
2025,wholesale of textiles,,,38.2
2025,wholesale of clothing and footwear,,,27.9
2025,wholesale of electrical household appliances,,,41.2
2025,wholesale of china and glassware and cleaning materials,,,66.7
2025,wholesale of perfume and cosmetics,,,61.6
2025,wholesale of pharmaceutical goods,,,55.9
2025,"wholesale of furniture, carpets and lighting equipment",,,66.3
2025,wholesale of watches and jewellery,,,58.4
2025,wholesale of other household goods,,,66.7
2025,"wholesale of computers, computer peripheral equipment and software",,,58.6
2025,wholesale of electronic and telecommunications equipment and parts,,,53.5
2025,"wholesale of agricultural machinery, equipment and supplies",,,65.0
2025,wholesale of machine tools,,,27.1
2025,"wholesale of mining, construction and civil engineering machinery",,,29.0
2025,wholesale of machinery for the textile industry and of sewing and knitting machines,,,34.4
2025,wholesale of office furniture,,,30.7
2025,wholesale of other office machinery and equipment,,,74.8
2025,wholesale of other machinery and equipment,,,38.4
2025,"wholesale of solid, liquid and gaseous fuels and related products",,,47.7
2025,wholesale of metals and metal ores,,,39.4
2025,"wholesale of wood, construction materials and sanitary equipment",,,53.9
2025,"wholesale of hardware, plumbing and heating equipment and supplies",,,62.8
2025,wholesale of chemical products,,,66.8
2025,wholesale of other intermediate products,,,36.2
2025,wholesale of waste and scrap,,,38.3
2025,non-specialised wholesale trade,,,68.7
2025,"retail sale in non-specialised stores with food, beverages or tobacco predominating",,,75.2
2025,other retail sale in non-specialised stores,,,68.3
2025,retail sale of fruit and vegetables in specialised stores,,,63.5
2025,retail sale of meat and meat products in specialised stores,,,60.8
2025,"retail sale of fish, crustaceans and molluscs in specialised stores",,,75.2
2025,"retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",,,72.5
2025,retail sale of beverages in specialised stores,,,67.7
2025,retail sale of tobacco products in specialised stores,,,54.3
2025,other retail sale of food in specialised stores,,,65.3
2025,retail sale of automotive fuel in specialised stores,,,64.3
2025,"retail sale of computers, peripheral units and software in specialised stores",,,73.3
2025,retail sale of telecommunications equipment in specialised stores,,,53.3
2025,retail sale of audio and video equipment in specialised stores,,,57.0
2025,retail sale of textiles in specialised stores,,,43.3
2025,"retail sale of hardware, paints and glass in specialised stores",,,80.0
2025,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,31.6
2025,retail sale of electrical household appliances in specialised stores,,,15.2
2025,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,5.0
2025,retail sale of books in specialised stores,,,12.1
2025,retail sale of newspapers and stationery in specialised stores,,,13.6
2025,retail sale of music and video recordings in specialised stores,,,10.4
2025,retail sale of sporting equipment in specialised stores,,,4.3
2025,retail sale of games and toys in specialised stores,,,9.1
2025,retail sale of clothing in specialised stores,,,6.5
2025,retail sale of footwear and leather goods in specialised stores,,,25.0
2025,dispensing chemist in specialised stores,,,14.3
2025,retail sale of medical and orthopaedic goods in specialised stores,,,46.2
2025,retail sale of cosmetic and toilet articles in specialised stores,,,
2025,"retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",,,26.8
2025,retail sale of watches and jewellery in specialised stores,,,35.8
2025,other retail sale of new goods in specialised stores,,,15.2
2025,retail sale of second-hand goods in stores,,,54.5
