Year,group_label_90,group_label_91,group_4,group_5,group_6,group_7,group_8,group_9,Value
2015,,group_label_137,,,,,,,
2016,,group_label_137,,,,,,,
2017,,group_label_137,,,,,,,78.27
2018,,group_label_137,,,,,,,76.92
2019,,group_label_137,,,,,,,74.79
2020,,group_label_137,,,,,,,72.18
2021,,group_label_137,,,,,,,73.4
2022,,group_label_137,,,,,,,1.26
2023,,group_label_137,,,,,,,
2024,,group_label_137,,,,,,,
2015,,,group_label_124,,,,,,
2016,,,group_label_124,,,,,,
2017,,,group_label_124,,,,,,
2018,,,group_label_124,,,,,,
2019,,,group_label_124,,,,,,
2020,,,group_label_124,,,,,,
2021,,,group_label_124,,,,,,
2022,,,group_label_124,,,,,,
2023,,,group_label_124,,,,,,
2024,,,group_label_124,,,,,,1.18
2015,,,group_label_138,,,,,,
2016,,,group_label_138,,,,,,
2017,,,group_label_138,,,,,,
2018,,,group_label_138,,,,,,
2019,,,group_label_138,,,,,,
2020,,,group_label_138,,,,,,
2021,,,group_label_138,,,,,,
2022,,,group_label_138,,,,,,
2023,,,group_label_138,,,,,,
2024,,,group_label_138,,,,,,
2015,,,group_label_139,,,,,,
2016,,,group_label_139,,,,,,
2017,,,group_label_139,,,,,,
2018,,,group_label_139,,,,,,
2019,,,group_label_139,,,,,,
2020,,,group_label_139,,,,,,
2021,,,group_label_139,,,,,,
2022,,,group_label_139,,,,,,
2023,,,group_label_139,,,,,,
2024,,,group_label_139,,,,,,
2015,,,group_label_140,,,,,,
2016,,,group_label_140,,,,,,
2017,,,group_label_140,,,,,,
2018,,,group_label_140,,,,,,
2019,,,group_label_140,,,,,,
2020,,,group_label_140,,,,,,
2021,,,group_label_140,,,,,,
2022,,,group_label_140,,,,,,
2023,,,group_label_140,,,,,,
2024,,,group_label_140,,,,,,2.01
2015,,,group_label_141,,,,,,
2016,,,group_label_141,,,,,,
2017,,,group_label_141,,,,,,
2018,,,group_label_141,,,,,,
2019,,,group_label_141,,,,,,
2020,,,group_label_141,,,,,,
2021,,,group_label_141,,,,,,
2022,,,group_label_141,,,,,,
2023,,,group_label_141,,,,,,
2024,,,group_label_141,,,,,,
2015,,,group_label_142,,,,,,
2016,,,group_label_142,,,,,,
2017,,,group_label_142,,,,,,
2018,,,group_label_142,,,,,,
2019,,,group_label_142,,,,,,
2020,,,group_label_142,,,,,,
2021,,,group_label_142,,,,,,
2022,,,group_label_142,,,,,,
2023,,,group_label_142,,,,,,
2024,,,group_label_142,,,,,,11.14
2015,,,group_label_143,,,,,,
2016,,,group_label_143,,,,,,
2017,,,group_label_143,,,,,,
2018,,,group_label_143,,,,,,
2019,,,group_label_143,,,,,,
2020,,,group_label_143,,,,,,
2021,,,group_label_143,,,,,,
2022,,,group_label_143,,,,,,
2023,,,group_label_143,,,,,,
2024,,,group_label_143,,,,,,1.76
2015,,,group_label_144,,,,,,
2016,,,group_label_144,,,,,,
2017,,,group_label_144,,,,,,
2018,,,group_label_144,,,,,,
2019,,,group_label_144,,,,,,
2020,,,group_label_144,,,,,,
2021,,,group_label_144,,,,,,
2022,,,group_label_144,,,,,,
