Year,WaterType,SupplyType,Region,Value
2015,radiation,rural_pipelines,29_reg_Kharkiv,0.0
2015,radiation,non_centralized_1,29_reg_Kharkiv,0.0
2015,microbiological,urban_pipelines,30_reg_Kherson,2.8
2015,microbiological,rural_pipelines,30_reg_Kherson,2.8
2015,microbiological,non_centralized_1,30_reg_Kherson,13.1
2015,sanitary_chemical,urban_pipelines,30_reg_Kherson,14.2
2015,sanitary_chemical,rural_pipelines,30_reg_Kherson,21.7
2015,sanitary_chemical,non_centralized_1,30_reg_Kherson,60.8
2015,radiation,urban_pipelines,30_reg_Kherson,0.0
2015,radiation,rural_pipelines,30_reg_Kherson,0.0
2015,radiation,non_centralized_1,30_reg_Kherson,0.0
2015,microbiological,urban_pipelines,31_reg_Khmelnytskiy,7.3
2015,microbiological,rural_pipelines,31_reg_Khmelnytskiy,17.5
2015,microbiological,non_centralized_1,31_reg_Khmelnytskiy,41.1
2015,sanitary_chemical,urban_pipelines,31_reg_Khmelnytskiy,9.5
2015,sanitary_chemical,rural_pipelines,31_reg_Khmelnytskiy,13.3
2015,sanitary_chemical,non_centralized_1,31_reg_Khmelnytskiy,58.7
2015,radiation,urban_pipelines,31_reg_Khmelnytskiy,0.0
2015,radiation,rural_pipelines,31_reg_Khmelnytskiy,0.0
2015,radiation,non_centralized_1,31_reg_Khmelnytskiy,0.0
2015,microbiological,urban_pipelines,32_reg_Cherkasy,3.0
2015,microbiological,rural_pipelines,32_reg_Cherkasy,5.4
2015,microbiological,non_centralized_1,32_reg_Cherkasy,13.5
2015,sanitary_chemical,urban_pipelines,32_reg_Cherkasy,4.0
2015,sanitary_chemical,rural_pipelines,32_reg_Cherkasy,7.4
2015,sanitary_chemical,non_centralized_1,32_reg_Cherkasy,38.6
2015,radiation,urban_pipelines,32_reg_Cherkasy,0.0
2015,radiation,rural_pipelines,32_reg_Cherkasy,0.0
2015,radiation,non_centralized_1,32_reg_Cherkasy,0.0
2015,microbiological,urban_pipelines,33_reg_Chernivtsi,0.9
2015,microbiological,rural_pipelines,33_reg_Chernivtsi,0.0
2015,microbiological,non_centralized_1,33_reg_Chernivtsi,3.6
2015,sanitary_chemical,urban_pipelines,33_reg_Chernivtsi,0.2
2015,sanitary_chemical,rural_pipelines,33_reg_Chernivtsi,0.0
2015,sanitary_chemical,non_centralized_1,33_reg_Chernivtsi,0.3
2015,radiation,urban_pipelines,33_reg_Chernivtsi,0.0
2015,radiation,rural_pipelines,33_reg_Chernivtsi,0.0
2015,radiation,non_centralized_1,33_reg_Chernivtsi,0.0
2015,microbiological,urban_pipelines,34_reg_Chernihiv,1.0
2015,microbiological,rural_pipelines,34_reg_Chernihiv,3.4
2015,microbiological,non_centralized_1,34_reg_Chernihiv,18.6
2015,sanitary_chemical,urban_pipelines,34_reg_Chernihiv,2.1
2015,sanitary_chemical,rural_pipelines,34_reg_Chernihiv,9.2
2015,sanitary_chemical,non_centralized_1,34_reg_Chernihiv,33.6
2015,radiation,urban_pipelines,34_reg_Chernihiv,0.0
2015,radiation,rural_pipelines,34_reg_Chernihiv,0.0
2015,radiation,non_centralized_1,34_reg_Chernihiv,0.0
2015,microbiological,urban_pipelines,35_reg_Kyiv_city,0.8
2015,microbiological,rural_pipelines,35_reg_Kyiv_city,
2015,microbiological,non_centralized_1,35_reg_Kyiv_city,6.8
2015,sanitary_chemical,urban_pipelines,35_reg_Kyiv_city,5.7
2015,sanitary_chemical,rural_pipelines,35_reg_Kyiv_city,
2015,sanitary_chemical,non_centralized_1,35_reg_Kyiv_city,27.4
2015,radiation,urban_pipelines,35_reg_Kyiv_city,0.0
2015,radiation,rural_pipelines,35_reg_Kyiv_city,
2015,radiation,non_centralized_1,35_reg_Kyiv_city,0.0
2015,microbiological,urban_pipelines,city_Sevastopol,
2015,microbiological,rural_pipelines,city_Sevastopol,
2015,microbiological,non_centralized_1,city_Sevastopol,
2015,sanitary_chemical,urban_pipelines,city_Sevastopol,
2015,sanitary_chemical,rural_pipelines,city_Sevastopol,
2015,sanitary_chemical,non_centralized_1,city_Sevastopol,
2015,radiation,urban_pipelines,city_Sevastopol,
2015,radiation,rural_pipelines,city_Sevastopol,
2015,radiation,non_centralized_1,city_Sevastopol,
2016,microbiological,urban_pipelines,Ukraine,4.3
2016,microbiological,rural_pipelines,Ukraine,10.4
2016,microbiological,non_centralized_1,Ukraine,23.1
2016,microbiological,centralized,Ukraine,6.4
2016,microbiological,urban_pipelines,Ukraine,4.3
2016,microbiological,rural_pipelines,Ukraine,10.4
2016,microbiological,non_centralized_1,Ukraine,23.1
2016,sanitary_chemical,urban_pipelines,Ukraine,13.7
2016,sanitary_chemical,rural_pipelines,Ukraine,25.5
2016,sanitary_chemical,non_centralized_1,Ukraine,33.2
2016,radiation,urban_pipelines,Ukraine,1.1
2016,radiation,rural_pipelines,Ukraine,0.5
2016,radiation,non_centralized_1,Ukraine,0.4
2016,microbiological,urban_pipelines,autonomous_Republic_of_Crimea,
2016,microbiological,rural_pipelines,autonomous_Republic_of_Crimea,
2016,microbiological,non_centralized_1,autonomous_Republic_of_Crimea,
2016,sanitary_chemical,urban_pipelines,autonomous_Republic_of_Crimea,
2016,sanitary_chemical,rural_pipelines,autonomous_Republic_of_Crimea,
2016,sanitary_chemical,non_centralized_1,autonomous_Republic_of_Crimea,
2016,radiation,urban_pipelines,autonomous_Republic_of_Crimea,
2016,radiation,rural_pipelines,autonomous_Republic_of_Crimea,
2016,radiation,non_centralized_1,autonomous_Republic_of_Crimea,
2016,microbiological,urban_pipelines,11_reg_Vinnytsya,7.9
2016,microbiological,rural_pipelines,11_reg_Vinnytsya,16.9
2016,microbiological,non_centralized_1,11_reg_Vinnytsya,6.1
2016,sanitary_chemical,urban_pipelines,11_reg_Vinnytsya,3.7
2016,sanitary_chemical,rural_pipelines,11_reg_Vinnytsya,14.1
2016,sanitary_chemical,non_centralized_1,11_reg_Vinnytsya,35.6
2016,radiation,urban_pipelines,11_reg_Vinnytsya,0.0
2016,radiation,rural_pipelines,11_reg_Vinnytsya,0.0
2016,radiation,non_centralized_1,11_reg_Vinnytsya,0.0
2016,microbiological,urban_pipelines,12_reg_Volyn,0.1
2016,microbiological,rural_pipelines,12_reg_Volyn,4.3
2016,microbiological,non_centralized_1,12_reg_Volyn,37.9
2016,sanitary_chemical,urban_pipelines,12_reg_Volyn,4.1
2016,sanitary_chemical,rural_pipelines,12_reg_Volyn,11.6
2016,sanitary_chemical,non_centralized_1,12_reg_Volyn,79.1
2016,radiation,urban_pipelines,12_reg_Volyn,0.0
2016,radiation,rural_pipelines,12_reg_Volyn,0.0
2016,radiation,non_centralized_1,12_reg_Volyn,0.0
2016,microbiological,urban_pipelines,13_reg_Dnipropetrovsk,2.2
2016,microbiological,rural_pipelines,13_reg_Dnipropetrovsk,2.7
2016,microbiological,non_centralized_1,13_reg_Dnipropetrovsk,24.7
2016,sanitary_chemical,urban_pipelines,13_reg_Dnipropetrovsk,23.8
2016,sanitary_chemical,rural_pipelines,13_reg_Dnipropetrovsk,42.4
2016,sanitary_chemical,non_centralized_1,13_reg_Dnipropetrovsk,34.3
2016,radiation,urban_pipelines,13_reg_Dnipropetrovsk,0.0
2016,radiation,rural_pipelines,13_reg_Dnipropetrovsk,0.0
2016,radiation,non_centralized_1,13_reg_Dnipropetrovsk,0.0
2016,microbiological,urban_pipelines,14_reg_Donetsk,2.6
2016,microbiological,rural_pipelines,14_reg_Donetsk,6.6
2016,microbiological,non_centralized_1,14_reg_Donetsk,12.6
2016,sanitary_chemical,urban_pipelines,14_reg_Donetsk,9.1
2016,sanitary_chemical,rural_pipelines,14_reg_Donetsk,29.1
2016,sanitary_chemical,non_centralized_1,14_reg_Donetsk,15.2
2016,radiation,urban_pipelines,14_reg_Donetsk,0.0
2016,radiation,rural_pipelines,14_reg_Donetsk,0.0
2016,radiation,non_centralized_1,14_reg_Donetsk,0.0
2016,microbiological,urban_pipelines,15_reg_Zhytomyr,4.4
2016,microbiological,rural_pipelines,15_reg_Zhytomyr,6.7
2016,microbiological,non_centralized_1,15_reg_Zhytomyr,8.0
2016,sanitary_chemical,urban_pipelines,15_reg_Zhytomyr,19.2
2016,sanitary_chemical,rural_pipelines,15_reg_Zhytomyr,28.6
2016,sanitary_chemical,non_centralized_1,15_reg_Zhytomyr,75.9
2016,radiation,urban_pipelines,15_reg_Zhytomyr,0.0
2016,radiation,rural_pipelines,15_reg_Zhytomyr,0.0
2016,radiation,non_centralized_1,15_reg_Zhytomyr,0.0
2016,microbiological,urban_pipelines,16_reg_Zakarpattya,6.6
2016,microbiological,rural_pipelines,16_reg_Zakarpattya,6.8
2016,microbiological,non_centralized_1,16_reg_Zakarpattya,24.9
2016,sanitary_chemical,urban_pipelines,16_reg_Zakarpattya,4.3
2016,sanitary_chemical,rural_pipelines,16_reg_Zakarpattya,5.9
2016,sanitary_chemical,non_centralized_1,16_reg_Zakarpattya,17.8
2016,radiation,urban_pipelines,16_reg_Zakarpattya,0.0
2016,radiation,rural_pipelines,16_reg_Zakarpattya,0.0
2016,radiation,non_centralized_1,16_reg_Zakarpattya,0.0
2016,microbiological,urban_pipelines,17_reg_Zaporizhzhya,2.0
2016,microbiological,rural_pipelines,17_reg_Zaporizhzhya,2.3
2016,microbiological,non_centralized_1,17_reg_Zaporizhzhya,25.4
2016,sanitary_chemical,urban_pipelines,17_reg_Zaporizhzhya,17.7
2016,sanitary_chemical,rural_pipelines,17_reg_Zaporizhzhya,39.7
2016,sanitary_chemical,non_centralized_1,17_reg_Zaporizhzhya,41.1
2016,radiation,urban_pipelines,17_reg_Zaporizhzhya,14.2
2016,radiation,rural_pipelines,17_reg_Zaporizhzhya,25.0
2016,radiation,non_centralized_1,17_reg_Zaporizhzhya,0.0
2016,microbiological,urban_pipelines,18_reg_Ivano-Frankivsk,2.0
2016,microbiological,rural_pipelines,18_reg_Ivano-Frankivsk,6.3
2016,microbiological,non_centralized_1,18_reg_Ivano-Frankivsk,16.3
2016,sanitary_chemical,urban_pipelines,18_reg_Ivano-Frankivsk,2.4
2016,sanitary_chemical,rural_pipelines,18_reg_Ivano-Frankivsk,5.2
2016,sanitary_chemical,non_centralized_1,18_reg_Ivano-Frankivsk,65.2
2016,radiation,urban_pipelines,18_reg_Ivano-Frankivsk,0.0
2016,radiation,rural_pipelines,18_reg_Ivano-Frankivsk,0.0
2016,radiation,non_centralized_1,18_reg_Ivano-Frankivsk,0.0
2016,microbiological,urban_pipelines,19_reg_Kyiv,2.7
2016,microbiological,rural_pipelines,19_reg_Kyiv,13.8
2016,microbiological,non_centralized_1,19_reg_Kyiv,8.5
2016,sanitary_chemical,urban_pipelines,19_reg_Kyiv,20.2
2016,sanitary_chemical,rural_pipelines,19_reg_Kyiv,33.1
2016,sanitary_chemical,non_centralized_1,19_reg_Kyiv,37.0
2016,radiation,urban_pipelines,19_reg_Kyiv,0.0
2016,radiation,rural_pipelines,19_reg_Kyiv,0.0
2016,radiation,non_centralized_1,19_reg_Kyiv,0.0
2016,microbiological,urban_pipelines,20_reg_Kirovohrad,2.1
2016,microbiological,rural_pipelines,20_reg_Kirovohrad,9.6
2016,microbiological,non_centralized_1,20_reg_Kirovohrad,20.3
2016,sanitary_chemical,urban_pipelines,20_reg_Kirovohrad,19.7
2016,sanitary_chemical,rural_pipelines,20_reg_Kirovohrad,23.5
2016,sanitary_chemical,non_centralized_1,20_reg_Kirovohrad,14.4
2016,radiation,urban_pipelines,20_reg_Kirovohrad,0.0
2016,radiation,rural_pipelines,20_reg_Kirovohrad,0.0
2016,radiation,non_centralized_1,20_reg_Kirovohrad,33.3
2016,microbiological,urban_pipelines,21_reg_Luhansk,3.3
2016,microbiological,rural_pipelines,21_reg_Luhansk,4.6
2016,microbiological,non_centralized_1,21_reg_Luhansk,31.5
2016,sanitary_chemical,urban_pipelines,21_reg_Luhansk,27.2
2016,sanitary_chemical,rural_pipelines,21_reg_Luhansk,76.1
2016,sanitary_chemical,non_centralized_1,21_reg_Luhansk,78.0
2016,radiation,urban_pipelines,21_reg_Luhansk,0.0
2016,radiation,rural_pipelines,21_reg_Luhansk,0.0
2016,radiation,non_centralized_1,21_reg_Luhansk,0.0
2016,microbiological,urban_pipelines,22_reg_Lviv,6.1
2016,microbiological,rural_pipelines,22_reg_Lviv,7.2
2016,microbiological,non_centralized_1,22_reg_Lviv,37.5
2016,sanitary_chemical,urban_pipelines,22_reg_Lviv,4.4
2016,sanitary_chemical,rural_pipelines,22_reg_Lviv,3.1
2016,sanitary_chemical,non_centralized_1,22_reg_Lviv,53.7
2016,radiation,urban_pipelines,22_reg_Lviv,0.0
2016,radiation,rural_pipelines,22_reg_Lviv,0.0
2016,radiation,non_centralized_1,22_reg_Lviv,0.0
2016,microbiological,urban_pipelines,23_reg_Mykolayiv,5.1
2016,microbiological,rural_pipelines,23_reg_Mykolayiv,17.7
2016,microbiological,non_centralized_1,23_reg_Mykolayiv,11.9
2016,sanitary_chemical,urban_pipelines,23_reg_Mykolayiv,24.6
2016,sanitary_chemical,rural_pipelines,23_reg_Mykolayiv,71.9
2016,sanitary_chemical,non_centralized_1,23_reg_Mykolayiv,40.5
2016,radiation,urban_pipelines,23_reg_Mykolayiv,0.0
2016,radiation,rural_pipelines,23_reg_Mykolayiv,0.0
2016,radiation,non_centralized_1,23_reg_Mykolayiv,0.0
2016,microbiological,urban_pipelines,24_reg_Odesa,10.8
2016,microbiological,rural_pipelines,24_reg_Odesa,13.9
2016,microbiological,non_centralized_1,24_reg_Odesa,33.7
2016,sanitary_chemical,urban_pipelines,24_reg_Odesa,12.7
2016,sanitary_chemical,rural_pipelines,24_reg_Odesa,18.9
2016,sanitary_chemical,non_centralized_1,24_reg_Odesa,37.8
2016,radiation,urban_pipelines,24_reg_Odesa,0.0
2016,radiation,rural_pipelines,24_reg_Odesa,0.0
2016,radiation,non_centralized_1,24_reg_Odesa,4.1
2016,microbiological,urban_pipelines,25_reg_Poltava,3.9
2016,microbiological,rural_pipelines,25_reg_Poltava,10.9
