Year,Type of economic activity,By river basins,Region,Value
2020,construction,,,2.406
2021,construction,,,2.484
2022,construction,,,0.568
2023,construction,,,0.006
2024,construction,,,0.04
2015,education,,,
2016,education,,,
2017,education,,,
2018,education,,,
2019,education,,,
2020,education,,,0.254
2021,education,,,0.254
2022,education,,,0.271
2023,education,,,0.308
2024,education,,,0.261
2015,electricity_gas_steam_air_conditioning_supply,,,
2016,electricity_gas_steam_air_conditioning_supply,,,
2017,electricity_gas_steam_air_conditioning_supply,,,
2018,electricity_gas_steam_air_conditioning_supply,,,
2019,electricity_gas_steam_air_conditioning_supply,,,
2020,electricity_gas_steam_air_conditioning_supply,,,4.292
2021,electricity_gas_steam_air_conditioning_supply,,,3.023
2022,electricity_gas_steam_air_conditioning_supply,,,0.215
2023,electricity_gas_steam_air_conditioning_supply,,,3.029
2024,electricity_gas_steam_air_conditioning_supply,,,1.2
2015,financial_and_insurance,,,
2016,financial_and_insurance,,,
2017,financial_and_insurance,,,
2018,financial_and_insurance,,,
2019,financial_and_insurance,,,
2020,financial_and_insurance,,,
2021,financial_and_insurance,,,
2022,financial_and_insurance,,,
2023,financial_and_insurance,,,
2024,financial_and_insurance,,,
2015,household_activities,,,
2016,household_activities,,,
2017,household_activities,,,
2018,household_activities,,,
2019,household_activities,,,
2020,household_activities,,,
2021,household_activities,,,
2022,household_activities,,,
2023,household_activities,,,
2024,household_activities,,,
2015,human_health_and_social_work,,,
2016,human_health_and_social_work,,,
2017,human_health_and_social_work,,,
2018,human_health_and_social_work,,,
2019,human_health_and_social_work,,,
2020,human_health_and_social_work,,,0.457
2021,human_health_and_social_work,,,0.465
2022,human_health_and_social_work,,,0.319
2023,human_health_and_social_work,,,0.352
2024,human_health_and_social_work,,,0.435
2015,information_and_telecommunications,,,
2016,information_and_telecommunications,,,
2017,information_and_telecommunications,,,
2018,information_and_telecommunications,,,
2019,information_and_telecommunications,,,
2020,information_and_telecommunications,,,
2021,information_and_telecommunications,,,
2022,information_and_telecommunications,,,
2023,information_and_telecommunications,,,0.004
2024,information_and_telecommunications,,,0.004
2015,manufacturing,,,
2016,manufacturing,,,
2017,manufacturing,,,
2018,manufacturing,,,
2019,manufacturing,,,
2020,manufacturing,,,25.49
2021,manufacturing,,,16.478
2022,manufacturing,,,9.363
2023,manufacturing,,,10.576
2024,manufacturing,,,7.769
2015,mining_and_quarrying,,,
2016,mining_and_quarrying,,,
2017,mining_and_quarrying,,,
2018,mining_and_quarrying,,,
2019,mining_and_quarrying,,,
2020,mining_and_quarrying,,,77.591
2021,mining_and_quarrying,,,100.205
2022,mining_and_quarrying,,,77.409
2023,mining_and_quarrying,,,50.179
2024,mining_and_quarrying,,,32.478
2015,other_service,,,
2016,other_service,,,
2017,other_service,,,
2018,other_service,,,
2019,other_service,,,
2020,other_service,,,
2021,other_service,,,0.006
2022,other_service,,,
2023,other_service,,,
2024,other_service,,,
2015,professional_scientific_technical,,,
2016,professional_scientific_technical,,,
2017,professional_scientific_technical,,,
2018,professional_scientific_technical,,,
2019,professional_scientific_technical,,,
2020,professional_scientific_technical,,,0.008
2021,professional_scientific_technical,,,0.007
2022,professional_scientific_technical,,,0.023
2023,professional_scientific_technical,,,0.241
2024,professional_scientific_technical,,,0.091
2015,public_administration_and_defense_compulsory_social_insurance,,,
2016,public_administration_and_defense_compulsory_social_insurance,,,
2017,public_administration_and_defense_compulsory_social_insurance,,,
