Year,By type of indicators,Type of water supply,Region,Value
2020,microbiological indicators,urban water pipelines,Kherson,1.1
2021,microbiological indicators,urban water pipelines,Kherson,3.5
2022,microbiological indicators,urban water pipelines,Kherson,0.2
2023,microbiological indicators,urban water pipelines,Kherson,6.7
2024,microbiological indicators,urban water pipelines,Kherson,0.3
2015,microbiological indicators,rural water pipelines,Kherson,2.8
2016,microbiological indicators,rural water pipelines,Kherson,7.0
2017,microbiological indicators,rural water pipelines,Kherson,6.7
2018,microbiological indicators,rural water pipelines,Kherson,5.9
2019,microbiological indicators,rural water pipelines,Kherson,6.2
2020,microbiological indicators,rural water pipelines,Kherson,6.6
2021,microbiological indicators,rural water pipelines,Kherson,9.8
2022,microbiological indicators,rural water pipelines,Kherson,0.0
2023,microbiological indicators,rural water pipelines,Kherson,22.9
2024,microbiological indicators,rural water pipelines,Kherson,9.8
2015,microbiological indicators,non-centralized water supply,Kherson,13.1
2016,microbiological indicators,non-centralized water supply,Kherson,15.9
2017,microbiological indicators,non-centralized water supply,Kherson,6.1
2018,microbiological indicators,non-centralized water supply,Kherson,0.9
2019,microbiological indicators,non-centralized water supply,Kherson,4.3
2020,microbiological indicators,non-centralized water supply,Kherson,3.4
2021,microbiological indicators,non-centralized water supply,Kherson,9.9
2022,microbiological indicators,non-centralized water supply,Kherson,0.0
2023,microbiological indicators,non-centralized water supply,Kherson,41.8
2024,microbiological indicators,non-centralized water supply,Kherson,14.7
2015,sanitary and chemical indicators,urban water pipelines,Kherson,14.2
2016,sanitary and chemical indicators,urban water pipelines,Kherson,12.9
2017,sanitary and chemical indicators,urban water pipelines,Kherson,14.2
2018,sanitary and chemical indicators,urban water pipelines,Kherson,16.8
2019,sanitary and chemical indicators,urban water pipelines,Kherson,22.6
2020,sanitary and chemical indicators,urban water pipelines,Kherson,12.3
2021,sanitary and chemical indicators,urban water pipelines,Kherson,7.5
2022,sanitary and chemical indicators,urban water pipelines,Kherson,3.7
2023,sanitary and chemical indicators,urban water pipelines,Kherson,12.6
2024,sanitary and chemical indicators,urban water pipelines,Kherson,2.7
2015,sanitary and chemical indicators,rural water pipelines,Kherson,21.7
2016,sanitary and chemical indicators,rural water pipelines,Kherson,27.2
2017,sanitary and chemical indicators,rural water pipelines,Kherson,30.9
2018,sanitary and chemical indicators,rural water pipelines,Kherson,31.5
2019,sanitary and chemical indicators,rural water pipelines,Kherson,36.3
2020,sanitary and chemical indicators,rural water pipelines,Kherson,23.3
2021,sanitary and chemical indicators,rural water pipelines,Kherson,18.7
2022,sanitary and chemical indicators,rural water pipelines,Kherson,12.3
2023,sanitary and chemical indicators,rural water pipelines,Kherson,6.9
2024,sanitary and chemical indicators,rural water pipelines,Kherson,19.6
2015,sanitary and chemical indicators,non-centralized water supply,Kherson,60.8
2016,sanitary and chemical indicators,non-centralized water supply,Kherson,37.0
2017,sanitary and chemical indicators,non-centralized water supply,Kherson,26.2
2018,sanitary and chemical indicators,non-centralized water supply,Kherson,18.0
2019,sanitary and chemical indicators,non-centralized water supply,Kherson,14.4
2020,sanitary and chemical indicators,non-centralized water supply,Kherson,13.1
2021,sanitary and chemical indicators,non-centralized water supply,Kherson,17.5
2022,sanitary and chemical indicators,non-centralized water supply,Kherson,0.0
2023,sanitary and chemical indicators,non-centralized water supply,Kherson,41.8
2024,sanitary and chemical indicators,non-centralized water supply,Kherson,37.5
2015,radiation indicators,urban water pipelines,Kherson,0.0
2016,radiation indicators,urban water pipelines,Kherson,0.0
2017,radiation indicators,urban water pipelines,Kherson,0.0
2018,radiation indicators,urban water pipelines,Kherson,0.0
2019,radiation indicators,urban water pipelines,Kherson,0.0
2020,radiation indicators,urban water pipelines,Kherson,0.0
2021,radiation indicators,urban water pipelines,Kherson,0.0
2022,radiation indicators,urban water pipelines,Kherson,0.0
2023,radiation indicators,urban water pipelines,Kherson,0.0
2024,radiation indicators,urban water pipelines,Kherson,0.0
2015,radiation indicators,rural water pipelines,Kherson,0.0
2016,radiation indicators,rural water pipelines,Kherson,0.0
2017,radiation indicators,rural water pipelines,Kherson,0.0
2018,radiation indicators,rural water pipelines,Kherson,0.0
2019,radiation indicators,rural water pipelines,Kherson,0.0
2020,radiation indicators,rural water pipelines,Kherson,0.0
2021,radiation indicators,rural water pipelines,Kherson,0.0
2022,radiation indicators,rural water pipelines,Kherson,0.0
2023,radiation indicators,rural water pipelines,Kherson,0.0
2024,radiation indicators,rural water pipelines,Kherson,0.0
2015,radiation indicators,non-centralized water supply,Kherson,0.0
2016,radiation indicators,non-centralized water supply,Kherson,0.0
2017,radiation indicators,non-centralized water supply,Kherson,0.0
2018,radiation indicators,non-centralized water supply,Kherson,0.0
2019,radiation indicators,non-centralized water supply,Kherson,0.0
2020,radiation indicators,non-centralized water supply,Kherson,0.0
2021,radiation indicators,non-centralized water supply,Kherson,0.0
2022,radiation indicators,non-centralized water supply,Kherson,0.0
2023,radiation indicators,non-centralized water supply,Kherson,0.0
2024,radiation indicators,non-centralized water supply,Kherson,0.0
2015,microbiological indicators,urban water pipelines,Khmelnytskiy,7.3
2016,microbiological indicators,urban water pipelines,Khmelnytskiy,14.5
2017,microbiological indicators,urban water pipelines,Khmelnytskiy,7.9
2018,microbiological indicators,urban water pipelines,Khmelnytskiy,8.7
2019,microbiological indicators,urban water pipelines,Khmelnytskiy,8.5
2020,microbiological indicators,urban water pipelines,Khmelnytskiy,7.9
2021,microbiological indicators,urban water pipelines,Khmelnytskiy,11.9
2022,microbiological indicators,urban water pipelines,Khmelnytskiy,4.8
2023,microbiological indicators,urban water pipelines,Khmelnytskiy,4.2
2024,microbiological indicators,urban water pipelines,Khmelnytskiy,1.9
2015,microbiological indicators,rural water pipelines,Khmelnytskiy,17.5
2016,microbiological indicators,rural water pipelines,Khmelnytskiy,23.9
2017,microbiological indicators,rural water pipelines,Khmelnytskiy,21.9
2018,microbiological indicators,rural water pipelines,Khmelnytskiy,23.8
2019,microbiological indicators,rural water pipelines,Khmelnytskiy,26.4
2020,microbiological indicators,rural water pipelines,Khmelnytskiy,20.9
2021,microbiological indicators,rural water pipelines,Khmelnytskiy,25.9
2022,microbiological indicators,rural water pipelines,Khmelnytskiy,19.5
2023,microbiological indicators,rural water pipelines,Khmelnytskiy,16.7
2024,microbiological indicators,rural water pipelines,Khmelnytskiy,15.1
2015,microbiological indicators,non-centralized water supply,Khmelnytskiy,41.1
2016,microbiological indicators,non-centralized water supply,Khmelnytskiy,7.4
2017,microbiological indicators,non-centralized water supply,Khmelnytskiy,32.6
2018,microbiological indicators,non-centralized water supply,Khmelnytskiy,39.4
2019,microbiological indicators,non-centralized water supply,Khmelnytskiy,34.2
2020,microbiological indicators,non-centralized water supply,Khmelnytskiy,25.4
2021,microbiological indicators,non-centralized water supply,Khmelnytskiy,30.0
2022,microbiological indicators,non-centralized water supply,Khmelnytskiy,36.0
2023,microbiological indicators,non-centralized water supply,Khmelnytskiy,35.2
2024,microbiological indicators,non-centralized water supply,Khmelnytskiy,17.8
2015,sanitary and chemical indicators,urban water pipelines,Khmelnytskiy,9.5
2016,sanitary and chemical indicators,urban water pipelines,Khmelnytskiy,16.9
2017,sanitary and chemical indicators,urban water pipelines,Khmelnytskiy,19.5
2018,sanitary and chemical indicators,urban water pipelines,Khmelnytskiy,19.6
2019,sanitary and chemical indicators,urban water pipelines,Khmelnytskiy,21.0
2020,sanitary and chemical indicators,urban water pipelines,Khmelnytskiy,15.0
2021,sanitary and chemical indicators,urban water pipelines,Khmelnytskiy,16.1
2022,sanitary and chemical indicators,urban water pipelines,Khmelnytskiy,8.5
2023,sanitary and chemical indicators,urban water pipelines,Khmelnytskiy,6.7
2024,sanitary and chemical indicators,urban water pipelines,Khmelnytskiy,3.9
2015,sanitary and chemical indicators,rural water pipelines,Khmelnytskiy,13.3
2016,sanitary and chemical indicators,rural water pipelines,Khmelnytskiy,28.3
2017,sanitary and chemical indicators,rural water pipelines,Khmelnytskiy,28.7
2018,sanitary and chemical indicators,rural water pipelines,Khmelnytskiy,25.2
2019,sanitary and chemical indicators,rural water pipelines,Khmelnytskiy,37.2
2020,sanitary and chemical indicators,rural water pipelines,Khmelnytskiy,25.4
2021,sanitary and chemical indicators,rural water pipelines,Khmelnytskiy,20.7
2022,sanitary and chemical indicators,rural water pipelines,Khmelnytskiy,16.2
2023,sanitary and chemical indicators,rural water pipelines,Khmelnytskiy,14.0
2024,sanitary and chemical indicators,rural water pipelines,Khmelnytskiy,19.1
2015,sanitary and chemical indicators,non-centralized water supply,Khmelnytskiy,58.7
2016,sanitary and chemical indicators,non-centralized water supply,Khmelnytskiy,1.5
2017,sanitary and chemical indicators,non-centralized water supply,Khmelnytskiy,38.1
2018,sanitary and chemical indicators,non-centralized water supply,Khmelnytskiy,47.3
2019,sanitary and chemical indicators,non-centralized water supply,Khmelnytskiy,41.4
2020,sanitary and chemical indicators,non-centralized water supply,Khmelnytskiy,31.9
2021,sanitary and chemical indicators,non-centralized water supply,Khmelnytskiy,35.0
2022,sanitary and chemical indicators,non-centralized water supply,Khmelnytskiy,36.0
2023,sanitary and chemical indicators,non-centralized water supply,Khmelnytskiy,35.2
2024,sanitary and chemical indicators,non-centralized water supply,Khmelnytskiy,32.8
2015,radiation indicators,urban water pipelines,Khmelnytskiy,0.0
2016,radiation indicators,urban water pipelines,Khmelnytskiy,0.0
2017,radiation indicators,urban water pipelines,Khmelnytskiy,0.0
2018,radiation indicators,urban water pipelines,Khmelnytskiy,0.0
2019,radiation indicators,urban water pipelines,Khmelnytskiy,0.0
2020,radiation indicators,urban water pipelines,Khmelnytskiy,0.0
2021,radiation indicators,urban water pipelines,Khmelnytskiy,0.0
2022,radiation indicators,urban water pipelines,Khmelnytskiy,0.0
2023,radiation indicators,urban water pipelines,Khmelnytskiy,0.0
2024,radiation indicators,urban water pipelines,Khmelnytskiy,0.0
2015,radiation indicators,rural water pipelines,Khmelnytskiy,0.0
2016,radiation indicators,rural water pipelines,Khmelnytskiy,0.0
2017,radiation indicators,rural water pipelines,Khmelnytskiy,0.0
2018,radiation indicators,rural water pipelines,Khmelnytskiy,0.0
2019,radiation indicators,rural water pipelines,Khmelnytskiy,0.0
2020,radiation indicators,rural water pipelines,Khmelnytskiy,0.0
2021,radiation indicators,rural water pipelines,Khmelnytskiy,0.0
2022,radiation indicators,rural water pipelines,Khmelnytskiy,0.0
2023,radiation indicators,rural water pipelines,Khmelnytskiy,0.0
2024,radiation indicators,rural water pipelines,Khmelnytskiy,0.0
2015,radiation indicators,non-centralized water supply,Khmelnytskiy,0.0
2016,radiation indicators,non-centralized water supply,Khmelnytskiy,0.0
2017,radiation indicators,non-centralized water supply,Khmelnytskiy,0.0
2018,radiation indicators,non-centralized water supply,Khmelnytskiy,0.0
2019,radiation indicators,non-centralized water supply,Khmelnytskiy,0.0
2020,radiation indicators,non-centralized water supply,Khmelnytskiy,0.0
2021,radiation indicators,non-centralized water supply,Khmelnytskiy,0.0
2022,radiation indicators,non-centralized water supply,Khmelnytskiy,0.0
2023,radiation indicators,non-centralized water supply,Khmelnytskiy,0.0
2024,radiation indicators,non-centralized water supply,Khmelnytskiy,0.0
2015,microbiological indicators,urban water pipelines,Cherkasy,3.0
2016,microbiological indicators,urban water pipelines,Cherkasy,3.0
2017,microbiological indicators,urban water pipelines,Cherkasy,3.8
2018,microbiological indicators,urban water pipelines,Cherkasy,3.1
2019,microbiological indicators,urban water pipelines,Cherkasy,6.3
2020,microbiological indicators,urban water pipelines,Cherkasy,2.3
2021,microbiological indicators,urban water pipelines,Cherkasy,3.0
2022,microbiological indicators,urban water pipelines,Cherkasy,5.1
2023,microbiological indicators,urban water pipelines,Cherkasy,3.7
2024,microbiological indicators,urban water pipelines,Cherkasy,2.6
2015,microbiological indicators,rural water pipelines,Cherkasy,5.4
2016,microbiological indicators,rural water pipelines,Cherkasy,9.1
2017,microbiological indicators,rural water pipelines,Cherkasy,6.6
2018,microbiological indicators,rural water pipelines,Cherkasy,8.9
2019,microbiological indicators,rural water pipelines,Cherkasy,11.3
2020,microbiological indicators,rural water pipelines,Cherkasy,39.7
2021,microbiological indicators,rural water pipelines,Cherkasy,5.1
2022,microbiological indicators,rural water pipelines,Cherkasy,12.1
2023,microbiological indicators,rural water pipelines,Cherkasy,8.5
2024,microbiological indicators,rural water pipelines,Cherkasy,8.3
2015,microbiological indicators,non-centralized water supply,Cherkasy,13.5
2016,microbiological indicators,non-centralized water supply,Cherkasy,18.4
2017,microbiological indicators,non-centralized water supply,Cherkasy,11.2
2018,microbiological indicators,non-centralized water supply,Cherkasy,18.8
2019,microbiological indicators,non-centralized water supply,Cherkasy,18.8
2020,microbiological indicators,non-centralized water supply,Cherkasy,19.3
2021,microbiological indicators,non-centralized water supply,Cherkasy,12.1
2022,microbiological indicators,non-centralized water supply,Cherkasy,34.5
2023,microbiological indicators,non-centralized water supply,Cherkasy,34.3
2024,microbiological indicators,non-centralized water supply,Cherkasy,17.8
2015,sanitary and chemical indicators,urban water pipelines,Cherkasy,4.0
2016,sanitary and chemical indicators,urban water pipelines,Cherkasy,5.7
2017,sanitary and chemical indicators,urban water pipelines,Cherkasy,5.8
2018,sanitary and chemical indicators,urban water pipelines,Cherkasy,3.8
2019,sanitary and chemical indicators,urban water pipelines,Cherkasy,1.8
2020,sanitary and chemical indicators,urban water pipelines,Cherkasy,3.3
2021,sanitary and chemical indicators,urban water pipelines,Cherkasy,10.7
2022,sanitary and chemical indicators,urban water pipelines,Cherkasy,4.3
2023,sanitary and chemical indicators,urban water pipelines,Cherkasy,5.5
2024,sanitary and chemical indicators,urban water pipelines,Cherkasy,3.4
2015,sanitary and chemical indicators,rural water pipelines,Cherkasy,7.4
2016,sanitary and chemical indicators,rural water pipelines,Cherkasy,5.5
2017,sanitary and chemical indicators,rural water pipelines,Cherkasy,7.8
2018,sanitary and chemical indicators,rural water pipelines,Cherkasy,9.0
2019,sanitary and chemical indicators,rural water pipelines,Cherkasy,10.9
2020,sanitary and chemical indicators,rural water pipelines,Cherkasy,13.6
2021,sanitary and chemical indicators,rural water pipelines,Cherkasy,21.3
2022,sanitary and chemical indicators,rural water pipelines,Cherkasy,6.2
2023,sanitary and chemical indicators,rural water pipelines,Cherkasy,10.8
2024,sanitary and chemical indicators,rural water pipelines,Cherkasy,11.5
2015,sanitary and chemical indicators,non-centralized water supply,Cherkasy,38.6
2016,sanitary and chemical indicators,non-centralized water supply,Cherkasy,38.3
2017,sanitary and chemical indicators,non-centralized water supply,Cherkasy,35.1
2018,sanitary and chemical indicators,non-centralized water supply,Cherkasy,33.6
2019,sanitary and chemical indicators,non-centralized water supply,Cherkasy,29.7
2020,sanitary and chemical indicators,non-centralized water supply,Cherkasy,29.7
2021,sanitary and chemical indicators,non-centralized water supply,Cherkasy,35.7
2022,sanitary and chemical indicators,non-centralized water supply,Cherkasy,34.5
2023,sanitary and chemical indicators,non-centralized water supply,Cherkasy,34.3
2024,sanitary and chemical indicators,non-centralized water supply,Cherkasy,39.0
2015,radiation indicators,urban water pipelines,Cherkasy,0.0
2016,radiation indicators,urban water pipelines,Cherkasy,0.0
2017,radiation indicators,urban water pipelines,Cherkasy,0.0
2018,radiation indicators,urban water pipelines,Cherkasy,0.0
2019,radiation indicators,urban water pipelines,Cherkasy,0.0
2020,radiation indicators,urban water pipelines,Cherkasy,0.0
2021,radiation indicators,urban water pipelines,Cherkasy,0.0
2022,radiation indicators,urban water pipelines,Cherkasy,0.0
2023,radiation indicators,urban water pipelines,Cherkasy,0.0
2024,radiation indicators,urban water pipelines,Cherkasy,0.0
2015,radiation indicators,rural water pipelines,Cherkasy,0.0
2016,radiation indicators,rural water pipelines,Cherkasy,0.0
2017,radiation indicators,rural water pipelines,Cherkasy,0.0
2018,radiation indicators,rural water pipelines,Cherkasy,0.0
2019,radiation indicators,rural water pipelines,Cherkasy,0.0
2020,radiation indicators,rural water pipelines,Cherkasy,0.0
2021,radiation indicators,rural water pipelines,Cherkasy,0.0
2022,radiation indicators,rural water pipelines,Cherkasy,0.0
2023,radiation indicators,rural water pipelines,Cherkasy,0.0
2024,radiation indicators,rural water pipelines,Cherkasy,0.0
2015,radiation indicators,non-centralized water supply,Cherkasy,0.0
2016,radiation indicators,non-centralized water supply,Cherkasy,0.0
2017,radiation indicators,non-centralized water supply,Cherkasy,0.0
2018,radiation indicators,non-centralized water supply,Cherkasy,0.0
2019,radiation indicators,non-centralized water supply,Cherkasy,0.0
2020,radiation indicators,non-centralized water supply,Cherkasy,0.0
2021,radiation indicators,non-centralized water supply,Cherkasy,0.0
2022,radiation indicators,non-centralized water supply,Cherkasy,0.0
2023,radiation indicators,non-centralized water supply,Cherkasy,0.0
2024,radiation indicators,non-centralized water supply,Cherkasy,0.0
2015,microbiological indicators,urban water pipelines,Chernivtsi,0.9
2016,microbiological indicators,urban water pipelines,Chernivtsi,1.8
2017,microbiological indicators,urban water pipelines,Chernivtsi,5.4
2018,microbiological indicators,urban water pipelines,Chernivtsi,1.6
2019,microbiological indicators,urban water pipelines,Chernivtsi,3.6
2020,microbiological indicators,urban water pipelines,Chernivtsi,2.6
2021,microbiological indicators,urban water pipelines,Chernivtsi,3.7
2022,microbiological indicators,urban water pipelines,Chernivtsi,0.2
2023,microbiological indicators,urban water pipelines,Chernivtsi,0.2
2024,microbiological indicators,urban water pipelines,Chernivtsi,0.1
2015,microbiological indicators,rural water pipelines,Chernivtsi,0.0
2016,microbiological indicators,rural water pipelines,Chernivtsi,0.0
2017,microbiological indicators,rural water pipelines,Chernivtsi,5.1
2018,microbiological indicators,rural water pipelines,Chernivtsi,6.5
2019,microbiological indicators,rural water pipelines,Chernivtsi,9.2
2020,microbiological indicators,rural water pipelines,Chernivtsi,8.6
2021,microbiological indicators,rural water pipelines,Chernivtsi,1.8
2022,microbiological indicators,rural water pipelines,Chernivtsi,0.0
2023,microbiological indicators,rural water pipelines,Chernivtsi,0.5
2024,microbiological indicators,rural water pipelines,Chernivtsi,0.2
2015,microbiological indicators,non-centralized water supply,Chernivtsi,3.6
2016,microbiological indicators,non-centralized water supply,Chernivtsi,12.1
2017,microbiological indicators,non-centralized water supply,Chernivtsi,9.4
2018,microbiological indicators,non-centralized water supply,Chernivtsi,10.9
2019,microbiological indicators,non-centralized water supply,Chernivtsi,12.0
2020,microbiological indicators,non-centralized water supply,Chernivtsi,8.9
2021,microbiological indicators,non-centralized water supply,Chernivtsi,9.8
2022,microbiological indicators,non-centralized water supply,Chernivtsi,6.8
2023,microbiological indicators,non-centralized water supply,Chernivtsi,8.8
2024,microbiological indicators,non-centralized water supply,Chernivtsi,15.1
2015,sanitary and chemical indicators,urban water pipelines,Chernivtsi,0.2
2016,sanitary and chemical indicators,urban water pipelines,Chernivtsi,0.3
2017,sanitary and chemical indicators,urban water pipelines,Chernivtsi,2.5
2018,sanitary and chemical indicators,urban water pipelines,Chernivtsi,0.4
2019,sanitary and chemical indicators,urban water pipelines,Chernivtsi,0.1
2020,sanitary and chemical indicators,urban water pipelines,Chernivtsi,1.0
2021,sanitary and chemical indicators,urban water pipelines,Chernivtsi,0.5
2022,sanitary and chemical indicators,urban water pipelines,Chernivtsi,0.1
2023,sanitary and chemical indicators,urban water pipelines,Chernivtsi,0.3
2024,sanitary and chemical indicators,urban water pipelines,Chernivtsi,0.0
2015,sanitary and chemical indicators,rural water pipelines,Chernivtsi,0.0
2016,sanitary and chemical indicators,rural water pipelines,Chernivtsi,0.0
2017,sanitary and chemical indicators,rural water pipelines,Chernivtsi,2.0
2018,sanitary and chemical indicators,rural water pipelines,Chernivtsi,0.0
2019,sanitary and chemical indicators,rural water pipelines,Chernivtsi,0.0
2020,sanitary and chemical indicators,rural water pipelines,Chernivtsi,0.0
2021,sanitary and chemical indicators,rural water pipelines,Chernivtsi,0.0
2022,sanitary and chemical indicators,rural water pipelines,Chernivtsi,0.0
2023,sanitary and chemical indicators,rural water pipelines,Chernivtsi,0.0
2024,sanitary and chemical indicators,rural water pipelines,Chernivtsi,0.0
2015,sanitary and chemical indicators,non-centralized water supply,Chernivtsi,0.3
2016,sanitary and chemical indicators,non-centralized water supply,Chernivtsi,37.7
2017,sanitary and chemical indicators,non-centralized water supply,Chernivtsi,3.8
2018,sanitary and chemical indicators,non-centralized water supply,Chernivtsi,6.8
2019,sanitary and chemical indicators,non-centralized water supply,Chernivtsi,8.1
2020,sanitary and chemical indicators,non-centralized water supply,Chernivtsi,8.3
2021,sanitary and chemical indicators,non-centralized water supply,Chernivtsi,6.1
2022,sanitary and chemical indicators,non-centralized water supply,Chernivtsi,6.8
2023,sanitary and chemical indicators,non-centralized water supply,Chernivtsi,8.8
2024,sanitary and chemical indicators,non-centralized water supply,Chernivtsi,9.2
2015,radiation indicators,urban water pipelines,Chernivtsi,0.0
2016,radiation indicators,urban water pipelines,Chernivtsi,0.0
2017,radiation indicators,urban water pipelines,Chernivtsi,0.0
2018,radiation indicators,urban water pipelines,Chernivtsi,0.0
2019,radiation indicators,urban water pipelines,Chernivtsi,0.0
2020,radiation indicators,urban water pipelines,Chernivtsi,0.0
2021,radiation indicators,urban water pipelines,Chernivtsi,0.0
2022,radiation indicators,urban water pipelines,Chernivtsi,0.0
2023,radiation indicators,urban water pipelines,Chernivtsi,0.0
2024,radiation indicators,urban water pipelines,Chernivtsi,0.0
2015,radiation indicators,rural water pipelines,Chernivtsi,0.0
2016,radiation indicators,rural water pipelines,Chernivtsi,0.0
2017,radiation indicators,rural water pipelines,Chernivtsi,0.0
2018,radiation indicators,rural water pipelines,Chernivtsi,0.0
2019,radiation indicators,rural water pipelines,Chernivtsi,0.0
2020,radiation indicators,rural water pipelines,Chernivtsi,0.0
2021,radiation indicators,rural water pipelines,Chernivtsi,0.0
2022,radiation indicators,rural water pipelines,Chernivtsi,0.0
2023,radiation indicators,rural water pipelines,Chernivtsi,0.0
2024,radiation indicators,rural water pipelines,Chernivtsi,0.0
2015,radiation indicators,non-centralized water supply,Chernivtsi,0.0
2016,radiation indicators,non-centralized water supply,Chernivtsi,0.0
2017,radiation indicators,non-centralized water supply,Chernivtsi,0.0
2018,radiation indicators,non-centralized water supply,Chernivtsi,0.0
2019,radiation indicators,non-centralized water supply,Chernivtsi,0.0
2020,radiation indicators,non-centralized water supply,Chernivtsi,0.0
2021,radiation indicators,non-centralized water supply,Chernivtsi,0.0
2022,radiation indicators,non-centralized water supply,Chernivtsi,0.0
2023,radiation indicators,non-centralized water supply,Chernivtsi,0.0
2024,radiation indicators,non-centralized water supply,Chernivtsi,0.0
2015,microbiological indicators,urban water pipelines,Chernihiv,1.0
2016,microbiological indicators,urban water pipelines,Chernihiv,2.5
2017,microbiological indicators,urban water pipelines,Chernihiv,1.8
2018,microbiological indicators,urban water pipelines,Chernihiv,3.6
2019,microbiological indicators,urban water pipelines,Chernihiv,3.6
2020,microbiological indicators,urban water pipelines,Chernihiv,3.5
2021,microbiological indicators,urban water pipelines,Chernihiv,4.3
2022,microbiological indicators,urban water pipelines,Chernihiv,3.6
2023,microbiological indicators,urban water pipelines,Chernihiv,4.2
2024,microbiological indicators,urban water pipelines,Chernihiv,4.4
2015,microbiological indicators,rural water pipelines,Chernihiv,3.4
2016,microbiological indicators,rural water pipelines,Chernihiv,8.3
2017,microbiological indicators,rural water pipelines,Chernihiv,9.1
2018,microbiological indicators,rural water pipelines,Chernihiv,7.2
2019,microbiological indicators,rural water pipelines,Chernihiv,6.4
2020,microbiological indicators,rural water pipelines,Chernihiv,9.5
2021,microbiological indicators,rural water pipelines,Chernihiv,8.5
2022,microbiological indicators,rural water pipelines,Chernihiv,5.6
2023,microbiological indicators,rural water pipelines,Chernihiv,6.8
2024,microbiological indicators,rural water pipelines,Chernihiv,5.4
2015,microbiological indicators,non-centralized water supply,Chernihiv,18.6
2016,microbiological indicators,non-centralized water supply,Chernihiv,6.1
2017,microbiological indicators,non-centralized water supply,Chernihiv,18.1
2018,microbiological indicators,non-centralized water supply,Chernihiv,15.5
2019,microbiological indicators,non-centralized water supply,Chernihiv,14.2
2020,microbiological indicators,non-centralized water supply,Chernihiv,19.1
2021,microbiological indicators,non-centralized water supply,Chernihiv,23.2
2022,microbiological indicators,non-centralized water supply,Chernihiv,29.7
2023,microbiological indicators,non-centralized water supply,Chernihiv,25.5
2024,microbiological indicators,non-centralized water supply,Chernihiv,23.6
2015,sanitary and chemical indicators,urban water pipelines,Chernihiv,2.1
2016,sanitary and chemical indicators,urban water pipelines,Chernihiv,2.4
2017,sanitary and chemical indicators,urban water pipelines,Chernihiv,3.4
2018,sanitary and chemical indicators,urban water pipelines,Chernihiv,4.0
2019,sanitary and chemical indicators,urban water pipelines,Chernihiv,3.0
2020,sanitary and chemical indicators,urban water pipelines,Chernihiv,8.3
2021,sanitary and chemical indicators,urban water pipelines,Chernihiv,6.7
2022,sanitary and chemical indicators,urban water pipelines,Chernihiv,13.5
2023,sanitary and chemical indicators,urban water pipelines,Chernihiv,14.3
2024,sanitary and chemical indicators,urban water pipelines,Chernihiv,5.9
2015,sanitary and chemical indicators,rural water pipelines,Chernihiv,9.2
2016,sanitary and chemical indicators,rural water pipelines,Chernihiv,4.4
2017,sanitary and chemical indicators,rural water pipelines,Chernihiv,8.3
2018,sanitary and chemical indicators,rural water pipelines,Chernihiv,16.2
2019,sanitary and chemical indicators,rural water pipelines,Chernihiv,12.0
2020,sanitary and chemical indicators,rural water pipelines,Chernihiv,30.2
2021,sanitary and chemical indicators,rural water pipelines,Chernihiv,20.5
2022,sanitary and chemical indicators,rural water pipelines,Chernihiv,17.9
2023,sanitary and chemical indicators,rural water pipelines,Chernihiv,16.6
2024,sanitary and chemical indicators,rural water pipelines,Chernihiv,21.8
2015,sanitary and chemical indicators,non-centralized water supply,Chernihiv,33.6
2016,sanitary and chemical indicators,non-centralized water supply,Chernihiv,35.6
2017,sanitary and chemical indicators,non-centralized water supply,Chernihiv,34.7
2018,sanitary and chemical indicators,non-centralized water supply,Chernihiv,34.4
2019,sanitary and chemical indicators,non-centralized water supply,Chernihiv,30.2
2020,sanitary and chemical indicators,non-centralized water supply,Chernihiv,28.3
2021,sanitary and chemical indicators,non-centralized water supply,Chernihiv,28.2
2022,sanitary and chemical indicators,non-centralized water supply,Chernihiv,29.7
2023,sanitary and chemical indicators,non-centralized water supply,Chernihiv,25.5
2024,sanitary and chemical indicators,non-centralized water supply,Chernihiv,26.4
2015,radiation indicators,urban water pipelines,Chernihiv,0.0
2016,radiation indicators,urban water pipelines,Chernihiv,0.0
2017,radiation indicators,urban water pipelines,Chernihiv,0.0
2018,radiation indicators,urban water pipelines,Chernihiv,0.0
2019,radiation indicators,urban water pipelines,Chernihiv,0.0
2020,radiation indicators,urban water pipelines,Chernihiv,0.0
2021,radiation indicators,urban water pipelines,Chernihiv,0.0
2022,radiation indicators,urban water pipelines,Chernihiv,0.0
2023,radiation indicators,urban water pipelines,Chernihiv,0.0
2024,radiation indicators,urban water pipelines,Chernihiv,0.0
2015,radiation indicators,rural water pipelines,Chernihiv,0.0
2016,radiation indicators,rural water pipelines,Chernihiv,0.0
2017,radiation indicators,rural water pipelines,Chernihiv,0.0
2018,radiation indicators,rural water pipelines,Chernihiv,0.0
2019,radiation indicators,rural water pipelines,Chernihiv,0.0
2020,radiation indicators,rural water pipelines,Chernihiv,0.0
2021,radiation indicators,rural water pipelines,Chernihiv,0.0
2022,radiation indicators,rural water pipelines,Chernihiv,0.0
2023,radiation indicators,rural water pipelines,Chernihiv,0.0
2024,radiation indicators,rural water pipelines,Chernihiv,0.0
2015,radiation indicators,non-centralized water supply,Chernihiv,0.0
2016,radiation indicators,non-centralized water supply,Chernihiv,0.0
2017,radiation indicators,non-centralized water supply,Chernihiv,0.0
2018,radiation indicators,non-centralized water supply,Chernihiv,0.0
