Year,by type of educational institution,Region,Value
2016,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Dnipropetrovsk,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Dnipropetrovsk,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Dnipropetrovsk,
2016,General secondary educational institutions with Internet access (without specifying the speed),Dnipropetrovsk,94.28
2016,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Dnipropetrovsk,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Dnipropetrovsk,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Dnipropetrovsk,
2016,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Donetsk,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Donetsk,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Donetsk,
2016,General secondary educational institutions with Internet access (without specifying the speed),Donetsk,93.33
2016,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Donetsk,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Donetsk,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Donetsk,
2016,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zhytomyr,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zhytomyr,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zhytomyr,
2016,General secondary educational institutions with Internet access (without specifying the speed),Zhytomyr,90.25
2016,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zhytomyr,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zhytomyr,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zhytomyr,
2016,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zakarpattya,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zakarpattya,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zakarpattya,
2016,General secondary educational institutions with Internet access (without specifying the speed),Zakarpattya,78.81
2016,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zakarpattya,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zakarpattya,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zakarpattya,
2016,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zaporizhzhya,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zaporizhzhya,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zaporizhzhya,
2016,General secondary educational institutions with Internet access (without specifying the speed),Zaporizhzhya,99.29
2016,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Zaporizhzhya,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Zaporizhzhya,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Zaporizhzhya,
2016,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ivano-Frankivsk,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ivano-Frankivsk,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ivano-Frankivsk,
2016,General secondary educational institutions with Internet access (without specifying the speed),Ivano-Frankivsk,85.11
2016,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Ivano-Frankivsk,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Ivano-Frankivsk,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Ivano-Frankivsk,
2016,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kyiv,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kyiv,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kyiv,
2016,General secondary educational institutions with Internet access (without specifying the speed),Kyiv,99.86
2016,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kyiv,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kyiv,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kyiv,
2016,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kirovohrad,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kirovohrad,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kirovohrad,
2016,General secondary educational institutions with Internet access (without specifying the speed),Kirovohrad,98.65
2016,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Kirovohrad,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Kirovohrad,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Kirovohrad,
2016,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Luhansk,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Luhansk,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Luhansk,
2016,General secondary educational institutions with Internet access (without specifying the speed),Luhansk,94.24
2016,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Luhansk,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Luhansk,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Luhansk,
2016,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Lviv,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Lviv,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Lviv,
2016,General secondary educational institutions with Internet access (without specifying the speed),Lviv,70.35
2016,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Lviv,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Lviv,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Lviv,
2016,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Mykolayiv,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Mykolayiv,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Mykolayiv,
2016,General secondary educational institutions with Internet access (without specifying the speed),Mykolayiv,95.4
2016,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Mykolayiv,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Mykolayiv,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Mykolayiv,
2016,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Odesa,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Odesa,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Odesa,
2016,General secondary educational institutions with Internet access (without specifying the speed),Odesa,84.98
2016,General secondary educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Odesa,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Odesa,
2016,General secondary educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Odesa,
2016,Pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) Internet access,Poltava,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wireless Internet access,Poltava,
2016,Pre-school educational institutions with high-speed (more than 30 Mbit/s) wired or wireless Internet access,Poltava,
