Year,EducationInternetType,Region,Value
2022,preschool_wired_gt30,32_reg_Cherkasy,64.58
2022,preschool_wired_gt30,33_reg_Chernivtsi,87.95
2022,preschool_wired_gt30,34_reg_Chernihiv,43.53
2022,preschool_wired_gt30,Kyiv_city,80.91
2022,preschool_wired_gt30,city_Sevastopol,
2023,preschool_wired_gt30,Ukraine,62.15
2023,preschool_wired_gt30,autonomous_Republic_of_Crimea,
2023,preschool_wired_gt30,11_reg_Vinnytsya,58.78
2023,preschool_wired_gt30,12_reg_Volyn,54.05
2023,preschool_wired_gt30,13_reg_Dnipropetrovsk,54.86
2023,preschool_wired_gt30,14_reg_Donetsk,48.81
2023,preschool_wired_gt30,15_reg_Zhytomyr,66.83
2023,preschool_wired_gt30,16_reg_Zakarpattya,56.09
2023,preschool_wired_gt30,17_reg_Zaporizhzhya,50.47
2023,preschool_wired_gt30,18_reg_Ivano-Frankivsk,58.11
2023,preschool_wired_gt30,19_reg_Kyiv,71.71
2023,preschool_wired_gt30,20_reg_Kirovohrad,50.35
2023,preschool_wired_gt30,21_reg_Luhansk,0.0
2023,preschool_wired_gt30,22_reg_Lviv,57.8
2023,preschool_wired_gt30,23_reg_Mykolayiv,57.02
2023,preschool_wired_gt30,24_reg_Odesa,76.56
2023,preschool_wired_gt30,25_reg_Poltava,61.47
2023,preschool_wired_gt30,26_reg_Rivne,55.11
2023,preschool_wired_gt30,27_reg_Sumy,76.35
2023,preschool_wired_gt30,28_reg_Ternopil,58.14
2023,preschool_wired_gt30,29_reg_Kharkiv,63.89
2023,preschool_wired_gt30,30_reg_Kherson,19.83
2023,preschool_wired_gt30,31_reg_Khmelnytskiy,65.13
2023,preschool_wired_gt30,32_reg_Cherkasy,71.48
2023,preschool_wired_gt30,33_reg_Chernivtsi,86.7
2023,preschool_wired_gt30,34_reg_Chernihiv,45.95
2023,preschool_wired_gt30,Kyiv_city,78.73
2023,preschool_wired_gt30,city_Sevastopol,
2024,preschool_wired_gt30,Ukraine,65.1
2024,preschool_wired_gt30,autonomous_Republic_of_Crimea,
2024,preschool_wired_gt30,11_reg_Vinnytsya,60.52
2024,preschool_wired_gt30,12_reg_Volyn,56.5
2024,preschool_wired_gt30,13_reg_Dnipropetrovsk,54.4
2024,preschool_wired_gt30,14_reg_Donetsk,50.21
2024,preschool_wired_gt30,15_reg_Zhytomyr,68.36
2024,preschool_wired_gt30,16_reg_Zakarpattya,57.43
2024,preschool_wired_gt30,17_reg_Zaporizhzhya,77.08
2024,preschool_wired_gt30,18_reg_Ivano-Frankivsk,59.55
2024,preschool_wired_gt30,19_reg_Kyiv,74.26
2024,preschool_wired_gt30,20_reg_Kirovohrad,57.28
2024,preschool_wired_gt30,21_reg_Luhansk,14.29
2024,preschool_wired_gt30,22_reg_Lviv,61.52
2024,preschool_wired_gt30,23_reg_Mykolayiv,58.5
2024,preschool_wired_gt30,24_reg_Odesa,77.29
2024,preschool_wired_gt30,25_reg_Poltava,62.32
2024,preschool_wired_gt30,26_reg_Rivne,57.09
2024,preschool_wired_gt30,27_reg_Sumy,74.43
2024,preschool_wired_gt30,28_reg_Ternopil,64.52
2024,preschool_wired_gt30,29_reg_Kharkiv,63.53
2024,preschool_wired_gt30,30_reg_Kherson,14.68
2024,preschool_wired_gt30,31_reg_Khmelnytskiy,67.72
2024,preschool_wired_gt30,32_reg_Cherkasy,75.66
2024,preschool_wired_gt30,33_reg_Chernivtsi,88.24
2024,preschool_wired_gt30,34_reg_Chernihiv,50.27
2024,preschool_wired_gt30,Kyiv_city,81.16
2024,preschool_wired_gt30,city_Sevastopol,
2025,preschool_wired_gt30,Ukraine,67.48
2025,preschool_wired_gt30,autonomous_Republic_of_Crimea,
2025,preschool_wired_gt30,11_reg_Vinnytsya,61.39
2025,preschool_wired_gt30,12_reg_Volyn,62.05
2025,preschool_wired_gt30,13_reg_Dnipropetrovsk,64.31
2025,preschool_wired_gt30,14_reg_Donetsk,0.2
2025,preschool_wired_gt30,15_reg_Zhytomyr,68.36
2025,preschool_wired_gt30,16_reg_Zakarpattya,63.49
2025,preschool_wired_gt30,17_reg_Zaporizhzhya,75.39
2025,preschool_wired_gt30,18_reg_Ivano-Frankivsk,59.46
2025,preschool_wired_gt30,19_reg_Kyiv,75.36
2025,preschool_wired_gt30,20_reg_Kirovohrad,61.41
2025,preschool_wired_gt30,21_reg_Luhansk,35.71
2025,preschool_wired_gt30,22_reg_Lviv,65.63
2025,preschool_wired_gt30,23_reg_Mykolayiv,62.0
2025,preschool_wired_gt30,24_reg_Odesa,77.72
2025,preschool_wired_gt30,25_reg_Poltava,65.28
2025,preschool_wired_gt30,26_reg_Rivne,67.87
2025,preschool_wired_gt30,27_reg_Sumy,80.72
2025,preschool_wired_gt30,28_reg_Ternopil,65.04
2025,preschool_wired_gt30,29_reg_Kharkiv,71.9
2025,preschool_wired_gt30,30_reg_Kherson,13.04
2025,preschool_wired_gt30,31_reg_Khmelnytskiy,74.61
2025,preschool_wired_gt30,32_reg_Cherkasy,76.53
2025,preschool_wired_gt30,33_reg_Chernivtsi,84.92
2025,preschool_wired_gt30,34_reg_Chernihiv,54.26
2025,preschool_wired_gt30,Kyiv_city,83.84
2025,preschool_wired_gt30,city_Sevastopol,
2015,preschool_wireless_gt30,Ukraine,
2015,preschool_wireless_gt30,autonomous_Republic_of_Crimea,
2015,preschool_wireless_gt30,11_reg_Vinnytsya,
2015,preschool_wireless_gt30,12_reg_Volyn,
2015,preschool_wireless_gt30,13_reg_Dnipropetrovsk,
2015,preschool_wireless_gt30,14_reg_Donetsk,
2015,preschool_wireless_gt30,15_reg_Zhytomyr,
2015,preschool_wireless_gt30,16_reg_Zakarpattya,
2015,preschool_wireless_gt30,17_reg_Zaporizhzhya,
2015,preschool_wireless_gt30,18_reg_Ivano-Frankivsk,
2015,preschool_wireless_gt30,19_reg_Kyiv,
2015,preschool_wireless_gt30,20_reg_Kirovohrad,
2015,preschool_wireless_gt30,21_reg_Luhansk,
2015,preschool_wireless_gt30,22_reg_Lviv,
2015,preschool_wireless_gt30,23_reg_Mykolayiv,
2015,preschool_wireless_gt30,24_reg_Odesa,
2015,preschool_wireless_gt30,25_reg_Poltava,
2015,preschool_wireless_gt30,26_reg_Rivne,
2015,preschool_wireless_gt30,27_reg_Sumy,
2015,preschool_wireless_gt30,28_reg_Ternopil,
2015,preschool_wireless_gt30,29_reg_Kharkiv,
2015,preschool_wireless_gt30,30_reg_Kherson,
2015,preschool_wireless_gt30,31_reg_Khmelnytskiy,
2015,preschool_wireless_gt30,32_reg_Cherkasy,
2015,preschool_wireless_gt30,33_reg_Chernivtsi,
2015,preschool_wireless_gt30,34_reg_Chernihiv,
2015,preschool_wireless_gt30,Kyiv_city,
2015,preschool_wireless_gt30,city_Sevastopol,
2016,preschool_wireless_gt30,Ukraine,
2016,preschool_wireless_gt30,autonomous_Republic_of_Crimea,
2016,preschool_wireless_gt30,11_reg_Vinnytsya,
2016,preschool_wireless_gt30,12_reg_Volyn,
2016,preschool_wireless_gt30,13_reg_Dnipropetrovsk,
2016,preschool_wireless_gt30,14_reg_Donetsk,
2016,preschool_wireless_gt30,15_reg_Zhytomyr,
2016,preschool_wireless_gt30,16_reg_Zakarpattya,
2016,preschool_wireless_gt30,17_reg_Zaporizhzhya,
2016,preschool_wireless_gt30,18_reg_Ivano-Frankivsk,
2016,preschool_wireless_gt30,19_reg_Kyiv,
2016,preschool_wireless_gt30,20_reg_Kirovohrad,
2016,preschool_wireless_gt30,21_reg_Luhansk,
2016,preschool_wireless_gt30,22_reg_Lviv,
2016,preschool_wireless_gt30,23_reg_Mykolayiv,
2016,preschool_wireless_gt30,24_reg_Odesa,
2016,preschool_wireless_gt30,25_reg_Poltava,
2016,preschool_wireless_gt30,26_reg_Rivne,
2016,preschool_wireless_gt30,27_reg_Sumy,
2016,preschool_wireless_gt30,28_reg_Ternopil,
2016,preschool_wireless_gt30,29_reg_Kharkiv,
2016,preschool_wireless_gt30,30_reg_Kherson,
2016,preschool_wireless_gt30,31_reg_Khmelnytskiy,
2016,preschool_wireless_gt30,32_reg_Cherkasy,
2016,preschool_wireless_gt30,33_reg_Chernivtsi,
2016,preschool_wireless_gt30,34_reg_Chernihiv,
2016,preschool_wireless_gt30,Kyiv_city,
2016,preschool_wireless_gt30,city_Sevastopol,
2017,preschool_wireless_gt30,Ukraine,
2017,preschool_wireless_gt30,autonomous_Republic_of_Crimea,
2017,preschool_wireless_gt30,11_reg_Vinnytsya,
2017,preschool_wireless_gt30,12_reg_Volyn,
2017,preschool_wireless_gt30,13_reg_Dnipropetrovsk,
2017,preschool_wireless_gt30,14_reg_Donetsk,
2017,preschool_wireless_gt30,15_reg_Zhytomyr,
2017,preschool_wireless_gt30,16_reg_Zakarpattya,
2017,preschool_wireless_gt30,17_reg_Zaporizhzhya,
2017,preschool_wireless_gt30,18_reg_Ivano-Frankivsk,
2017,preschool_wireless_gt30,19_reg_Kyiv,
2017,preschool_wireless_gt30,20_reg_Kirovohrad,
2017,preschool_wireless_gt30,21_reg_Luhansk,
2017,preschool_wireless_gt30,22_reg_Lviv,
2017,preschool_wireless_gt30,23_reg_Mykolayiv,
2017,preschool_wireless_gt30,24_reg_Odesa,
2017,preschool_wireless_gt30,25_reg_Poltava,
2017,preschool_wireless_gt30,26_reg_Rivne,
2017,preschool_wireless_gt30,27_reg_Sumy,
2017,preschool_wireless_gt30,28_reg_Ternopil,
2017,preschool_wireless_gt30,29_reg_Kharkiv,
2017,preschool_wireless_gt30,30_reg_Kherson,
2017,preschool_wireless_gt30,31_reg_Khmelnytskiy,
2017,preschool_wireless_gt30,32_reg_Cherkasy,
2017,preschool_wireless_gt30,33_reg_Chernivtsi,
2017,preschool_wireless_gt30,34_reg_Chernihiv,
2017,preschool_wireless_gt30,Kyiv_city,
2017,preschool_wireless_gt30,city_Sevastopol,
2018,preschool_wireless_gt30,Ukraine,
2018,preschool_wireless_gt30,autonomous_Republic_of_Crimea,
2018,preschool_wireless_gt30,11_reg_Vinnytsya,
2018,preschool_wireless_gt30,12_reg_Volyn,
2018,preschool_wireless_gt30,13_reg_Dnipropetrovsk,
2018,preschool_wireless_gt30,14_reg_Donetsk,
2018,preschool_wireless_gt30,15_reg_Zhytomyr,
2018,preschool_wireless_gt30,16_reg_Zakarpattya,
2018,preschool_wireless_gt30,17_reg_Zaporizhzhya,
2018,preschool_wireless_gt30,18_reg_Ivano-Frankivsk,
2018,preschool_wireless_gt30,19_reg_Kyiv,
2018,preschool_wireless_gt30,20_reg_Kirovohrad,
2018,preschool_wireless_gt30,21_reg_Luhansk,
2018,preschool_wireless_gt30,22_reg_Lviv,
2018,preschool_wireless_gt30,23_reg_Mykolayiv,
2018,preschool_wireless_gt30,24_reg_Odesa,
2018,preschool_wireless_gt30,25_reg_Poltava,
2018,preschool_wireless_gt30,26_reg_Rivne,
2018,preschool_wireless_gt30,27_reg_Sumy,
2018,preschool_wireless_gt30,28_reg_Ternopil,
2018,preschool_wireless_gt30,29_reg_Kharkiv,
2018,preschool_wireless_gt30,30_reg_Kherson,
2018,preschool_wireless_gt30,31_reg_Khmelnytskiy,
2018,preschool_wireless_gt30,32_reg_Cherkasy,
2018,preschool_wireless_gt30,33_reg_Chernivtsi,
2018,preschool_wireless_gt30,34_reg_Chernihiv,
2018,preschool_wireless_gt30,Kyiv_city,
2018,preschool_wireless_gt30,city_Sevastopol,
2019,preschool_wireless_gt30,Ukraine,
2019,preschool_wireless_gt30,autonomous_Republic_of_Crimea,
2019,preschool_wireless_gt30,11_reg_Vinnytsya,
2019,preschool_wireless_gt30,12_reg_Volyn,
2019,preschool_wireless_gt30,13_reg_Dnipropetrovsk,
2019,preschool_wireless_gt30,14_reg_Donetsk,
2019,preschool_wireless_gt30,15_reg_Zhytomyr,
2019,preschool_wireless_gt30,16_reg_Zakarpattya,
2019,preschool_wireless_gt30,17_reg_Zaporizhzhya,
2019,preschool_wireless_gt30,18_reg_Ivano-Frankivsk,
2019,preschool_wireless_gt30,19_reg_Kyiv,
2019,preschool_wireless_gt30,20_reg_Kirovohrad,
2019,preschool_wireless_gt30,21_reg_Luhansk,
2019,preschool_wireless_gt30,22_reg_Lviv,
2019,preschool_wireless_gt30,23_reg_Mykolayiv,
2019,preschool_wireless_gt30,24_reg_Odesa,
2019,preschool_wireless_gt30,25_reg_Poltava,
2019,preschool_wireless_gt30,26_reg_Rivne,
2019,preschool_wireless_gt30,27_reg_Sumy,
2019,preschool_wireless_gt30,28_reg_Ternopil,
2019,preschool_wireless_gt30,29_reg_Kharkiv,
2019,preschool_wireless_gt30,30_reg_Kherson,
2019,preschool_wireless_gt30,31_reg_Khmelnytskiy,
2019,preschool_wireless_gt30,32_reg_Cherkasy,
2019,preschool_wireless_gt30,33_reg_Chernivtsi,
2019,preschool_wireless_gt30,34_reg_Chernihiv,
2019,preschool_wireless_gt30,Kyiv_city,
2019,preschool_wireless_gt30,city_Sevastopol,
2020,preschool_wireless_gt30,Ukraine,
2020,preschool_wireless_gt30,autonomous_Republic_of_Crimea,
2020,preschool_wireless_gt30,11_reg_Vinnytsya,
2020,preschool_wireless_gt30,12_reg_Volyn,
2020,preschool_wireless_gt30,13_reg_Dnipropetrovsk,
2020,preschool_wireless_gt30,14_reg_Donetsk,
2020,preschool_wireless_gt30,15_reg_Zhytomyr,
2020,preschool_wireless_gt30,16_reg_Zakarpattya,
2020,preschool_wireless_gt30,17_reg_Zaporizhzhya,
2020,preschool_wireless_gt30,18_reg_Ivano-Frankivsk,
2020,preschool_wireless_gt30,19_reg_Kyiv,
2020,preschool_wireless_gt30,20_reg_Kirovohrad,
2020,preschool_wireless_gt30,21_reg_Luhansk,
2020,preschool_wireless_gt30,22_reg_Lviv,
2020,preschool_wireless_gt30,23_reg_Mykolayiv,
2020,preschool_wireless_gt30,24_reg_Odesa,
2020,preschool_wireless_gt30,25_reg_Poltava,
2020,preschool_wireless_gt30,26_reg_Rivne,
2020,preschool_wireless_gt30,27_reg_Sumy,
2020,preschool_wireless_gt30,28_reg_Ternopil,
2020,preschool_wireless_gt30,29_reg_Kharkiv,
2020,preschool_wireless_gt30,30_reg_Kherson,
2020,preschool_wireless_gt30,31_reg_Khmelnytskiy,
2020,preschool_wireless_gt30,32_reg_Cherkasy,
2020,preschool_wireless_gt30,33_reg_Chernivtsi,
2020,preschool_wireless_gt30,34_reg_Chernihiv,
2020,preschool_wireless_gt30,Kyiv_city,
2020,preschool_wireless_gt30,city_Sevastopol,
2021,preschool_wireless_gt30,Ukraine,
2021,preschool_wireless_gt30,autonomous_Republic_of_Crimea,
2021,preschool_wireless_gt30,11_reg_Vinnytsya,
2021,preschool_wireless_gt30,12_reg_Volyn,
2021,preschool_wireless_gt30,13_reg_Dnipropetrovsk,
2021,preschool_wireless_gt30,14_reg_Donetsk,
2021,preschool_wireless_gt30,15_reg_Zhytomyr,
2021,preschool_wireless_gt30,16_reg_Zakarpattya,
2021,preschool_wireless_gt30,17_reg_Zaporizhzhya,
2021,preschool_wireless_gt30,18_reg_Ivano-Frankivsk,
2021,preschool_wireless_gt30,19_reg_Kyiv,
2021,preschool_wireless_gt30,20_reg_Kirovohrad,
2021,preschool_wireless_gt30,21_reg_Luhansk,
2021,preschool_wireless_gt30,22_reg_Lviv,
2021,preschool_wireless_gt30,23_reg_Mykolayiv,
2021,preschool_wireless_gt30,24_reg_Odesa,
2021,preschool_wireless_gt30,25_reg_Poltava,
2021,preschool_wireless_gt30,26_reg_Rivne,
2021,preschool_wireless_gt30,27_reg_Sumy,
2021,preschool_wireless_gt30,28_reg_Ternopil,
2021,preschool_wireless_gt30,29_reg_Kharkiv,
2021,preschool_wireless_gt30,30_reg_Kherson,
2021,preschool_wireless_gt30,31_reg_Khmelnytskiy,
2021,preschool_wireless_gt30,32_reg_Cherkasy,
2021,preschool_wireless_gt30,33_reg_Chernivtsi,
