Year,Еconomic activity,Value
2020,"Wholesale trade, except of motor vehicles and motorcycles",0.1
2021,"Wholesale trade, except of motor vehicles and motorcycles",
2022,"Wholesale trade, except of motor vehicles and motorcycles",0.1
2023,"Wholesale trade, except of motor vehicles and motorcycles",
2024,"Wholesale trade, except of motor vehicles and motorcycles",0.4
2015,"Transport, storage, postal and courier activities",
2016,"Transport, storage, postal and courier activities",
2017,"Transport, storage, postal and courier activities",
2018,"Transport, storage, postal and courier activities",0.3
2019,"Transport, storage, postal and courier activities",
2020,"Transport, storage, postal and courier activities",0.4
2021,"Transport, storage, postal and courier activities",
2022,"Transport, storage, postal and courier activities",0.4
2023,"Transport, storage, postal and courier activities",
2024,"Transport, storage, postal and courier activities",1.6
2015,"Land and pipeline transport, water transport, air transport",
2016,"Land and pipeline transport, water transport, air transport",
2017,"Land and pipeline transport, water transport, air transport",
2018,"Land and pipeline transport, water transport, air transport",
2019,"Land and pipeline transport, water transport, air transport",
2020,"Land and pipeline transport, water transport, air transport",
2021,"Land and pipeline transport, water transport, air transport",
2022,"Land and pipeline transport, water transport, air transport",
2023,"Land and pipeline transport, water transport, air transport",
2024,"Land and pipeline transport, water transport, air transport",0.3
2015,"Warehousing and support activities for transportation, postal and courier activities",
2016,"Warehousing and support activities for transportation, postal and courier activities",
2017,"Warehousing and support activities for transportation, postal and courier activities",
2018,"Warehousing and support activities for transportation, postal and courier activities",
2019,"Warehousing and support activities for transportation, postal and courier activities",
2020,"Warehousing and support activities for transportation, postal and courier activities",
2021,"Warehousing and support activities for transportation, postal and courier activities",
2022,"Warehousing and support activities for transportation, postal and courier activities",
2023,"Warehousing and support activities for transportation, postal and courier activities",
2024,"Warehousing and support activities for transportation, postal and courier activities",3.3
2015,Information and telecommunications,
2016,Information and telecommunications,
2017,Information and telecommunications,
2018,Information and telecommunications,0.7
2019,Information and telecommunications,
2020,Information and telecommunications,0.7
2021,Information and telecommunications,
2022,Information and telecommunications,1.1
2023,Information and telecommunications,
2024,Information and telecommunications,4.8
2015,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, radio and television broadcasting",
2016,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, radio and television broadcasting",
2017,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, radio and television broadcasting",
2018,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, radio and television broadcasting",0.2
2019,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, radio and television broadcasting",
2020,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, radio and television broadcasting",
2021,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, radio and television broadcasting",
2022,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, radio and television broadcasting",2.6
2023,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, radio and television broadcasting",
2024,"Publishing activities, motion picture, video and television programme production, sound recording and music publishing activities, radio and television broadcasting",1.7
2015,"Telecommunications, computer programming, consultancy and related activities, information service activities",
2016,"Telecommunications, computer programming, consultancy and related activities, information service activities",
2017,"Telecommunications, computer programming, consultancy and related activities, information service activities",
2018,"Telecommunications, computer programming, consultancy and related activities, information service activities",0.8
2019,"Telecommunications, computer programming, consultancy and related activities, information service activities",
2020,"Telecommunications, computer programming, consultancy and related activities, information service activities",0.6
2021,"Telecommunications, computer programming, consultancy and related activities, information service activities",
2022,"Telecommunications, computer programming, consultancy and related activities, information service activities",1.0
2023,"Telecommunications, computer programming, consultancy and related activities, information service activities",
2024,"Telecommunications, computer programming, consultancy and related activities, information service activities",5.1
2015,Financial and insurance activities,
2016,Financial and insurance activities,
2017,Financial and insurance activities,
2018,Financial and insurance activities,4.2
2019,Financial and insurance activities,
2020,Financial and insurance activities,
2021,Financial and insurance activities,
2022,Financial and insurance activities,2.8
2023,Financial and insurance activities,
2024,Financial and insurance activities,4.5
2015,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",
2016,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",
2017,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",
2018,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",7.8
2019,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",
2020,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",5.4
2021,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",
2022,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",8.8
2023,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",
2024,"Architectural and engineering activities; technical testing and analysis, scientific research and development, advertising and market research",8.3
2015,Architectural and engineering activities; technical testing and analysis,
2016,Architectural and engineering activities; technical testing and analysis,
2017,Architectural and engineering activities; technical testing and analysis,
2018,Architectural and engineering activities; technical testing and analysis,1.3
2019,Architectural and engineering activities; technical testing and analysis,
2020,Architectural and engineering activities; technical testing and analysis,0.7
2021,Architectural and engineering activities; technical testing and analysis,
2022,Architectural and engineering activities; technical testing and analysis,
2023,Architectural and engineering activities; technical testing and analysis,
2024,Architectural and engineering activities; technical testing and analysis,
2015,Scientific research and development,
2016,Scientific research and development,
2017,Scientific research and development,
2018,Scientific research and development,33.3
2019,Scientific research and development,
2020,Scientific research and development,25.0
2021,Scientific research and development,
2022,Scientific research and development,31.5
2023,Scientific research and development,
2024,Scientific research and development,28.1
2015,Advertising and market research,
2016,Advertising and market research,
2017,Advertising and market research,
2018,Advertising and market research,0.3
2019,Advertising and market research,
2020,Advertising and market research,0.4
2021,Advertising and market research,
2022,Advertising and market research,
2023,Advertising and market research,
2024,Advertising and market research,
