Year,Type of educational institution,Region,Value
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Mykolayiv,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Odesa,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Poltava,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Rivne,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Sumy,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ternopil,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kharkiv,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kherson,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Khmelnytskiy,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Cherkasy,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernivtsi,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Chernihiv,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Kyiv,
2019,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,city Sevastopol,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ukraine,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Autonomous Republic of Crimea,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Vinnytsya,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Volyn,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Dnipropetrovsk,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Donetsk,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zhytomyr,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zakarpattya,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Zaporizhzhya,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Ivano-Frankivsk,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kyiv,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Kirovohrad,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Luhansk,
2020,pre-school educational institutions with broadband wired high-speed (more than 30 Mbit/s) access to the Internet,Lviv,
