Year,Specialties of fields of knowledge,Level (degree) of education,Value
2022,153 Micro- and nanosystem engineering,,13.02
2023,153 Micro- and nanosystem engineering,,12.44
2024,153 Micro- and nanosystem engineering,,13.43
2015,161 Chemical technology and engineering,,
2016,161 Chemical technology and engineering,,56.63
2017,161 Chemical technology and engineering,,55.99
2018,161 Chemical technology and engineering,,54.49
2019,161 Chemical technology and engineering,,53.3
2020,161 Chemical technology and engineering,,53.44
2021,161 Chemical technology and engineering,,53.02
2022,161 Chemical technology and engineering,,49.46
2023,161 Chemical technology and engineering,,40.79
2024,161 Chemical technology and engineering,,36.19
2015,162 Biotechnology and bioengineering,,
2016,162 Biotechnology and bioengineering,,67.81
2017,162 Biotechnology and bioengineering,,68.89
2018,162 Biotechnology and bioengineering,,71.06
2019,162 Biotechnology and bioengineering,,70.7
2020,162 Biotechnology and bioengineering,,69.68
2021,162 Biotechnology and bioengineering,,68.71
2022,162 Biotechnology and bioengineering,,64.78
2023,162 Biotechnology and bioengineering,,61.05
2024,162 Biotechnology and bioengineering,,60.5
2015,163 Biomedical engineering,,
2016,163 Biomedical engineering,,41.96
2017,163 Biomedical engineering,,40.37
2018,163 Biomedical engineering,,40.04
2019,163 Biomedical engineering,,40.67
2020,163 Biomedical engineering,,42.71
2021,163 Biomedical engineering,,43.59
2022,163 Biomedical engineering,,43.02
2023,163 Biomedical engineering,,37.47
2024,163 Biomedical engineering,,40.08
2015,171 Electronics,,
2016,171 Electronics,,11.05
2017,171 Electronics,,11.04
2018,171 Electronics,,10.79
2019,171 Electronics,,10.58
2020,171 Electronics,,11.07
2021,171 Electronics,,10.91
2022,171 Electronics,,9.7
2023,171 Electronics,,8.05
2024,171 Electronics,,7.96
2015,172 Electronic communications and radio engineering,,
2016,172 Electronic communications and radio engineering,,
2017,172 Electronic communications and radio engineering,,
2018,172 Electronic communications and radio engineering,,
2019,172 Electronic communications and radio engineering,,
2020,172 Electronic communications and radio engineering,,
2021,172 Electronic communications and radio engineering,,100.0
2022,172 Electronic communications and radio engineering,,33.33
2023,172 Electronic communications and radio engineering,,8.61
2024,172 Electronic communications and radio engineering,,8.98
2015,172 Telecommunications and radio engineering,,
2016,172 Telecommunications and radio engineering,,15.68
2017,172 Telecommunications and radio engineering,,14.9
2018,172 Telecommunications and radio engineering,,13.72
2019,172 Telecommunications and radio engineering,,12.9
2020,172 Telecommunications and radio engineering,,12.39
2021,172 Telecommunications and radio engineering,,12.19
2022,172 Telecommunications and radio engineering,,11.43
2023,172 Telecommunications and radio engineering,,10.66
2024,172 Telecommunications and radio engineering,,10.66
2015,173 Avionics,,
2016,173 Avionics,,16.14
2017,173 Avionics,,13.89
2018,173 Avionics,,12.74
2019,173 Avionics,,13.35
2020,173 Avionics,,13.36
2021,173 Avionics,,13.17
2022,173 Avionics,,13.59
2023,173 Avionics,,13.78
2024,173 Avionics,,15.53
2015,"174 Automation, computer-integrated technologies and robotics",,
2016,"174 Automation, computer-integrated technologies and robotics",,
2017,"174 Automation, computer-integrated technologies and robotics",,
2018,"174 Automation, computer-integrated technologies and robotics",,
2019,"174 Automation, computer-integrated technologies and robotics",,
2020,"174 Automation, computer-integrated technologies and robotics",,
2021,"174 Automation, computer-integrated technologies and robotics",,
2022,"174 Automation, computer-integrated technologies and robotics",,
2023,"174 Automation, computer-integrated technologies and robotics",,7.16
2024,"174 Automation, computer-integrated technologies and robotics",,7.41
2015,175 Information and measurement technologies,,
2016,175 Information and measurement technologies,,
2017,175 Information and measurement technologies,,
2018,175 Information and measurement technologies,,
2019,175 Information and measurement technologies,,
