Year,Types of economic activity,Value
2016,"Manufacture of computer, electronic and optical products (Code NACE Rev.2 – 26)",
2017,"Manufacture of computer, electronic and optical products (Code NACE Rev.2 – 26)",3.1
2018,"Manufacture of computer, electronic and optical products (Code NACE Rev.2 – 26)",5.8
2019,"Manufacture of computer, electronic and optical products (Code NACE Rev.2 – 26)",6.3
2020,"Manufacture of computer, electronic and optical products (Code NACE Rev.2 – 26)",9.9
2021,"Manufacture of computer, electronic and optical products (Code NACE Rev.2 – 26)",1.5
2022,"Manufacture of computer, electronic and optical products (Code NACE Rev.2 – 26)",5.6
2023,"Manufacture of computer, electronic and optical products (Code NACE Rev.2 – 26)",2.6
2024,"Manufacture of computer, electronic and optical products (Code NACE Rev.2 – 26)",9.0
2015,Manufacture of electrical equipment (Code NACE Rev.2 – 27),6.1
2016,Manufacture of electrical equipment (Code NACE Rev.2 – 27),
2017,Manufacture of electrical equipment (Code NACE Rev.2 – 27),2.5
2018,Manufacture of electrical equipment (Code NACE Rev.2 – 27),3.3
2019,Manufacture of electrical equipment (Code NACE Rev.2 – 27),4.1
2020,Manufacture of electrical equipment (Code NACE Rev.2 – 27),7.8
2021,Manufacture of electrical equipment (Code NACE Rev.2 – 27),2.8
2022,Manufacture of electrical equipment (Code NACE Rev.2 – 27),2.3
2023,Manufacture of electrical equipment (Code NACE Rev.2 – 27),1.6
2024,Manufacture of electrical equipment (Code NACE Rev.2 – 27),4.3
2015,Manufacture of machinery and equipment n.e.c. (Code NACE Rev.2 – 28),7.7
2016,Manufacture of machinery and equipment n.e.c. (Code NACE Rev.2 – 28),
2017,Manufacture of machinery and equipment n.e.c. (Code NACE Rev.2 – 28),3.5
2018,Manufacture of machinery and equipment n.e.c. (Code NACE Rev.2 – 28),2.6
2019,Manufacture of machinery and equipment n.e.c. (Code NACE Rev.2 – 28),8.1
2020,Manufacture of machinery and equipment n.e.c. (Code NACE Rev.2 – 28),5.8
2021,Manufacture of machinery and equipment n.e.c. (Code NACE Rev.2 – 28),3.5
2022,Manufacture of machinery and equipment n.e.c. (Code NACE Rev.2 – 28),3.8
2023,Manufacture of machinery and equipment n.e.c. (Code NACE Rev.2 – 28),1.0
2024,Manufacture of machinery and equipment n.e.c. (Code NACE Rev.2 – 28),2.7
