Year,by types of economic activity,by the organisational and legal forms,Region,Value
2023,retail sale of textiles in specialised stores,,,45.0
2024,retail sale of textiles in specialised stores,,,39.7
2025,retail sale of textiles in specialised stores,,,39.4
2016,"retail sale of hardware, paints and glass in specialised stores",,,
2017,"retail sale of hardware, paints and glass in specialised stores",,,
2018,"retail sale of hardware, paints and glass in specialised stores",,,
2019,"retail sale of hardware, paints and glass in specialised stores",,,
2020,"retail sale of hardware, paints and glass in specialised stores",,,
2021,"retail sale of hardware, paints and glass in specialised stores",,,
2022,"retail sale of hardware, paints and glass in specialised stores",,,24.7
2023,"retail sale of hardware, paints and glass in specialised stores",,,24.4
2024,"retail sale of hardware, paints and glass in specialised stores",,,24.2
2025,"retail sale of hardware, paints and glass in specialised stores",,,24.6
2016,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,
2017,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,
2018,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,
2019,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,
2020,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,
2021,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,
2022,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,30.0
2023,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,28.2
2024,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,27.8
2025,"retail sale of carpets, rugs, wall and floor coverings in specialised stores",,,31.0
2016,retail sale of electrical household appliances in specialised stores,,,
2017,retail sale of electrical household appliances in specialised stores,,,
2018,retail sale of electrical household appliances in specialised stores,,,
2019,retail sale of electrical household appliances in specialised stores,,,
2020,retail sale of electrical household appliances in specialised stores,,,
2021,retail sale of electrical household appliances in specialised stores,,,
2022,retail sale of electrical household appliances in specialised stores,,,19.3
2023,retail sale of electrical household appliances in specialised stores,,,18.4
2024,retail sale of electrical household appliances in specialised stores,,,18.0
2025,retail sale of electrical household appliances in specialised stores,,,19.0
2016,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,
2017,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,
2018,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,
2019,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,
2020,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,
2021,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,
2022,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,34.5
2023,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,34.7
2024,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,35.0
2025,"retail sale of furniture, lighting equipment and other household articles in specialised stores",,,34.5
2016,retail sale of books in specialised stores,,,
2017,retail sale of books in specialised stores,,,
2018,retail sale of books in specialised stores,,,
2019,retail sale of books in specialised stores,,,
2020,retail sale of books in specialised stores,,,
2021,retail sale of books in specialised stores,,,
2022,retail sale of books in specialised stores,,,53.5
2023,retail sale of books in specialised stores,,,54.1
2024,retail sale of books in specialised stores,,,56.2
2025,retail sale of books in specialised stores,,,55.6
2016,retail sale of newspapers and stationery in specialised stores,,,
2017,retail sale of newspapers and stationery in specialised stores,,,
2018,retail sale of newspapers and stationery in specialised stores,,,
2019,retail sale of newspapers and stationery in specialised stores,,,
2020,retail sale of newspapers and stationery in specialised stores,,,
2021,retail sale of newspapers and stationery in specialised stores,,,
2022,retail sale of newspapers and stationery in specialised stores,,,40.3
2023,retail sale of newspapers and stationery in specialised stores,,,39.8
2024,retail sale of newspapers and stationery in specialised stores,,,38.4
2025,retail sale of newspapers and stationery in specialised stores,,,37.7
2016,retail sale of music and video recordings in specialised stores,,,
2017,retail sale of music and video recordings in specialised stores,,,
2018,retail sale of music and video recordings in specialised stores,,,
2019,retail sale of music and video recordings in specialised stores,,,
2020,retail sale of music and video recordings in specialised stores,,,
2021,retail sale of music and video recordings in specialised stores,,,
2022,retail sale of music and video recordings in specialised stores,,,15.4
2023,retail sale of music and video recordings in specialised stores,,,7.7
2024,retail sale of music and video recordings in specialised stores,,,7.1
2025,retail sale of music and video recordings in specialised stores,,,14.3
2016,retail sale of sporting equipment in specialised stores,,,
2017,retail sale of sporting equipment in specialised stores,,,
2018,retail sale of sporting equipment in specialised stores,,,
2019,retail sale of sporting equipment in specialised stores,,,
2020,retail sale of sporting equipment in specialised stores,,,
2021,retail sale of sporting equipment in specialised stores,,,
2022,retail sale of sporting equipment in specialised stores,,,24.4
2023,retail sale of sporting equipment in specialised stores,,,23.9
2024,retail sale of sporting equipment in specialised stores,,,23.1
2025,retail sale of sporting equipment in specialised stores,,,23.7
2016,retail sale of games and toys in specialised stores,,,
2017,retail sale of games and toys in specialised stores,,,
2018,retail sale of games and toys in specialised stores,,,
2019,retail sale of games and toys in specialised stores,,,
2020,retail sale of games and toys in specialised stores,,,
2021,retail sale of games and toys in specialised stores,,,
2022,retail sale of games and toys in specialised stores,,,39.2
2023,retail sale of games and toys in specialised stores,,,37.6
2024,retail sale of games and toys in specialised stores,,,34.1
2025,retail sale of games and toys in specialised stores,,,33.7
2016,retail sale of clothing in specialised stores,,,
2017,retail sale of clothing in specialised stores,,,
2018,retail sale of clothing in specialised stores,,,
2019,retail sale of clothing in specialised stores,,,
2020,retail sale of clothing in specialised stores,,,
2021,retail sale of clothing in specialised stores,,,
2022,retail sale of clothing in specialised stores,,,42.9
2023,retail sale of clothing in specialised stores,,,42.5
2024,retail sale of clothing in specialised stores,,,40.6
2025,retail sale of clothing in specialised stores,,,40.8
2016,retail sale of footwear and leather goods in specialised stores,,,
2017,retail sale of footwear and leather goods in specialised stores,,,
2018,retail sale of footwear and leather goods in specialised stores,,,
2019,retail sale of footwear and leather goods in specialised stores,,,
2020,retail sale of footwear and leather goods in specialised stores,,,
2021,retail sale of footwear and leather goods in specialised stores,,,
2022,retail sale of footwear and leather goods in specialised stores,,,38.9
2023,retail sale of footwear and leather goods in specialised stores,,,42.2
2024,retail sale of footwear and leather goods in specialised stores,,,40.1
2025,retail sale of footwear and leather goods in specialised stores,,,41.7
2016,dispensing chemist in specialised stores,,,
2017,dispensing chemist in specialised stores,,,
2018,dispensing chemist in specialised stores,,,
2019,dispensing chemist in specialised stores,,,
2020,dispensing chemist in specialised stores,,,
2021,dispensing chemist in specialised stores,,,
2022,dispensing chemist in specialised stores,,,48.9
2023,dispensing chemist in specialised stores,,,48.6
2024,dispensing chemist in specialised stores,,,47.7
2025,dispensing chemist in specialised stores,,,47.7
2016,retail sale of medical and orthopaedic goods in specialised stores,,,
2017,retail sale of medical and orthopaedic goods in specialised stores,,,
2018,retail sale of medical and orthopaedic goods in specialised stores,,,
2019,retail sale of medical and orthopaedic goods in specialised stores,,,
2020,retail sale of medical and orthopaedic goods in specialised stores,,,
2021,retail sale of medical and orthopaedic goods in specialised stores,,,
2022,retail sale of medical and orthopaedic goods in specialised stores,,,33.3
2023,retail sale of medical and orthopaedic goods in specialised stores,,,33.5
2024,retail sale of medical and orthopaedic goods in specialised stores,,,34.3
2025,retail sale of medical and orthopaedic goods in specialised stores,,,34.7
2016,retail sale of cosmetic and toilet articles in specialised stores,,,
2017,retail sale of cosmetic and toilet articles in specialised stores,,,
2018,retail sale of cosmetic and toilet articles in specialised stores,,,
2019,retail sale of cosmetic and toilet articles in specialised stores,,,
2020,retail sale of cosmetic and toilet articles in specialised stores,,,
2021,retail sale of cosmetic and toilet articles in specialised stores,,,
2022,retail sale of cosmetic and toilet articles in specialised stores,,,49.6
2023,retail sale of cosmetic and toilet articles in specialised stores,,,49.1
2024,retail sale of cosmetic and toilet articles in specialised stores,,,48.1
2025,retail sale of cosmetic and toilet articles in specialised stores,,,47.4
2016,"retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",,,
2017,"retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",,,
2018,"retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",,,
2019,"retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",,,
2020,"retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",,,
2021,"retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",,,
2022,"retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",,,40.0
2023,"retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",,,40.3
2024,"retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",,,38.9
2025,"retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",,,41.1
2016,retail sale of watches and jewellery in specialised stores,,,
2017,retail sale of watches and jewellery in specialised stores,,,
2018,retail sale of watches and jewellery in specialised stores,,,
2019,retail sale of watches and jewellery in specialised stores,,,
2020,retail sale of watches and jewellery in specialised stores,,,
2021,retail sale of watches and jewellery in specialised stores,,,
2022,retail sale of watches and jewellery in specialised stores,,,47.6
2023,retail sale of watches and jewellery in specialised stores,,,47.9
2024,retail sale of watches and jewellery in specialised stores,,,47.1
2025,retail sale of watches and jewellery in specialised stores,,,46.6
2016,other retail sale of new goods in specialised stores,,,
2017,other retail sale of new goods in specialised stores,,,
2018,other retail sale of new goods in specialised stores,,,
2019,other retail sale of new goods in specialised stores,,,
2020,other retail sale of new goods in specialised stores,,,
2021,other retail sale of new goods in specialised stores,,,
2022,other retail sale of new goods in specialised stores,,,30.2
2023,other retail sale of new goods in specialised stores,,,29.9
2024,other retail sale of new goods in specialised stores,,,30.2
2025,other retail sale of new goods in specialised stores,,,29.9
2016,retail sale of second-hand goods in stores,,,
2017,retail sale of second-hand goods in stores,,,
2018,retail sale of second-hand goods in stores,,,
2019,retail sale of second-hand goods in stores,,,
2020,retail sale of second-hand goods in stores,,,
2021,retail sale of second-hand goods in stores,,,
2022,retail sale of second-hand goods in stores,,,36.5
2023,retail sale of second-hand goods in stores,,,35.7
2024,retail sale of second-hand goods in stores,,,35.5
2025,retail sale of second-hand goods in stores,,,35.8
2016,"retail sale via stalls and markets of food, beverages and tobacco products",,,
2017,"retail sale via stalls and markets of food, beverages and tobacco products",,,
2018,"retail sale via stalls and markets of food, beverages and tobacco products",,,
2019,"retail sale via stalls and markets of food, beverages and tobacco products",,,
2020,"retail sale via stalls and markets of food, beverages and tobacco products",,,
2021,"retail sale via stalls and markets of food, beverages and tobacco products",,,
2022,"retail sale via stalls and markets of food, beverages and tobacco products",,,27.7
2023,"retail sale via stalls and markets of food, beverages and tobacco products",,,25.9
2024,"retail sale via stalls and markets of food, beverages and tobacco products",,,26.4
2025,"retail sale via stalls and markets of food, beverages and tobacco products",,,27.5
2016,"retail sale via stalls and markets of textiles, clothing and footwear",,,
2017,"retail sale via stalls and markets of textiles, clothing and footwear",,,
2018,"retail sale via stalls and markets of textiles, clothing and footwear",,,
2019,"retail sale via stalls and markets of textiles, clothing and footwear",,,
2020,"retail sale via stalls and markets of textiles, clothing and footwear",,,
2021,"retail sale via stalls and markets of textiles, clothing and footwear",,,
2022,"retail sale via stalls and markets of textiles, clothing and footwear",,,28.8
2023,"retail sale via stalls and markets of textiles, clothing and footwear",,,28.2
2024,"retail sale via stalls and markets of textiles, clothing and footwear",,,29.2
2025,"retail sale via stalls and markets of textiles, clothing and footwear",,,29.2
2016,retail sale via stalls and markets of other goods,,,
2017,retail sale via stalls and markets of other goods,,,
2018,retail sale via stalls and markets of other goods,,,
2019,retail sale via stalls and markets of other goods,,,
2020,retail sale via stalls and markets of other goods,,,
2021,retail sale via stalls and markets of other goods,,,
2022,retail sale via stalls and markets of other goods,,,31.0
2023,retail sale via stalls and markets of other goods,,,31.0
2024,retail sale via stalls and markets of other goods,,,31.8
2025,retail sale via stalls and markets of other goods,,,31.2
2016,retail sale via mail order houses or via internet,,,
2017,retail sale via mail order houses or via internet,,,
2018,retail sale via mail order houses or via internet,,,
2019,retail sale via mail order houses or via internet,,,
2020,retail sale via mail order houses or via internet,,,
2021,retail sale via mail order houses or via internet,,,
2022,retail sale via mail order houses or via internet,,,29.1
2023,retail sale via mail order houses or via internet,,,26.9
2024,retail sale via mail order houses or via internet,,,26.2
2025,retail sale via mail order houses or via internet,,,26.9
2016,"other retail sale not in stores, stalls or markets",,,
2017,"other retail sale not in stores, stalls or markets",,,
2018,"other retail sale not in stores, stalls or markets",,,
2019,"other retail sale not in stores, stalls or markets",,,
2020,"other retail sale not in stores, stalls or markets",,,
2021,"other retail sale not in stores, stalls or markets",,,
2022,"other retail sale not in stores, stalls or markets",,,27.9
2023,"other retail sale not in stores, stalls or markets",,,27.9
2024,"other retail sale not in stores, stalls or markets",,,28.7
2025,"other retail sale not in stores, stalls or markets",,,28.9
2016,"passenger rail transport, interurban",,,
2017,"passenger rail transport, interurban",,,
2018,"passenger rail transport, interurban",,,
2019,"passenger rail transport, interurban",,,
2020,"passenger rail transport, interurban",,,
2021,"passenger rail transport, interurban",,,
2022,"passenger rail transport, interurban",,,18.2
2023,"passenger rail transport, interurban",,,18.2
2024,"passenger rail transport, interurban",,,18.2
2025,"passenger rail transport, interurban",,,18.2
2016,freight rail transport,,,
2017,freight rail transport,,,
2018,freight rail transport,,,
2019,freight rail transport,,,
2020,freight rail transport,,,
2021,freight rail transport,,,
2022,freight rail transport,,,27.2
2023,freight rail transport,,,26.5
2024,freight rail transport,,,26.5
2025,freight rail transport,,,27.3
2016,urban and suburban passenger land transport,,,
2017,urban and suburban passenger land transport,,,
2018,urban and suburban passenger land transport,,,
2019,urban and suburban passenger land transport,,,
2020,urban and suburban passenger land transport,,,
2021,urban and suburban passenger land transport,,,
2022,urban and suburban passenger land transport,,,17.9
2023,urban and suburban passenger land transport,,,18.1
2024,urban and suburban passenger land transport,,,18.7
2025,urban and suburban passenger land transport,,,18.7
2016,taxi operation,,,
2017,taxi operation,,,
2018,taxi operation,,,
2019,taxi operation,,,
2020,taxi operation,,,
2021,taxi operation,,,
2022,taxi operation,,,22.2
2023,taxi operation,,,21.4
2024,taxi operation,,,20.5
2025,taxi operation,,,20.9
2016,other passenger land transport n.e.c.,,,
2017,other passenger land transport n.e.c.,,,
2018,other passenger land transport n.e.c.,,,
2019,other passenger land transport n.e.c.,,,
2020,other passenger land transport n.e.c.,,,
2021,other passenger land transport n.e.c.,,,
2022,other passenger land transport n.e.c.,,,21.3
2023,other passenger land transport n.e.c.,,,21.5
2024,other passenger land transport n.e.c.,,,21.5
2025,other passenger land transport n.e.c.,,,22.6
2016,freight transport by road,,,
2017,freight transport by road,,,
2018,freight transport by road,,,
2019,freight transport by road,,,
2020,freight transport by road,,,
2021,freight transport by road,,,
2022,freight transport by road,,,22.2
2023,freight transport by road,,,22.2
2024,freight transport by road,,,22.5
2025,freight transport by road,,,23.1
2016,removal services,,,
2017,removal services,,,
2018,removal services,,,
2019,removal services,,,
2020,removal services,,,
2021,removal services,,,
2022,removal services,,,18.4
2023,removal services,,,19.8
2024,removal services,,,20.1
2025,removal services,,,22.0
2016,transport via pipeline,,,
2017,transport via pipeline,,,
2018,transport via pipeline,,,
2019,transport via pipeline,,,
2020,transport via pipeline,,,
2021,transport via pipeline,,,
2022,transport via pipeline,,,2.8
2023,transport via pipeline,,,5.9
2024,transport via pipeline,,,6.1
2025,transport via pipeline,,,11.4
2016,sea and coastal passenger water transport,,,
2017,sea and coastal passenger water transport,,,
2018,sea and coastal passenger water transport,,,
2019,sea and coastal passenger water transport,,,
2020,sea and coastal passenger water transport,,,
2021,sea and coastal passenger water transport,,,
2022,sea and coastal passenger water transport,,,19.7
2023,sea and coastal passenger water transport,,,19.7
2024,sea and coastal passenger water transport,,,21.2
2025,sea and coastal passenger water transport,,,18.4
2016,sea and coastal freight water transport,,,
2017,sea and coastal freight water transport,,,
2018,sea and coastal freight water transport,,,
2019,sea and coastal freight water transport,,,
2020,sea and coastal freight water transport,,,
2021,sea and coastal freight water transport,,,
2022,sea and coastal freight water transport,,,26.7
2023,sea and coastal freight water transport,,,25.5
2024,sea and coastal freight water transport,,,25.3
2025,sea and coastal freight water transport,,,26.4
2016,inland passenger water transport,,,
2017,inland passenger water transport,,,
2018,inland passenger water transport,,,
2019,inland passenger water transport,,,
2020,inland passenger water transport,,,
2021,inland passenger water transport,,,
2022,inland passenger water transport,,,26.0
2023,inland passenger water transport,,,25.5
2024,inland passenger water transport,,,27.8
2025,inland passenger water transport,,,25.9
2016,inland freight water transport,,,
2017,inland freight water transport,,,
2018,inland freight water transport,,,
2019,inland freight water transport,,,
2020,inland freight water transport,,,
2021,inland freight water transport,,,
2022,inland freight water transport,,,15.9
2023,inland freight water transport,,,17.6
2024,inland freight water transport,,,17.6
2025,inland freight water transport,,,19.0
2016,passenger air transport,,,
2017,passenger air transport,,,
2018,passenger air transport,,,
2019,passenger air transport,,,
2020,passenger air transport,,,
2021,passenger air transport,,,
2022,passenger air transport,,,15.9
2023,passenger air transport,,,14.6
2024,passenger air transport,,,14.9
2025,passenger air transport,,,14.5
2016,freight air transport,,,
2017,freight air transport,,,
2018,freight air transport,,,
2019,freight air transport,,,
2020,freight air transport,,,
2021,freight air transport,,,
2022,freight air transport,,,16.7
2023,freight air transport,,,14.5
2024,freight air transport,,,12.1
2025,freight air transport,,,11.2
2016,warehousing and storage,,,
2017,warehousing and storage,,,
2018,warehousing and storage,,,
2019,warehousing and storage,,,
2020,warehousing and storage,,,
2021,warehousing and storage,,,
2022,warehousing and storage,,,20.4
2023,warehousing and storage,,,20.7
2024,warehousing and storage,,,20.6
2025,warehousing and storage,,,21.2
2016,service activities incidental to land transportation,,,
2017,service activities incidental to land transportation,,,
2018,service activities incidental to land transportation,,,
2019,service activities incidental to land transportation,,,
2020,service activities incidental to land transportation,,,
2021,service activities incidental to land transportation,,,
2022,service activities incidental to land transportation,,,20.7
2023,service activities incidental to land transportation,,,20.7
2024,service activities incidental to land transportation,,,21.4
2025,service activities incidental to land transportation,,,23.1
2016,service activities incidental to water transportation,,,
2017,service activities incidental to water transportation,,,
2018,service activities incidental to water transportation,,,
2019,service activities incidental to water transportation,,,
2020,service activities incidental to water transportation,,,
2021,service activities incidental to water transportation,,,
2022,service activities incidental to water transportation,,,19.4
2023,service activities incidental to water transportation,,,18.7
2024,service activities incidental to water transportation,,,18.7
2025,service activities incidental to water transportation,,,18.8
2016,service activities incidental to air transportation,,,
2017,service activities incidental to air transportation,,,
2018,service activities incidental to air transportation,,,
2019,service activities incidental to air transportation,,,
2020,service activities incidental to air transportation,,,
2021,service activities incidental to air transportation,,,
2022,service activities incidental to air transportation,,,24.9
2023,service activities incidental to air transportation,,,24.9
2024,service activities incidental to air transportation,,,22.7
2025,service activities incidental to air transportation,,,21.6
2016,cargo handling,,,
2017,cargo handling,,,
2018,cargo handling,,,
2019,cargo handling,,,
2020,cargo handling,,,
2021,cargo handling,,,
2022,cargo handling,,,23.7
2023,cargo handling,,,23.8
2024,cargo handling,,,22.5
2025,cargo handling,,,22.7
2016,other transportation support activities,,,
2017,other transportation support activities,,,
2018,other transportation support activities,,,
2019,other transportation support activities,,,
2020,other transportation support activities,,,
2021,other transportation support activities,,,
2022,other transportation support activities,,,28.6
2023,other transportation support activities,,,28.6
2024,other transportation support activities,,,29.2
2025,other transportation support activities,,,30.4
2016,postal activities under universal service obligation,,,
2017,postal activities under universal service obligation,,,
2018,postal activities under universal service obligation,,,
2019,postal activities under universal service obligation,,,
2020,postal activities under universal service obligation,,,
2021,postal activities under universal service obligation,,,
2022,postal activities under universal service obligation,,,25.0
2023,postal activities under universal service obligation,,,25.0
2024,postal activities under universal service obligation,,,20.0
2025,postal activities under universal service obligation,,,20.0
2016,other postal and courier activities,,,
2017,other postal and courier activities,,,
2018,other postal and courier activities,,,
2019,other postal and courier activities,,,
2020,other postal and courier activities,,,
2021,other postal and courier activities,,,
2022,other postal and courier activities,,,26.0
2023,other postal and courier activities,,,25.6
2024,other postal and courier activities,,,24.8
2025,other postal and courier activities,,,24.6
2016,hotels and similar accommodation,,,
2017,hotels and similar accommodation,,,
2018,hotels and similar accommodation,,,
2019,hotels and similar accommodation,,,
2020,hotels and similar accommodation,,,
2021,hotels and similar accommodation,,,
2022,hotels and similar accommodation,,,36.9
2023,hotels and similar accommodation,,,36.7
2024,hotels and similar accommodation,,,36.5
2025,hotels and similar accommodation,,,36.9
2016,holiday and other short-stay accommodation,,,
2017,holiday and other short-stay accommodation,,,
2018,holiday and other short-stay accommodation,,,
2019,holiday and other short-stay accommodation,,,
2020,holiday and other short-stay accommodation,,,
2021,holiday and other short-stay accommodation,,,
2022,holiday and other short-stay accommodation,,,36.5
2023,holiday and other short-stay accommodation,,,37.2
2024,holiday and other short-stay accommodation,,,37.0
2025,holiday and other short-stay accommodation,,,37.1
2016,"camping grounds, recreational vehicle parks and trailer parks",,,
2017,"camping grounds, recreational vehicle parks and trailer parks",,,
2018,"camping grounds, recreational vehicle parks and trailer parks",,,
2019,"camping grounds, recreational vehicle parks and trailer parks",,,
2020,"camping grounds, recreational vehicle parks and trailer parks",,,
2021,"camping grounds, recreational vehicle parks and trailer parks",,,
2022,"camping grounds, recreational vehicle parks and trailer parks",,,26.6
2023,"camping grounds, recreational vehicle parks and trailer parks",,,26.1
2024,"camping grounds, recreational vehicle parks and trailer parks",,,29.2
2025,"camping grounds, recreational vehicle parks and trailer parks",,,28.0
2016,other accommodation,,,
2017,other accommodation,,,
2018,other accommodation,,,
2019,other accommodation,,,
2020,other accommodation,,,
2021,other accommodation,,,
2022,other accommodation,,,41.5
2023,other accommodation,,,41.8
2024,other accommodation,,,43.8
2025,other accommodation,,,44.0
2016,restaurants and mobile food service activities,,,
2017,restaurants and mobile food service activities,,,
2018,restaurants and mobile food service activities,,,
2019,restaurants and mobile food service activities,,,
2020,restaurants and mobile food service activities,,,
2021,restaurants and mobile food service activities,,,
2022,restaurants and mobile food service activities,,,40.6
2023,restaurants and mobile food service activities,,,39.8
2024,restaurants and mobile food service activities,,,38.3
2025,restaurants and mobile food service activities,,,39.2
2016,event catering activities,,,
2017,event catering activities,,,
2018,event catering activities,,,
2019,event catering activities,,,
2020,event catering activities,,,
2021,event catering activities,,,
2022,event catering activities,,,42.9
2023,event catering activities,,,40.3
2024,event catering activities,,,40.8
2025,event catering activities,,,39.7
2016,other food service activities,,,
2017,other food service activities,,,
2018,other food service activities,,,
2019,other food service activities,,,
2020,other food service activities,,,
2021,other food service activities,,,
2022,other food service activities,,,52.6
2023,other food service activities,,,50.9
2024,other food service activities,,,48.9
2025,other food service activities,,,48.5
2016,beverage serving activities,,,
2017,beverage serving activities,,,
2018,beverage serving activities,,,
2019,beverage serving activities,,,
2020,beverage serving activities,,,
2021,beverage serving activities,,,
2022,beverage serving activities,,,43.6
2023,beverage serving activities,,,42.8
2024,beverage serving activities,,,42.2
2025,beverage serving activities,,,43.5
2016,book publishing,,,
2017,book publishing,,,
2018,book publishing,,,
2019,book publishing,,,
2020,book publishing,,,
2021,book publishing,,,
2022,book publishing,,,34.9
2023,book publishing,,,34.4
2024,book publishing,,,35.0
2025,book publishing,,,37.3
2016,publishing of directories and mailing lists,,,
2017,publishing of directories and mailing lists,,,
2018,publishing of directories and mailing lists,,,
2019,publishing of directories and mailing lists,,,
2020,publishing of directories and mailing lists,,,
2021,publishing of directories and mailing lists,,,
2022,publishing of directories and mailing lists,,,38.3
2023,publishing of directories and mailing lists,,,40.0
2024,publishing of directories and mailing lists,,,40.0
2025,publishing of directories and mailing lists,,,38.3
2016,publishing of newspapers,,,
2017,publishing of newspapers,,,
2018,publishing of newspapers,,,
2019,publishing of newspapers,,,
2020,publishing of newspapers,,,
2021,publishing of newspapers,,,
2022,publishing of newspapers,,,44.4
2023,publishing of newspapers,,,43.6
2024,publishing of newspapers,,,43.5
2025,publishing of newspapers,,,43.6
2016,publishing of journals and periodicals,,,
2017,publishing of journals and periodicals,,,
2018,publishing of journals and periodicals,,,
2019,publishing of journals and periodicals,,,
2020,publishing of journals and periodicals,,,
2021,publishing of journals and periodicals,,,
2022,publishing of journals and periodicals,,,40.4
2023,publishing of journals and periodicals,,,40.1
2024,publishing of journals and periodicals,,,40.2
2025,publishing of journals and periodicals,,,40.7
2016,other publishing activities,,,
2017,other publishing activities,,,
2018,other publishing activities,,,
2019,other publishing activities,,,
2020,other publishing activities,,,
2021,other publishing activities,,,
2022,other publishing activities,,,27.5
2023,other publishing activities,,,27.4
2024,other publishing activities,,,27.6
2025,other publishing activities,,,28.1
2016,publishing of computer games,,,
2017,publishing of computer games,,,
2018,publishing of computer games,,,
2019,publishing of computer games,,,
2020,publishing of computer games,,,
2021,publishing of computer games,,,
2022,publishing of computer games,,,18.2
2023,publishing of computer games,,,18.6
2024,publishing of computer games,,,19.3
2025,publishing of computer games,,,21.9
2016,other software publishing,,,
2017,other software publishing,,,
2018,other software publishing,,,
2019,other software publishing,,,
2020,other software publishing,,,
2021,other software publishing,,,
2022,other software publishing,,,22.1
2023,other software publishing,,,21.6
2024,other software publishing,,,20.9
2025,other software publishing,,,20.4
2016,"motion picture, video and television programme activities",,,
2017,"motion picture, video and television programme activities",,,
2018,"motion picture, video and television programme activities",,,
2019,"motion picture, video and television programme activities",,,
2020,"motion picture, video and television programme activities",,,
2021,"motion picture, video and television programme activities",,,
2022,"motion picture, video and television programme activities",,,33.5
2023,"motion picture, video and television programme activities",,,33.5
2024,"motion picture, video and television programme activities",,,33.0
2025,"motion picture, video and television programme activities",,,33.4
2016,"motion picture, video and television programme production activities",,,
2017,"motion picture, video and television programme production activities",,,
2018,"motion picture, video and television programme production activities",,,
2019,"motion picture, video and television programme production activities",,,
2020,"motion picture, video and television programme production activities",,,
2021,"motion picture, video and television programme production activities",,,
2022,"motion picture, video and television programme production activities",,,29.8
2023,"motion picture, video and television programme production activities",,,31.4
2024,"motion picture, video and television programme production activities",,,32.8
2025,"motion picture, video and television programme production activities",,,33.3
2016,"motion picture, video and television programme distribution activities",,,
2017,"motion picture, video and television programme distribution activities",,,
2018,"motion picture, video and television programme distribution activities",,,
2019,"motion picture, video and television programme distribution activities",,,
2020,"motion picture, video and television programme distribution activities",,,
2021,"motion picture, video and television programme distribution activities",,,
2022,"motion picture, video and television programme distribution activities",,,30.5
2023,"motion picture, video and television programme distribution activities",,,24.5
2024,"motion picture, video and television programme distribution activities",,,26.0
2025,"motion picture, video and television programme distribution activities",,,29.1
2016,motion picture projection activities,,,
2017,motion picture projection activities,,,
2018,motion picture projection activities,,,
2019,motion picture projection activities,,,
2020,motion picture projection activities,,,
2021,motion picture projection activities,,,
2022,motion picture projection activities,,,43.1
2023,motion picture projection activities,,,44.1
2024,motion picture projection activities,,,45.7
2025,motion picture projection activities,,,45.6
2016,sound recording and music publishing activities,,,
2017,sound recording and music publishing activities,,,
2018,sound recording and music publishing activities,,,
2019,sound recording and music publishing activities,,,
2020,sound recording and music publishing activities,,,
2021,sound recording and music publishing activities,,,
2022,sound recording and music publishing activities,,,27.9
2023,sound recording and music publishing activities,,,27.9
2024,sound recording and music publishing activities,,,24.8
2025,sound recording and music publishing activities,,,26.1
2016,radio broadcasting,,,
2017,radio broadcasting,,,
2018,radio broadcasting,,,
2019,radio broadcasting,,,
2020,radio broadcasting,,,
2021,radio broadcasting,,,
2022,radio broadcasting,,,41.0
2023,radio broadcasting,,,40.9
2024,radio broadcasting,,,40.4
2025,radio broadcasting,,,40.6
2016,television programming and broadcasting activities,,,
2017,television programming and broadcasting activities,,,
2018,television programming and broadcasting activities,,,
2019,television programming and broadcasting activities,,,
2020,television programming and broadcasting activities,,,
2021,television programming and broadcasting activities,,,
2022,television programming and broadcasting activities,,,28.2
2023,television programming and broadcasting activities,,,27.7
2024,television programming and broadcasting activities,,,28.7
2025,television programming and broadcasting activities,,,27.7
2016,wired telecommunications activities,,,
