Year,by types of economic activity,by the organisational and legal forms,Region,Value
2025,production of meat and poultry meat products,,,23.3
2016,"processing and preserving of fish, crustaceans and molluscs",,,
2017,"processing and preserving of fish, crustaceans and molluscs",,,
2018,"processing and preserving of fish, crustaceans and molluscs",,,
2019,"processing and preserving of fish, crustaceans and molluscs",,,
2020,"processing and preserving of fish, crustaceans and molluscs",,,
2021,"processing and preserving of fish, crustaceans and molluscs",,,
2022,"processing and preserving of fish, crustaceans and molluscs",,,24.0
2023,"processing and preserving of fish, crustaceans and molluscs",,,24.1
2024,"processing and preserving of fish, crustaceans and molluscs",,,23.8
2025,"processing and preserving of fish, crustaceans and molluscs",,,22.8
2016,processing and preserving of potatoes,,,
2017,processing and preserving of potatoes,,,
2018,processing and preserving of potatoes,,,
2019,processing and preserving of potatoes,,,
2020,processing and preserving of potatoes,,,
2021,processing and preserving of potatoes,,,
2022,processing and preserving of potatoes,,,11.5
2023,processing and preserving of potatoes,,,11.5
2024,processing and preserving of potatoes,,,6.7
2025,processing and preserving of potatoes,,,13.3
2016,manufacture of fruit and vegetable juice,,,
2017,manufacture of fruit and vegetable juice,,,
2018,manufacture of fruit and vegetable juice,,,
2019,manufacture of fruit and vegetable juice,,,
2020,manufacture of fruit and vegetable juice,,,
2021,manufacture of fruit and vegetable juice,,,
2022,manufacture of fruit and vegetable juice,,,15.4
2023,manufacture of fruit and vegetable juice,,,16.2
2024,manufacture of fruit and vegetable juice,,,15.1
2025,manufacture of fruit and vegetable juice,,,17.5
2016,other processing and preserving of fruit and vegetables,,,
2017,other processing and preserving of fruit and vegetables,,,
2018,other processing and preserving of fruit and vegetables,,,
2019,other processing and preserving of fruit and vegetables,,,
2020,other processing and preserving of fruit and vegetables,,,
2021,other processing and preserving of fruit and vegetables,,,
2022,other processing and preserving of fruit and vegetables,,,26.6
2023,other processing and preserving of fruit and vegetables,,,27.0
2024,other processing and preserving of fruit and vegetables,,,27.1
2025,other processing and preserving of fruit and vegetables,,,28.0
2016,manufacture of vegetable and animal oils and fats,,,
2017,manufacture of vegetable and animal oils and fats,,,
2018,manufacture of vegetable and animal oils and fats,,,
2019,manufacture of vegetable and animal oils and fats,,,
2020,manufacture of vegetable and animal oils and fats,,,
2021,manufacture of vegetable and animal oils and fats,,,
2022,manufacture of vegetable and animal oils and fats,,,26.5
2023,manufacture of vegetable and animal oils and fats,,,26.6
2024,manufacture of vegetable and animal oils and fats,,,27.1
2025,manufacture of vegetable and animal oils and fats,,,27.1
2016,manufacture of margarine and similar edible fats,,,
2017,manufacture of margarine and similar edible fats,,,
2018,manufacture of margarine and similar edible fats,,,
2019,manufacture of margarine and similar edible fats,,,
2020,manufacture of margarine and similar edible fats,,,
2021,manufacture of margarine and similar edible fats,,,
2022,manufacture of margarine and similar edible fats,,,22.0
2023,manufacture of margarine and similar edible fats,,,20.5
2024,manufacture of margarine and similar edible fats,,,22.0
2025,manufacture of margarine and similar edible fats,,,22.0
2016,operation of dairies and cheese making,,,
2017,operation of dairies and cheese making,,,
2018,operation of dairies and cheese making,,,
2019,operation of dairies and cheese making,,,
2020,operation of dairies and cheese making,,,
2021,operation of dairies and cheese making,,,
2022,operation of dairies and cheese making,,,25.3
2023,operation of dairies and cheese making,,,24.9
2024,operation of dairies and cheese making,,,24.7
2025,operation of dairies and cheese making,,,26.7
2016,manufacture of ice cream,,,
2017,manufacture of ice cream,,,
2018,manufacture of ice cream,,,
2019,manufacture of ice cream,,,
2020,manufacture of ice cream,,,
2021,manufacture of ice cream,,,
2022,manufacture of ice cream,,,32.5
2023,manufacture of ice cream,,,28.6
2024,manufacture of ice cream,,,27.3
2025,manufacture of ice cream,,,32.3
2016,manufacture of grain mill products,,,
2017,manufacture of grain mill products,,,
2018,manufacture of grain mill products,,,
2019,manufacture of grain mill products,,,
2020,manufacture of grain mill products,,,
2021,manufacture of grain mill products,,,
2022,manufacture of grain mill products,,,21.8
2023,manufacture of grain mill products,,,22.7
2024,manufacture of grain mill products,,,22.7
2025,manufacture of grain mill products,,,22.6
2016,manufacture of starches and starch products,,,
2017,manufacture of starches and starch products,,,
2018,manufacture of starches and starch products,,,
2019,manufacture of starches and starch products,,,
2020,manufacture of starches and starch products,,,
2021,manufacture of starches and starch products,,,
2022,manufacture of starches and starch products,,,20.5
2023,manufacture of starches and starch products,,,17.5
2024,manufacture of starches and starch products,,,20.0
2025,manufacture of starches and starch products,,,20.0
2016,manufacture of bread; manufacture of fresh pastry goods and cakes,,,
2017,manufacture of bread; manufacture of fresh pastry goods and cakes,,,
2018,manufacture of bread; manufacture of fresh pastry goods and cakes,,,
2019,manufacture of bread; manufacture of fresh pastry goods and cakes,,,
2020,manufacture of bread; manufacture of fresh pastry goods and cakes,,,
2021,manufacture of bread; manufacture of fresh pastry goods and cakes,,,
