Year,Age,Sex,Type of residence,by frequency of use,purpose of use,Region,Value
2020,,,,,"participating in online consultations, voting on civil or political issues (e.g. on urban planning issues, signing a petition, etc.)",,0.4
2021,,,,,"participating in online consultations, voting on civil or political issues (e.g. on urban planning issues, signing a petition, etc.)",,0.1
2022,,,,,"participating in online consultations, voting on civil or political issues (e.g. on urban planning issues, signing a petition, etc.)",,
2023,,,,,"participating in online consultations, voting on civil or political issues (e.g. on urban planning issues, signing a petition, etc.)",,
2024,,,,,"participating in online consultations, voting on civil or political issues (e.g. on urban planning issues, signing a petition, etc.)",,
2015,,,,,selling goods and services over the Internet,,
2016,,,,,selling goods and services over the Internet,,
2017,,,,,selling goods and services over the Internet,,
2018,,,,,selling goods and services over the Internet,,
2019,,,,,selling goods and services over the Internet,,
2020,,,,,selling goods and services over the Internet,,2.9
2021,,,,,selling goods and services over the Internet,,1.9
2022,,,,,selling goods and services over the Internet,,
2023,,,,,selling goods and services over the Internet,,
2024,,,,,selling goods and services over the Internet,,
2015,,,,,using services related to travel or hotel accommodation while traveling,,
2016,,,,,using services related to travel or hotel accommodation while traveling,,
2017,,,,,using services related to travel or hotel accommodation while traveling,,
2018,,,,,using services related to travel or hotel accommodation while traveling,,
2019,,,,,using services related to travel or hotel accommodation while traveling,,
2020,,,,,using services related to travel or hotel accommodation while traveling,,0.3
2021,,,,,using services related to travel or hotel accommodation while traveling,,0.4
2022,,,,,using services related to travel or hotel accommodation while traveling,,
2023,,,,,using services related to travel or hotel accommodation while traveling,,
2024,,,,,using services related to travel or hotel accommodation while traveling,,
2015,,,,,looking for work or sending a job application,,
2016,,,,,looking for work or sending a job application,,
2017,,,,,looking for work or sending a job application,,
2018,,,,,looking for work or sending a job application,,
2019,,,,,looking for work or sending a job application,,
2020,,,,,looking for work or sending a job application,,3.3
2021,,,,,looking for work or sending a job application,,2.3
2022,,,,,looking for work or sending a job application,,
2023,,,,,looking for work or sending a job application,,
2024,,,,,looking for work or sending a job application,,
2015,,,,,searching for information about goods and services not previously mentioned,,
2016,,,,,searching for information about goods and services not previously mentioned,,
2017,,,,,searching for information about goods and services not previously mentioned,,
2018,,,,,searching for information about goods and services not previously mentioned,,
2019,,,,,searching for information about goods and services not previously mentioned,,
2020,,,,,searching for information about goods and services not previously mentioned,,5.3
2021,,,,,searching for information about goods and services not previously mentioned,,5.2
2022,,,,,searching for information about goods and services not previously mentioned,,
2023,,,,,searching for information about goods and services not previously mentioned,,
2024,,,,,searching for information about goods and services not previously mentioned,,
2015,,,,,,,
2016,,,,,,,
2017,,,,,,,
2018,,,,,,,
2019,,,,,,,
2020,,,,,,,81.0
2021,,,,,,,85.1
2022,,,,,,,
2023,,,,,,,
2024,,,,,,,
2015,,,,,,Autonomous Republic of Crimea,
2016,,,,,,Autonomous Republic of Crimea,
2017,,,,,,Autonomous Republic of Crimea,
2018,,,,,,Autonomous Republic of Crimea,
2019,,,,,,Autonomous Republic of Crimea,
2020,,,,,,Autonomous Republic of Crimea,
2021,,,,,,Autonomous Republic of Crimea,
2022,,,,,,Autonomous Republic of Crimea,
2023,,,,,,Autonomous Republic of Crimea,
2024,,,,,,Autonomous Republic of Crimea,
2015,,,,,,Vinnytsya,
2016,,,,,,Vinnytsya,
2017,,,,,,Vinnytsya,
2018,,,,,,Vinnytsya,
2019,,,,,,Vinnytsya,
2020,,,,,,Vinnytsya,77.1
2021,,,,,,Vinnytsya,79.9
2022,,,,,,Vinnytsya,
2023,,,,,,Vinnytsya,
2024,,,,,,Vinnytsya,
2015,,,,,,Volyn,
2016,,,,,,Volyn,
2017,,,,,,Volyn,
2018,,,,,,Volyn,
2019,,,,,,Volyn,
2020,,,,,,Volyn,77.6
2021,,,,,,Volyn,80.9
2022,,,,,,Volyn,
2023,,,,,,Volyn,
2024,,,,,,Volyn,
2015,,,,,,Dnipropetrovsk,
2016,,,,,,Dnipropetrovsk,
2017,,,,,,Dnipropetrovsk,
2018,,,,,,Dnipropetrovsk,
2019,,,,,,Dnipropetrovsk,
2020,,,,,,Dnipropetrovsk,85.5
2021,,,,,,Dnipropetrovsk,92.0
2022,,,,,,Dnipropetrovsk,
2023,,,,,,Dnipropetrovsk,
2024,,,,,,Dnipropetrovsk,
2015,,,,,,Donetsk,
2016,,,,,,Donetsk,
2017,,,,,,Donetsk,
2018,,,,,,Donetsk,
2019,,,,,,Donetsk,
2020,,,,,,Donetsk,78.4
2021,,,,,,Donetsk,89.5
2022,,,,,,Donetsk,
2023,,,,,,Donetsk,
2024,,,,,,Donetsk,
2015,,,,,,Zhytomyr,
2016,,,,,,Zhytomyr,
2017,,,,,,Zhytomyr,
2018,,,,,,Zhytomyr,
2019,,,,,,Zhytomyr,
2020,,,,,,Zhytomyr,74.6
2021,,,,,,Zhytomyr,74.2
2022,,,,,,Zhytomyr,
2023,,,,,,Zhytomyr,
2024,,,,,,Zhytomyr,
2015,,,,,,Zakarpattya,
2016,,,,,,Zakarpattya,
2017,,,,,,Zakarpattya,
2018,,,,,,Zakarpattya,
2019,,,,,,Zakarpattya,
2020,,,,,,Zakarpattya,81.4
2021,,,,,,Zakarpattya,92.3
2022,,,,,,Zakarpattya,
2023,,,,,,Zakarpattya,
2024,,,,,,Zakarpattya,
2015,,,,,,Zaporizhzhya,
2016,,,,,,Zaporizhzhya,
2017,,,,,,Zaporizhzhya,
2018,,,,,,Zaporizhzhya,
2019,,,,,,Zaporizhzhya,
2020,,,,,,Zaporizhzhya,82.7
2021,,,,,,Zaporizhzhya,82.9
2022,,,,,,Zaporizhzhya,
2023,,,,,,Zaporizhzhya,
2024,,,,,,Zaporizhzhya,
2015,,,,,,Ivano-Frankivsk,
2016,,,,,,Ivano-Frankivsk,
2017,,,,,,Ivano-Frankivsk,
2018,,,,,,Ivano-Frankivsk,
2019,,,,,,Ivano-Frankivsk,
2020,,,,,,Ivano-Frankivsk,82.4
2021,,,,,,Ivano-Frankivsk,89.9
2022,,,,,,Ivano-Frankivsk,
2023,,,,,,Ivano-Frankivsk,
2024,,,,,,Ivano-Frankivsk,
2015,,,,,,Kyiv,
2016,,,,,,Kyiv,
2017,,,,,,Kyiv,
2018,,,,,,Kyiv,
2019,,,,,,Kyiv,
2020,,,,,,Kyiv,78.8
2021,,,,,,Kyiv,85.5
2022,,,,,,Kyiv,
2023,,,,,,Kyiv,
2024,,,,,,Kyiv,
2015,,,,,,Kirovohrad,
2016,,,,,,Kirovohrad,
2017,,,,,,Kirovohrad,
2018,,,,,,Kirovohrad,
2019,,,,,,Kirovohrad,
2020,,,,,,Kirovohrad,75.4
2021,,,,,,Kirovohrad,80.0
2022,,,,,,Kirovohrad,
2023,,,,,,Kirovohrad,
2024,,,,,,Kirovohrad,
2015,,,,,,Luhansk,
2016,,,,,,Luhansk,
2017,,,,,,Luhansk,
2018,,,,,,Luhansk,
2019,,,,,,Luhansk,
2020,,,,,,Luhansk,79.3
2021,,,,,,Luhansk,81.2
2022,,,,,,Luhansk,
2023,,,,,,Luhansk,
2024,,,,,,Luhansk,
2015,,,,,,Lviv,
2016,,,,,,Lviv,
2017,,,,,,Lviv,
2018,,,,,,Lviv,
2019,,,,,,Lviv,
2020,,,,,,Lviv,77.6
2021,,,,,,Lviv,83.5
2022,,,,,,Lviv,
2023,,,,,,Lviv,
2024,,,,,,Lviv,
2015,,,,,,Mykolayiv,
2016,,,,,,Mykolayiv,
2017,,,,,,Mykolayiv,
2018,,,,,,Mykolayiv,
2019,,,,,,Mykolayiv,
2020,,,,,,Mykolayiv,79.8
2021,,,,,,Mykolayiv,83.7
2022,,,,,,Mykolayiv,
2023,,,,,,Mykolayiv,
2024,,,,,,Mykolayiv,
2015,,,,,,Odesa,
2016,,,,,,Odesa,
2017,,,,,,Odesa,
2018,,,,,,Odesa,
2019,,,,,,Odesa,
2020,,,,,,Odesa,82.3
2021,,,,,,Odesa,86.8
2022,,,,,,Odesa,
2023,,,,,,Odesa,
2024,,,,,,Odesa,
2015,,,,,,Poltava,
2016,,,,,,Poltava,
2017,,,,,,Poltava,
2018,,,,,,Poltava,
2019,,,,,,Poltava,
2020,,,,,,Poltava,75.5
2021,,,,,,Poltava,76.1
2022,,,,,,Poltava,
2023,,,,,,Poltava,
2024,,,,,,Poltava,
2015,,,,,,Rivne,
2016,,,,,,Rivne,
2017,,,,,,Rivne,
2018,,,,,,Rivne,
2019,,,,,,Rivne,
2020,,,,,,Rivne,82.3
2021,,,,,,Rivne,90.3
2022,,,,,,Rivne,
2023,,,,,,Rivne,
2024,,,,,,Rivne,
2015,,,,,,Sumy,
2016,,,,,,Sumy,
2017,,,,,,Sumy,
2018,,,,,,Sumy,
2019,,,,,,Sumy,
2020,,,,,,Sumy,81.1
2021,,,,,,Sumy,78.6
2022,,,,,,Sumy,
2023,,,,,,Sumy,
2024,,,,,,Sumy,
2015,,,,,,Ternopil,
2016,,,,,,Ternopil,
2017,,,,,,Ternopil,
2018,,,,,,Ternopil,
2019,,,,,,Ternopil,
2020,,,,,,Ternopil,81.1
2021,,,,,,Ternopil,82.7
2022,,,,,,Ternopil,
2023,,,,,,Ternopil,
2024,,,,,,Ternopil,
2015,,,,,,Kharkiv,
2016,,,,,,Kharkiv,
2017,,,,,,Kharkiv,
2018,,,,,,Kharkiv,
2019,,,,,,Kharkiv,
2020,,,,,,Kharkiv,86.0
2021,,,,,,Kharkiv,86.5
2022,,,,,,Kharkiv,
2023,,,,,,Kharkiv,
2024,,,,,,Kharkiv,
2015,,,,,,Kherson,
2016,,,,,,Kherson,
2017,,,,,,Kherson,
2018,,,,,,Kherson,
2019,,,,,,Kherson,
2020,,,,,,Kherson,74.1
2021,,,,,,Kherson,82.2
2022,,,,,,Kherson,
2023,,,,,,Kherson,
2024,,,,,,Kherson,
2015,,,,,,Khmelnytskiy,
2016,,,,,,Khmelnytskiy,
2017,,,,,,Khmelnytskiy,
2018,,,,,,Khmelnytskiy,
2019,,,,,,Khmelnytskiy,
2020,,,,,,Khmelnytskiy,80.1
2021,,,,,,Khmelnytskiy,80.8
2022,,,,,,Khmelnytskiy,
2023,,,,,,Khmelnytskiy,
2024,,,,,,Khmelnytskiy,
2015,,,,,,Cherkasy,
2016,,,,,,Cherkasy,
2017,,,,,,Cherkasy,
2018,,,,,,Cherkasy,
2019,,,,,,Cherkasy,
2020,,,,,,Cherkasy,81.4
2021,,,,,,Cherkasy,87.3
2022,,,,,,Cherkasy,
2023,,,,,,Cherkasy,
2024,,,,,,Cherkasy,
2015,,,,,,Chernivtsi,
2016,,,,,,Chernivtsi,
2017,,,,,,Chernivtsi,
2018,,,,,,Chernivtsi,
2019,,,,,,Chernivtsi,
2020,,,,,,Chernivtsi,77.6
2021,,,,,,Chernivtsi,85.8
2022,,,,,,Chernivtsi,
2023,,,,,,Chernivtsi,
2024,,,,,,Chernivtsi,
2015,,,,,,Chernihiv,
2016,,,,,,Chernihiv,
2017,,,,,,Chernihiv,
2018,,,,,,Chernihiv,
2019,,,,,,Chernihiv,
2020,,,,,,Chernihiv,73.1
2021,,,,,,Chernihiv,78.8
2022,,,,,,Chernihiv,
2023,,,,,,Chernihiv,
2024,,,,,,Chernihiv,
2015,,,,,,the city of Kyiv,
2016,,,,,,the city of Kyiv,
2017,,,,,,the city of Kyiv,
2018,,,,,,the city of Kyiv,
2019,,,,,,the city of Kyiv,
2020,,,,,,the city of Kyiv,90.6
2021,,,,,,the city of Kyiv,89.6
2022,,,,,,the city of Kyiv,
2023,,,,,,the city of Kyiv,
2024,,,,,,the city of Kyiv,
2015,,,,,,city Sevastopol,
2016,,,,,,city Sevastopol,
2017,,,,,,city Sevastopol,
2018,,,,,,city Sevastopol,
2019,,,,,,city Sevastopol,
2020,,,,,,city Sevastopol,
2021,,,,,,city Sevastopol,
2022,,,,,,city Sevastopol,
2023,,,,,,city Sevastopol,
2024,,,,,,city Sevastopol,
