Year,Region,group_label_230,Age,Gender,group_16,group_24,group_25,Value
2016,,,,,,,group_label_237,50898.0
2017,,,,,,,group_label_237,78751.0
2018,,,,,,,group_label_237,73854.0
2019,,,,,,,group_label_237,11746.0
2020,,,,,,,group_label_237,31528.0
2021,,,,,,,group_label_237,49226.0
2022,,,,,,,group_label_237,65984.0
2023,,,,,,,group_label_237,42421.0
2024,,,,,,,group_label_237,34387.0
2015,,,,,,,group_label_238,3996.0
2016,,,,,,,group_label_238,29722.0
2017,,,,,,,group_label_238,62946.0
2018,,,,,,,group_label_238,60437.0
2019,,,,,,,group_label_238,58186.0
2020,,,,,,,group_label_238,47393.0
2021,,,,,,,group_label_238,60530.0
2022,,,,,,,group_label_238,38011.0
2023,,,,,,,group_label_238,40223.0
2024,,,,,,,group_label_238,33985.0
2015,,,,,,,group_label_239,4129.0
2016,,,,,,,group_label_239,29671.0
2017,,,,,,,group_label_239,72398.0
2018,,,,,,,group_label_239,104400.0
2019,,,,,,,group_label_239,106065.0
2020,,,,,,,group_label_239,85575.0
2021,,,,,,,group_label_239,98459.0
2022,,,,,,,group_label_239,76382.0
2023,,,,,,,group_label_239,81123.0
2024,,,,,,,group_label_239,68639.0
2015,,,,,,,group_label_240,369.0
2016,,,,,,,group_label_240,2265.0
2017,,,,,,,group_label_240,4298.0
2018,,,,,,,group_label_240,4059.0
2019,,,,,,,group_label_240,
2020,,,,,,,group_label_240,
2021,,,,,,,group_label_240,
2022,,,,,,,group_label_240,
2023,,,,,,,group_label_240,
2024,,,,,,,group_label_240,
2015,,,,,,,group_label_241,2151.0
2016,,,,,,,group_label_241,14023.0
2017,,,,,,,group_label_241,29338.0
2018,,,,,,,group_label_241,25847.0
2019,,,,,,,group_label_241,25310.0
2020,,,,,,,group_label_241,26762.0
2021,,,,,,,group_label_241,32023.0
2022,,,,,,,group_label_241,38670.0
2023,,,,,,,group_label_241,44272.0
2024,,,,,,,group_label_241,65449.0
2015,,,,,,,group_label_242,1181.0
2016,,,,,,,group_label_242,10217.0
2017,,,,,,,group_label_242,25415.0
2018,,,,,,,group_label_242,27771.0
2019,,,,,,,group_label_242,35938.0
2020,,,,,,,group_label_242,45275.0
2021,,,,,,,group_label_242,82730.0
2022,,,,,,,group_label_242,90502.0
2023,,,,,,,group_label_242,98783.0
